Sample,red,green,blue,black,Material,Predicted_Label
3992,49.76163981689524,36.267968370751404,33.09688622912793,94.86354478459066,8.0,8
2021_Sep_01_SR-3501_SN19387Q4__00117.sed,59.67880323720929,43.41475963419403,39.19670803664394,114.73225851151696,4.0,4
5257,57.7632182291605,41.99644106981802,37.85888784089072,110.613826811152,2.0,2
2021_Aug_30_SR-3501_SN19387Q4__00324.sed,53.67309944891743,38.59099917578292,34.824728776993595,99.62270647388486,1.0,1
4858,49.85742252528141,36.355622258005454,33.20645997937311,95.089998140202,8.0,8
280,14.82696682379989,10.713518462201808,9.444866985886868,27.49618221556961,2.0,2
2462,59.47924439503456,43.29228447340446,39.09086987110001,114.38799370431138,9.0,9
1541,58.0032446318898,42.244310710944255,38.23380046349027,111.9074674846306,9.0,9
3530,59.45371940627301,43.27599987862179,39.08755779125157,114.35338625768908,9.0,9
4840,53.45179462536598,39.00339771325178,35.685595581786465,104.0167688005766,7.0,7
1275,59.30329884635822,43.15660364160544,38.96849393110918,114.07085079755412,9.0,9
2021_Aug_31_SR-3501_SN19387Q4__00586.sed,57.55016532607027,41.87921846309142,37.80097302371481,110.46461592109333,3.0,3
2021_Sep_01_SR-3501_SN19387Q4__00639.sed,56.88291162048179,41.31386684215222,37.20617016970312,108.657961035938,5.0,5
369,55.93157603267365,40.75959126727464,36.87349854998685,109.24202778360537,4.0,4
2021_Aug_30_SR-3501_SN19387Q4__00148.sed,48.5821506361048,34.92364044804364,31.01987735932216,89.53635190586806,1.0,1
1128,59.40782909341841,43.23646560224663,39.03643165881943,114.25066297480012,9.0,9
2021_Sep_01_SR-3501_SN19387Q4__00430.sed,57.54563189086083,41.770513551197226,37.63653222896814,109.79815200277726,5.0,5
3548,58.5011388313109,42.517250082533046,38.2966527364007,112.17538414411612,7.0,7
4409,57.49218490487483,41.757196486773225,37.59009504462174,110.04173652013378,2.0,2
2021_Sep_01_SR-3501_SN19387Q4__00009.sed,58.87452516101309,42.84413870972775,38.680068700058456,113.3508601950239,4.0,4
4038,58.19809252523267,42.387186935226026,38.387731527967645,112.30311172914564,9.0,9
3982,46.26546268536784,33.64956119023251,30.795538484542416,88.6497905348985,8.0,8
3804,59.66662061988118,43.41691547942197,39.19628456813317,114.75026762781438,9.0,9
2021_Aug_30_SR-3501_SN19387Q4__00056.sed,57.773771222362576,41.77359011382384,37.451259147895314,109.62586605536268,1.0,1
2021_Aug_30_SR-3501_SN19387Q4__00154.sed,49.41635949968813,35.56808936061368,31.65237237591892,91.32830882152716,1.0,1
2021_Aug_30_SR-3501_SN19387Q4__00280.sed,45.225176033298624,32.76089360890128,29.33674564600361,83.20806085121384,1.0,1
5186,57.50382953841438,41.79271094154886,37.65914873130643,110.18056111336304,2.0,2
2556,47.14404096626431,34.16594271759686,30.6252338485756,89.97219773983706,7.0,7
2021_Aug_30_SR-3501_SN19387Q4__00225.sed,57.30758178908186,41.271262898019216,37.24144768194128,108.12874940391411,1.0,1
2021_Aug_30_SR-3501_SN19387Q4__00151.sed,49.37762350811912,35.53448631669882,31.61486418086572,91.22216479331686,1.0,1
