Sample,red,green,blue,black,Material
aug_0.0_4ea99ae9,59.66398363571645,43.55237031353551,39.11843533615075,114.22878548651124,0.0
5337,52.28234531926918,37.464357252461326,34.14226391996584,97.9141818903852,8.0
aug_3.0_046b7669,56.50450660477951,41.404247139287,36.997936972091374,108.32123679381893,3.0
aug_5.0_41496d3c,13.38849911720684,9.909866052019265,9.311340644449256,27.69400513177734,5.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,46.80937214226017,34.34285172213386,31.373516659663608,86.9437850329951,6.0
aug_3.0_426b02e0,59.252687963336754,42.4687912815077,38.45499774541639,113.8306005780276,3.0
aug_4.0_bfe5beff,59.16912841258495,43.00126958691769,39.27700014417161,115.30351603141864,4.0
2021_Sep_01_SR-3501_SN19387Q4__00246.sed,59.15731925560671,43.12971870859072,39.527057380838095,113.94778965606338,4.0
aug_5.0_3fd08d7b,58.99608490992261,42.34767673243692,38.84027630525899,112.27611054794949,5.0
4431,50.97994044500555,37.04279932533304,32.971154760377786,97.2474796311034,2.0
969,57.37569373728663,41.87383056943816,37.91785906519777,109.36920279642774,7.0
aug_3.0_430bd47d,58.91867560099843,42.87265487272673,38.91852596337759,113.88501809829954,3.0
aug_6.0_365bd823,26.407493531298687,19.240312574842385,18.03495841804948,48.3958266203,6.0
aug_5.0_a8d6f4a1,54.63892582077922,39.58254804407487,36.20037173124808,105.57134861144657,5.0
2021_Sep_01_SR-3501_SN19387Q4__00885.sed,53.028154942080775,37.48775952479855,33.429502431737674,97.432569950735,6.0
aug_0.0_ca37e628,59.41331270359996,43.42358481155773,39.41260024323987,114.83958860995072,0.0
2021_Aug_30_SR-3501_SN19387Q4__00016.sed,56.55376772628519,41.08192194911705,36.45718242067276,105.6293597229652,1.0
530,29.124409883720983,20.78527274172365,18.505162276623334,53.62071313717459,8.0
3142,59.39493188097309,43.02068286779562,38.77422720494522,114.90859983843484,9.0
949,59.747974961297146,43.61640995939483,38.82685077415074,114.88393354891846,9.0
aug_1.0_08fe5072,52.865526559246426,37.4480391568188,33.5612782772872,96.95150688239632,1.0
3998,52.16818254453641,38.18556070064147,34.57680694174096,99.77482783130009,8.0
1097,58.10193223260323,42.67372604082139,38.38792383820349,112.32731884387182,7.0
4818,57.92364490486146,41.97863503909529,37.875414471568256,109.60629568576536,7.0
4013,48.53424557264231,35.10780795294365,32.70498187076707,95.4468022260648,8.0
aug_4.0_05f4864e,46.746307979301605,34.318542871257044,30.73264193268266,90.98787627181206,4.0
aug_6.0_f338549a,58.77150957278843,41.98732450848847,37.72733813325068,112.12491423292327,6.0
3080,47.38536713212875,34.66748094079188,30.80232050457168,88.55604138036063,8.0
3589,54.06556868666058,39.34171693697918,35.29932150734713,102.31623395867476,8.0
3145,59.50063903690906,43.75758817266269,39.505234358199125,115.19406219513628,9.0
2021_Sep_01_SR-3501_SN19387Q4__00918.sed,56.10372209956526,39.522526711297225,36.19713487658169,103.57227758351692,6.0
aug_0.0_e96bc734,60.25355083146826,43.454352977123285,39.44622674560334,114.46867216914458,0.0
2021_Sep_01_SR-3501_SN19387Q4__00280.sed,58.96539636748558,43.67740779102056,39.006319172270295,114.88834373626686,4.0
aug_6.0_b5e13ba1,48.22360918281528,33.90213785591635,29.996803379061237,88.300303503451,6.0
2021_Aug_30_SR-3501_SN19387Q4__00031.sed,57.01402457999775,40.84944538215056,36.753025599913336,108.18447021924464,1.0
2021_Aug_31_SR-3501_SN19387Q4__00721.sed,56.78124374189697,41.393745253039285,37.75425598240276,110.87798794706356,3.0
3012,57.85058403340612,42.32829488607944,38.23821259907309,112.66834655027054,9.0
936,58.67170753510203,42.83963057613924,38.60068126716155,112.26432837326146,9.0
aug_6.0_6ca64114,43.78625987395465,32.00476659620528,29.417810524187416,81.88835069128586,6.0
2432,59.74422860693144,43.584585168242384,38.81763978608663,115.00417570010472,9.0
1338,46.06304739096744,33.30393420525351,30.82076255796869,87.98150885888386,8.0
2021_Sep_01_SR-3501_SN19387Q4__00739.sed,58.57252665239968,42.42087586026143,37.791053264511305,109.31307982002794,6.0
aug_8.0_5cbcb1cd,49.14872399725921,35.66458408213447,33.190309548315625,95.25183544991133,8.0
aug_5.0_bbfce739,56.59848400939968,41.12156958307408,37.214815428183925,109.143218585792,5.0
2021_Aug_30_SR-3501_SN19387Q4__00197.sed,55.384922607918064,40.41515263804267,36.156885390108,104.94359491559533,1.0
aug_1.0_a0a028b8,46.47892241122054,33.20537629040757,29.61655844707532,85.8787104394469,1.0
4074,59.65396513237892,43.5505336074816,39.442588782383325,114.57649019283237,9.0
2021_Sep_01_SR-3501_SN19387Q4__00474.sed,58.42773378386454,42.79476951456723,38.5211587300978,111.47180631761503,5.0
4886,49.74729181385447,36.280835023274605,33.38590023258425,94.85194162420608,8.0
1301,45.84123016839945,33.78761438562855,30.25390352529925,88.6140343981364,2.0
aug_4.0_4f264039,59.43243175538038,42.46178541555219,38.49268452558472,112.60431803658406,4.0
aug_4.0_24ad5a21,59.980781378892736,43.82761701486091,39.27133485910247,115.03602529806224,4.0
2021_Aug_31_SR-3501_SN19387Q4__00199.sed,54.27925334236283,39.20616269699513,35.762882947374024,102.34365168045096,2.0
aug_4.0_8828ed50,59.80842167988922,43.41706395895919,38.95737130783887,115.49013459436944,4.0
aug_6.0_5b2e1326,45.55283524699552,33.029270423142606,30.21696829926779,82.39914432929741,6.0
982,58.51580953397459,41.95867797258258,38.3977298336911,111.43727611732275,7.0
aug_0.0_7b7cad88,59.10641563564934,43.34790572898287,39.09608780402853,115.16109173258933,0.0
aug_0.0_976907a8,59.17804996035193,43.39695604991268,39.39827385390416,113.94865623744496,0.0
2021_Aug_30_SR-3501_SN19387Q4__00148.sed,48.25648259415251,34.68677978010383,30.979263690747203,88.79688247909343,1.0
4412,57.25443541523413,42.187156886808665,37.927112460543455,110.29969110184813,2.0
2918,51.278850526687314,37.456539551843946,34.6975552883233,100.49636586323788,2.0
2021_Sep_01_SR-3501_SN19387Q4__00850.sed,47.9489517811209,33.98595595364164,30.25756405604965,87.33929409427637,6.0
4359,58.96992385401454,42.83677979578417,39.17597306060594,115.19644396586114,9.0
2021_Aug_30_SR-3501_SN19387Q4__00169.sed,52.341367108193246,37.57660432001751,33.474024998778816,96.21932347960995,1.0
2008,57.99382261262978,42.7311525763804,38.64195921111377,111.26446869646357,7.0
aug_0.0_42db3340,60.18111921699409,43.09146882568692,39.03499180500511,115.9903828201777,0.0
aug_4.0_c728865e,59.6877200952014,43.2898083590454,38.94379873129313,115.21190036098744,4.0
2021_Sep_01_SR-3501_SN19387Q4__00770.sed,58.0846609967476,41.952127804780936,38.012033524702034,111.49217197672012,6.0
aug_1.0_483b81f6,43.64829964458579,31.90645620986733,28.232538293921543,80.42469610364137,1.0
aug_1.0_944e70eb,59.95831946550855,42.88328099324025,38.858345077900935,115.15364322604172,1.0
aug_5.0_224cebd5,59.6629142814957,42.950271769550106,38.95031245290853,113.44109604660984,5.0
2891,51.13757252286365,37.36050831252835,34.72026188509976,100.7135429070354,2.0
2241,59.534918395419965,43.480478732694266,39.2074641469354,115.4903334280481,9.0
aug_0.0_b5c0a62c,60.24758168454465,43.51359611008589,39.35856310096819,115.64713677302493,0.0
4929,50.35272727222573,37.354390716605245,34.072234140252434,100.45821678083186,2.0
2021_Sep_01_SR-3501_SN19387Q4__00745.sed,58.58494828703756,41.86750226653125,37.39890833681329,109.6580415217621,6.0
aug_5.0_de2ed30e,57.28970011476129,42.18637177969291,37.42465250673037,110.20572667869696,5.0
2021_Aug_30_SR-3501_SN19387Q4__00226.sed,57.72924586219793,41.35015399254924,37.63482555630364,110.04430593967167,1.0
2021_Aug_31_SR-3501_SN19387Q4__00173.sed,49.79339971360118,36.79335488462964,33.83127885876103,94.1197517010117,2.0
4877,37.25014789106706,27.181224409925,26.23148236851064,76.30123640285655,8.0
aug_0.0_7c13d7cf,58.91704568020903,42.39068531672352,38.6110434395998,112.38535694075247,0.0
2314,49.00783828849452,35.12102367453707,31.709205709821696,92.7722887786623,7.0
1483,49.407493522792656,36.19351455294964,33.33199649030407,99.23355065061696,2.0
aug_0.0_6629202b,59.25376090316996,43.39765845382741,39.61034462535019,115.54442406986055,0.0
2021_Sep_01_SR-3501_SN19387Q4__00427.sed,57.923276136674495,41.68098085709907,37.9616177933914,109.88944980820796,5.0
aug_4.0_f39093f0,59.23438869130956,43.09736856494174,39.05014895364808,113.93119959645053,4.0
915,55.91465152852335,40.62437618320752,36.85240786302384,106.98597952320016,2.0
250,14.991723011898507,10.721774338663025,9.525967389370251,27.28494782936416,2.0
2021_Aug_30_SR-3501_SN19387Q4__00150.sed,48.5772595062495,34.97139338115642,31.026622429791452,89.63853785320585,1.0
327,13.509953014160814,9.985222556515996,9.432307368040902,27.72203272136032,5.0
2021_Aug_30_SR-3501_SN19387Q4__00107.sed,59.4193368267926,42.96962012715741,38.41849708957997,113.65946388295144,1.0
2541,58.9508425388032,42.606481797992814,38.53831394629283,112.25048476475956,7.0
4290,58.26137840719825,42.6738361985713,38.71169766646766,111.64560650945776,7.0
2021_Sep_01_SR-3501_SN19387Q4__01042.sed,53.44514816438104,37.78624123339884,34.94880361976597,98.43334543342158,6.0
1008,53.31393664683196,38.86385734850376,34.548278294563154,100.99638240601465,8.0
2021_Sep_01_SR-3501_SN19387Q4__00457.sed,57.97234368855476,42.64055723545815,38.1506095915459,111.66628396170913,5.0
aug_1.0_26737ad4,58.46595381418916,42.17169443563889,38.16674572702114,109.76121549144015,1.0
2267,58.97620811907175,43.38918133613275,39.29009285292505,113.63108405736364,9.0
2021_Sep_01_SR-3501_SN19387Q4__00449.sed,57.95840143215512,42.32008342999801,37.76399084314473,111.74899851219024,5.0
