Sample,red,green,blue,black,Material
4688,28.63704627099112,20.14163708312784,17.097817919577707,50.94821317972119,8.0
2524,57.62863960188207,42.19313109384805,37.96252618844059,112.10735806355424,2.0
4023,51.16457201748274,37.36926126828621,33.958098223346134,100.18021968288652,8.0
4753,59.603394946760986,43.2215427481105,38.9396195368571,114.84019859905884,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,48.27358954922976,35.374966189355,32.91307369866859,92.12366010322512,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,57.854207298181805,41.77876696521168,37.86323533365298,110.29024965858494,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,58.12203963140176,41.632482068166254,37.74463727172708,109.53639189427744,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,56.82346219569532,41.494225599527645,37.79926369998542,108.8329297583912,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,49.893818417480986,36.09172896889593,32.30083676754749,92.44450784145468,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,31.87788064561613,23.06840481288713,21.541314322181528,57.49884135933975,6.0
3853,42.648069357873645,30.323013329362983,27.286949092670536,79.86336648873491,2.0
5059,59.29355832075285,42.56163070075919,39.00554466090632,114.7806157109867,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,58.1663944512874,41.83384898389893,38.12064359071651,110.27204411541535,5.0
4630,45.09293058377841,32.371871546221726,28.94223471057729,83.95202104647142,2.0
5032,59.73487000911621,43.18572595454089,39.08208849301269,115.2255518964728,9.0
aug_0.0_95e5e8d2,59.81573803479264,43.51964348168032,38.94884682248257,114.689116758622,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,56.975061793490646,41.03776159424039,36.56896235760152,107.57424658961564,1.0
aug_6.0_e166a68b,57.96594515982822,42.41585048015054,38.24272505356104,111.90625071095464,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,59.77111113721718,43.412362555942295,39.3064050088858,113.95665666670853,4.0
4376,59.27128949052135,42.84151393467119,38.89922978378398,114.14009952493124,9.0
aug_6.0_b40f34ec,43.20781703927632,31.575326269426764,28.7100538617537,80.17473323138701,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,45.04079775785528,33.21440454481439,30.65015376076833,86.07816951930883,2.0
aug_1.0_9a9a44dc,58.325766550694624,42.11182563020135,38.22650544517295,111.76182537013028,1.0
aug_4.0_1ad08d39,59.43773213692722,43.40671455685828,39.132825152866175,114.69435431112072,4.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.5643957651949,43.22754029335804,39.24875461796965,115.36882762467924,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.10575741226568,34.410363049323045,31.11535286410253,86.59330951973533,6.0
1021,45.24032222703652,32.65383506417092,28.984057812546546,85.75141488988027,8.0
576,43.101859750897226,31.12442851060137,27.589338241070426,82.04721584922268,2.0
761,53.67812446653293,38.64250302997042,35.63513417410866,104.22453201942967,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,55.70033502953111,39.70707249747005,36.15040545639644,102.95399958621236,2.0
aug_3.0_2b89533b,58.2611751599437,41.97088291878127,38.02065031524257,111.00650575334367,3.0
3523,59.57217167494968,43.12240101368043,39.15594470073019,114.38824039023196,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,56.31663602342866,40.94883950972257,37.154012616680944,108.87374110141776,5.0
3866,56.90633244779156,41.77235979970469,37.58668776474471,109.16318810554364,2.0
aug_3.0_fa0a66b8,57.72647419174434,41.97771462356655,37.99895063758632,109.5698517415496,3.0
2072,35.107833927540895,25.27925261833536,23.788122085271823,68.6866245891879,8.0
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,57.37768734470224,41.75394957045355,37.74265572216363,110.84315153213424,3.0
1467,57.177367239888085,41.848633333826754,37.69397144340662,108.6920507236907,2.0
aug_0.0_e8471688,59.55706838491005,43.5721633756507,39.41848490016516,113.34001507096238,0.0
3092,51.10963130440331,37.220610573496856,33.23318043118768,96.1694700381046,8.0
2021_Aug_31_SR-3501_SN19387Q4__00010.sed,42.339435065644025,30.991272594324496,28.649262765370047,81.76202252344234,2.0
718,48.35411688945608,34.503733462940794,31.74070799583909,94.77537430505151,7.0
1115,56.48504072296931,41.70546760723595,37.20475766485526,108.75794656745408,9.0
46,25.77682421365425,19.354483718171625,18.145852741194886,52.24667317170103,7.0
2021_Sep_01_SR-3501_SN19387Q4__00709.sed,20.458864564582026,14.938671780976948,14.331131786548408,38.52357057977168,6.0
4759,58.82518143535729,43.03441240259679,39.0307647852679,114.53625103038028,9.0
341,13.291413066557029,9.52170128033048,8.25847902490271,24.25182894437266,2.0
2021_Aug_30_SR-3501_SN19387Q4__00338.sed,56.02323683298638,40.04401193022687,36.61664851979213,105.15783908707404,1.0
2021_Sep_01_SR-3501_SN19387Q4__00644.sed,57.07332577791499,41.41867808308585,37.42486313293007,108.95392608996282,5.0
2021_Aug_31_SR-3501_SN19387Q4__00170.sed,49.39031605586723,36.006896802117616,33.0600520250206,93.71213078341454,2.0
2540,58.80081870949098,42.90826680537676,38.47586582046407,112.86847227785552,7.0
2021_Sep_01_SR-3501_SN19387Q4__00816.sed,58.78603674674831,43.03826435374691,38.61574946028299,112.0454442110374,6.0
1964,57.55634903185087,41.55067109210711,37.52803690418023,109.0301720814888,7.0
