Sample,red,green,blue,black,Material
4688,28.47645609555053,20.208153510383674,17.248130708012113,51.19574899843752,8.0
2524,58.55263257434571,42.69440586552993,37.93469944154673,111.97713581784308,2.0
4023,51.31273943488852,36.96379613820343,34.19093044855981,99.67164091294724,8.0
4753,59.76175123330273,42.99899435086862,39.33426870477013,114.72628726146613,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,48.926697269358655,35.71620184173002,32.56521104482796,92.65725528580026,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,58.20137171033359,41.5635436192649,38.02012038292303,110.87873559620914,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,58.18367866561725,41.533943777569846,38.05949163048987,109.90747882691072,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,56.955014881580496,41.558232643058034,37.28441072752042,108.99385279352995,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,50.2745094752347,36.408706620026805,31.98281250535952,92.1984657865276,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,32.01884071328311,23.48292913512064,21.757825446428814,58.43938501935878,6.0
3853,42.53651082241411,30.33800033929178,26.993091875726677,79.75629159610008,2.0
5059,59.39872345799933,42.71611786424239,39.264457046222645,113.31769822768148,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,57.68213988734254,41.84250260550988,37.8743089258581,110.219004300647,5.0
4630,44.95639529576373,32.59989831088391,28.722975557160304,84.73956844053146,2.0
5032,59.57572276821461,43.22678582115252,38.83682925635528,114.34984379311165,9.0
aug_0.0_95e5e8d2,59.22079766333791,43.41132777760426,38.90234307237421,113.92314912587406,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,57.11081001987919,41.07630608393456,36.31547277269526,106.77698449963576,1.0
aug_6.0_e166a68b,57.99601153252876,42.021882114461576,37.85717333987961,110.6272227377742,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,60.179685480326114,43.20895243423078,38.80826871739248,114.60140069221823,4.0
4376,59.00350563567056,42.806961938159006,39.00510351448648,113.63840748430044,9.0
aug_6.0_b40f34ec,43.05194845142461,31.66120575129227,28.8911613765221,79.7394144247595,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,44.92193153637528,33.02227884991686,30.82500031389874,85.87453821418092,2.0
aug_1.0_9a9a44dc,58.33813007874952,42.389168915933695,38.0142260359839,110.38177310039484,1.0
aug_4.0_1ad08d39,59.12854377586831,43.11158679900868,39.28968208727318,115.6794128018112,4.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.38186196614532,43.1788999932282,39.55169708000223,114.05837789640005,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.40196545593865,34.008494741220645,31.18014284773908,87.15710048543278,6.0
1021,45.70812747566683,32.60484799706869,29.164973641531457,85.31466882915478,8.0
576,43.581972781579765,31.13062554385796,27.687971716697525,81.94050733696653,2.0
761,53.35312436425437,39.34477295730517,35.35818271393919,103.62052956513446,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,54.6314488819941,39.754434640891645,36.25284860432265,103.29034516638164,2.0
aug_3.0_2b89533b,57.688002261905496,42.081973397308175,38.27405039932998,111.22622933929168,3.0
3523,58.86628286494616,43.49582493724638,39.129450084035945,115.11253737284684,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,56.48288244930066,41.35748163737025,37.28897659227483,108.91174331239397,5.0
3866,56.42131407053191,41.21335351664867,37.57351112132156,109.59301314365638,2.0
aug_3.0_fa0a66b8,57.85626487964956,41.72747775066297,38.09379512359704,111.39121847357126,3.0
2072,34.94434396034059,25.19337044239192,24.05646377906799,68.0981719392597,8.0
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,56.69325194049812,41.33433638701825,37.736715132300745,108.86312347504034,3.0
1467,57.61801973388202,41.66293964827842,37.61317261597202,110.30873230384115,2.0
aug_0.0_e8471688,59.22524167281276,43.58376692974828,38.888074914834746,114.71852186968104,0.0
3092,51.811616423117535,36.85937945532762,33.471322819890425,95.16612609073272,8.0
2021_Aug_31_SR-3501_SN19387Q4__00010.sed,41.93494547538192,30.681905610514303,28.77377839449361,81.6478825088942,2.0
718,47.876167617195605,35.109203854931785,31.90011428565665,94.63719904803956,7.0
1115,56.76715748528426,40.980984658319386,37.38755219939734,108.50115446756392,9.0
46,25.68228188716704,19.238510268080496,18.07385273526502,52.48187317544539,7.0
2021_Sep_01_SR-3501_SN19387Q4__00709.sed,20.56663628725239,14.792020449157484,14.349275680056014,38.55654443559533,6.0
4759,59.201511831624586,43.23907300130207,38.80827379339159,112.80411323372748,9.0
341,13.134649858374502,9.506174187939532,8.33921615263351,24.28901111122179,2.0
2021_Aug_30_SR-3501_SN19387Q4__00338.sed,56.225394770341126,40.59294119592471,36.77844270019342,104.38828721598216,1.0
2021_Sep_01_SR-3501_SN19387Q4__00644.sed,56.603277176297,41.19516721757133,37.519659844148464,109.53852639987926,5.0
2021_Aug_31_SR-3501_SN19387Q4__00170.sed,49.18895906954512,36.1535192949752,33.35439289282266,94.01588086497624,2.0
2540,58.63014312452398,42.37971286665864,38.21445835434732,112.0373552684016,7.0
2021_Sep_01_SR-3501_SN19387Q4__00816.sed,59.6507660582036,42.60653750350914,38.76776556707316,113.3928029786372,6.0
