Sample,red,green,blue,black,Material
4688,28.688123638634103,20.1247182512377,17.240450288999504,51.08327478309467,8.0
2524,58.3316626358561,42.40521817548881,38.22779977031943,111.71581389533527,2.0
4023,51.0854454160998,37.33288231638417,34.40907549667394,98.778785538026,8.0
4753,59.40021557899226,43.22333394701033,39.02252944216063,114.19023881954202,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,48.71026545944432,35.73493246375752,32.7405282339336,92.45010972216129,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,57.755732494267605,41.91079844484049,37.76933995416133,110.1418208715838,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,57.80334058301325,41.90010669605675,37.81530539605809,110.09854509563372,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,57.16652716499205,41.60299498211217,37.55289764531717,109.70263243263824,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,50.13999379388324,36.12804535235467,32.1953549361722,92.88107946893844,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,31.7694609426674,23.259265005378687,21.557103485467763,57.87127289722415,6.0
3853,42.50261630423306,30.52962664588111,27.12893462291889,79.4215778373589,2.0
5059,59.22770970647285,43.1144905786707,38.96748116086157,113.97105218806678,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,58.15433167214741,42.13809016917967,38.05764493131476,110.80710732348298,5.0
4630,45.13862758894442,32.44584258237268,28.860841312305997,84.35996815748848,2.0
5032,59.24731009545749,43.12292632551007,38.97141594414263,113.96378578969204,9.0
aug_0.0_95e5e8d2,59.73015533356285,43.46937355147685,39.252430043446594,114.91391213651266,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,56.808138844478535,41.00303932958069,36.63752900072525,107.45719838219478,1.0
aug_6.0_e166a68b,58.4782196259936,42.32461805044164,37.9446733366004,111.30881671532964,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,59.61941969942619,43.40903519517526,39.19264374886305,114.78060082628038,4.0
4376,59.33850444703956,43.18604863811428,39.00366698717463,114.15461014651254,9.0
aug_6.0_b40f34ec,43.03903955773028,31.43628999694872,28.68128759009725,79.45585057417408,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,45.07163934278322,33.1652382349821,30.57449791679961,85.9109204152752,2.0
aug_1.0_9a9a44dc,58.58178762019907,42.37116634548536,38.09336798193863,111.46393897507258,1.0
aug_4.0_1ad08d39,59.63810602083821,43.41212834344566,39.19479664527566,114.74718318717362,4.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.68602702511497,43.44236337989293,39.23419300585753,114.86657437030358,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.02810095765544,34.14378850971862,31.125127183712014,86.45412191067625,6.0
1021,45.33562985350044,32.56208289885836,29.075043419434976,85.23612034652824,8.0
576,43.14923411938752,31.060228622182567,27.79168689620219,81.80493937422384,2.0
761,53.374607740436,38.960627901894405,35.52954528295097,104.03108012084964,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,55.17355225895619,39.64816552645167,36.287905038721725,103.3693949963573,2.0
aug_3.0_2b89533b,57.9092873626353,42.1298877731719,38.0296354274845,110.8122499552976,3.0
3523,59.44101679768578,43.254945307843656,39.07865237461712,114.36872356604324,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,56.710045225016906,41.13381227755684,37.032248022034906,108.50690269351792,5.0
3866,56.790743896508445,41.39049524028291,37.58990931505373,109.45363118634197,2.0
aug_3.0_fa0a66b8,57.85449897734258,42.10688778680645,38.01464236669407,110.97914464747008,3.0
2072,35.00183426431311,25.412768308269005,23.833845338967283,68.75934538646315,8.0
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,57.14458989595745,41.57448958033511,37.51954540460597,109.71695973178385,3.0
1467,57.139550285150925,41.69049495293799,37.8881071349145,110.18377965031831,2.0
aug_0.0_e8471688,59.67578078552295,43.44308629069498,39.23119640282157,114.85680942854252,0.0
3092,51.42832364591137,37.16672499317817,33.234314049339304,95.92627256523994,8.0
2021_Aug_31_SR-3501_SN19387Q4__00010.sed,42.23629268140556,30.877197026031038,28.69304407405968,81.18269512566701,2.0
718,48.03501457453674,34.75799692737443,32.03157613293227,94.5441760041155,7.0
1115,56.709777455163966,41.25640408750394,37.27279780719828,109.05348531647228,9.0
46,25.70633245586497,19.148031312005436,18.17678720243773,52.27467318595131,7.0
2021_Sep_01_SR-3501_SN19387Q4__00709.sed,20.412491593317338,14.930949697271588,14.284404856525224,38.26468000593943,6.0
4759,59.245739178418376,43.10174132137761,38.90266112685832,113.85085856768646,9.0
341,13.256119874482904,9.546945509922873,8.352226649664631,24.391931387780204,2.0
2021_Aug_30_SR-3501_SN19387Q4__00338.sed,56.11558881735433,40.35204855648737,36.50023483951491,105.2833593617633,1.0
2021_Sep_01_SR-3501_SN19387Q4__00644.sed,57.0770899601921,41.45373581565959,37.33632223798506,108.97113273850071,5.0
2021_Aug_31_SR-3501_SN19387Q4__00170.sed,49.52875942775282,36.28815597164509,33.224111778399184,93.794040072395,2.0
2540,58.54865311826247,42.56917838775379,38.35711212751131,112.30160935158638,7.0
2021_Sep_01_SR-3501_SN19387Q4__00816.sed,59.188699897979625,42.877605558747696,38.59811161056991,113.03272785103108,6.0
1964,57.39158518070893,41.63204062340761,37.41863703918878,109.5334336374332,7.0
4899,37.83844747384521,27.771220242122972,26.76646846147693,77.64298327192614,8.0
4223,54.4259091007327,39.47005723651461,35.44677135119668,103.8767733104534,7.0
5111,59.23388459129077,43.10502696138965,38.92611079834845,113.84026486631736,9.0
2021_Aug_31_SR-3501_SN19387Q4__00354.sed,59.64780687476946,43.41341149168378,39.20048947768492,114.80436148822076,0.0
2021_Sep_01_SR-3501_SN19387Q4__00802.sed,58.93513722874282,42.66514024055883,38.36224800998367,112.37327389705445,6.0
2021_Sep_01_SR-3501_SN19387Q4__00609.sed,55.558645846051874,40.27930963839139,36.23674989401936,106.43235897201336,5.0
aug_6.0_3989555e,58.48974776149264,42.330720026227695,37.94563040146185,111.28479812331776,6.0
4914,56.43408687702003,41.11001764352871,37.33503379297554,108.65287219701116,2.0
2021_Sep_01_SR-3501_SN19387Q4__00034.sed,59.81724698732922,43.52695205386365,39.3132027708653,115.0718310168438,4.0
2021_Sep_01_SR-3501_SN19387Q4__00176.sed,59.485190230530655,43.30481911127436,39.09575041808905,114.46927613086044,4.0
5241,50.41355321060498,36.63144445733287,33.08488767209157,96.60239727919904,2.0
4248,52.20948909693808,37.856527568028426,33.99187571920913,99.57819918694923,7.0
aug_0.0_f16076ff,59.70640040171625,43.45673346539592,39.24449913024357,114.89343544027192,0.0
2021_Sep_01_SR-3501_SN19387Q4__00758.sed,58.33063068272161,42.21376932488101,37.79859556711418,110.95594677466968,6.0
3574,44.25324048744998,31.86412270834676,28.76012044252089,83.77844969563783,8.0
2021_Sep_01_SR-3501_SN19387Q4__00868.sed,51.11750819446316,36.602682842944354,32.458045472244905,94.10371547875611,6.0
4234,58.57050254020469,42.57026659431735,38.35139527098547,112.24448101617574,7.0
828,33.25898984875361,23.65297697580898,21.28530068796877,62.92747170024912,8.0
2021_Aug_30_SR-3501_SN19387Q4__00223.sed,57.301823928352086,41.26629759631224,37.224419447872506,108.10269621521518,1.0
2021_Sep_01_SR-3501_SN19387Q4__00556.sed,57.462034938473096,41.66723687796039,37.6051455288952,109.4256393891062,5.0
2021_Aug_30_SR-3501_SN19387Q4__00068.sed,58.03453536764772,41.97502368146294,37.66713567411819,110.21864903704002,1.0
2021_Aug_31_SR-3501_SN19387Q4__00045.sed,46.66724831676367,34.17270412242805,31.58542007473671,87.86659094800059,2.0
aug_1.0_07ddf4ce,49.77582997475257,35.581154938089,31.474646065592545,92.3061552812324,1.0
aug_3.0_8c89532d,56.66893011093643,41.20693614661279,37.18447753010199,108.81938130314308,3.0
4646,56.13929397346665,40.75317196516834,36.66369655507103,106.9667626391329,2.0
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,59.73236396331805,43.47035337443408,39.25589145030884,114.89648153366392,0.0
4809,53.56424385490705,39.07032042499522,35.74469986826624,104.06746745390488,7.0
3214,58.41923719661397,42.40338656030339,38.141309820091536,111.60591139318424,7.0
2021_Aug_30_SR-3501_SN19387Q4__00114.sed,59.50145274706557,43.17254032244042,38.971759778418566,114.05350719254638,1.0
2021_Sep_01_SR-3501_SN19387Q4__00069.sed,59.63889982750771,43.41079247769204,39.194619000037065,114.73046821364848,4.0
aug_1.0_5e7dc3d2,58.03637319650887,41.973543113525714,37.66074873635493,110.18257231683198,1.0
2021_Sep_01_SR-3501_SN19387Q4__00127.sed,59.68424816270394,43.420653634431964,39.195938341917454,114.74416440350554,4.0
