Sample,red,green,blue,black,Material
aug_0.0_5029af90,59.72311909758229,43.46692938572423,39.25011422739202,114.89425287249252,0
3641,57.65632078462511,41.89561372385184,37.74076723441454,110.47750888062131,2
2021_Aug_31_SR-3501_SN19387Q4__00798.sed,58.85437600060338,42.68371484076873,38.55988420397934,112.49096814987136,3
aug_0.0_eeca5bf7,58.74937065527699,42.75207393527366,38.59904341989339,113.11930274889944,0
171,45.67305692848754,33.06838604938526,29.935540670307542,87.92147941271443,9
3807,59.661817609023885,43.41399231701847,39.19727218970144,114.74642056681576,9
vae_aug_3.0_811316,53.4873513650742,38.81940070421152,35.07551567928337,102.21915837819792,3
1862,31.00035546497758,21.873331555523084,18.93027895214557,56.01966853839284,8
222,31.35820922150732,22.797110713662025,20.516322545885245,60.46143632903896,2
aug_4.0_ea9e2f18,59.61542056886186,43.39275864027206,39.18273760247666,114.7543340295642,4
4177,54.025428846412055,39.14865765674973,35.193772274428866,102.3790976870778,8
2021_Sep_01_SR-3501_SN19387Q4__00863.sed,50.563732700239626,36.15243001572341,31.99975504132404,92.84772241598544,6
4093,58.49265145269329,42.596512563858695,38.576637158586365,112.83052123122698,9
vae_aug_5.0_28251,53.487351648023655,38.819400856245394,35.07551579094038,102.21915877715496,5
2021_Sep_01_SR-3501_SN19387Q4__00588.sed,58.71325643159745,42.53377783841155,38.43245191836186,112.07267156632317,5
2021_Aug_31_SR-3501_SN19387Q4__00302.sed,51.943979564341554,37.84984687072109,34.57950257303234,97.68522501969012,2
2021_Aug_31_SR-3501_SN19387Q4__00414.sed,59.707370013233465,43.45961523084503,39.24437943050826,114.87973532358048,0
1183,50.52910821362244,36.56778748953318,32.735113314288725,96.07498409076162,7
2961,48.44038921782242,35.22937435128504,32.0588315557506,92.22624252935914,8
2021_Sep_01_SR-3501_SN19387Q4__00120.sed,59.67963234761335,43.415483978461424,39.19719246974205,114.73337448677188,4
2021_Sep_01_SR-3501_SN19387Q4__00615.sed,55.85842320148025,40.53266739639743,36.473890030995605,106.92096724317074,5
2021_Sep_01_SR-3501_SN19387Q4__00319.sed,59.599820730904014,43.38830593191751,39.16745063032329,114.63168292840628,4
2546,58.71450396364197,42.68463439677075,38.46302974697677,112.5854529525759,7
3081,47.7143596111781,34.45300611260295,30.713953354307694,89.07058812442361,8
aug_0.0_6cd56ed1,58.4372015300589,42.52546583776645,38.39183313017693,112.57903701307288,0
2021_Sep_01_SR-3501_SN19387Q4__00325.sed,59.61727044814097,43.39676760285656,39.17554888695663,114.65334671159148,4
2021_Aug_31_SR-3501_SN19387Q4__00700.sed,57.01270294278954,41.469138533481726,37.4297807431938,109.56059291008076,3
3190,51.08134516987009,36.69422390455381,32.491586952196464,95.49649690558464,7
766,32.6610825105607,23.24276085539926,21.046270497113994,61.62256018884042,8
4128,53.08165965569335,38.76207637493096,35.50739219246058,103.60488212002376,7
vae_aug_3.0_557616,53.487348252282544,38.81939891131921,35.07551427464427,102.21915412623385,3
vae_aug_5.0_743192,53.48734848135723,38.81939894375823,35.075514192792305,102.21915339091976,5
2021_Aug_30_SR-3501_SN19387Q4__00291.sed,48.61884989302277,35.1765927384627,31.60110563654192,89.61169708845401,1
vae_aug_5.0_320326,53.487351648023655,38.819400856245394,35.07551579094038,102.21915877715496,5
4884,49.18913688388764,35.94300415844893,33.23853538129417,95.44026768625469,8
2021_Aug_31_SR-3501_SN19387Q4__00611.sed,58.0659774561943,42.25584732159429,38.14553287632497,111.31145583312716,3
2021_Sep_01_SR-3501_SN19387Q4__00226.sed,59.611307675557,43.38667539995658,39.1712749717928,114.62509811368804,4
2021_Aug_30_SR-3501_SN19387Q4__00168.sed,51.81122194010808,37.36341107477657,33.41508199465008,96.27220180802922,1
vae_aug_4.0_617941,53.4771359737048,38.81228784783943,35.06965235587464,102.20506858362634,4
3536,56.49621677636597,41.12314634138891,37.17929026620419,108.74582061265625,9
4030,53.29739121266263,38.92557816872019,35.71218424659464,102.43939318995491,8
aug_6.0_3fa4698f,44.18003023982025,32.2730887726447,29.424451519748143,81.48561257518497,6
aug_0.0_6f133bdf,59.729969855222095,43.46932559642234,39.2525260079792,114.90196105090617,0
2021_Aug_31_SR-3501_SN19387Q4__00671.sed,59.40175413987557,43.14281220704099,38.98357408433854,113.940225373501,3
2021_Sep_01_SR-3501_SN19387Q4__00875.sed,51.78514722728819,37.112459958930486,32.97893885502968,95.51494721267056,6
2021_Sep_01_SR-3501_SN19387Q4__00298.sed,59.55802720296094,43.366424907859226,39.14765402938492,114.5922067844286,4
2186,57.22944615089504,41.6858457044108,37.78340631433323,110.03923144722783,2
aug_5.0_af6b0e4b,55.42679489699987,40.176654646629416,36.13903732792826,106.22605229010976,5
vae_aug_3.0_154742,53.48735097809468,38.81940050376882,35.07551551622175,102.21915784012252,3
3214,58.41491381824596,42.39892860987827,38.14524014885104,111.59574270718016,7
2021_Sep_01_SR-3501_SN19387Q4__01020.sed,47.00379527790622,34.12119477147798,31.10425044988032,86.38770100479329,6
2021_Sep_01_SR-3501_SN19387Q4__00400.sed,56.7356943769589,41.16592786818265,37.06140137334863,108.36601567898936,5
vae_aug_3.0_752520,53.48735140032328,38.81940072201608,35.07551569161094,102.21915842632092,3
2021_Sep_01_SR-3501_SN19387Q4__00294.sed,59.54221984859748,43.35604904856018,39.138438562738486,114.57268137881364,4
428,3.5134618865561995,2.7063579421530943,2.5858861180109534,11.45393682744521,4
3072,30.36367492496644,21.39351200509401,18.45752822765965,54.61939085437713,8
2021_Aug_31_SR-3501_SN19387Q4__00276.sed,48.41547903775806,35.528475090661146,32.550692251171455,91.83755416690929,2
aug_0.0_1ba451c2,59.742162327454366,43.468254148814765,39.25209005965675,114.91423434706786,0
aug_6.0_e166a68b,58.48368579228644,42.33189688435945,37.94365057029137,111.29566187627502,6
2021_Aug_31_SR-3501_SN19387Q4__00224.sed,56.17022913422372,40.560728871541606,36.9620477001416,106.01281454606888,2
956,59.68290066792535,43.43054453645336,39.20412642832586,114.78340280529407,9
vae_aug_6.0_60691,52.06877369477024,37.33156300372369,34.25785308432175,98.35705281073729,6
4927,57.59719033347318,41.94898996704687,38.02707825699675,110.62693804060572,2
3058,59.55377295682321,43.34994070401845,39.1600583654112,114.60151699361089,9
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,59.61664519736753,43.39640006855366,39.17531985136733,114.65243015062784,4
1387,39.362405198793866,28.950222625454117,27.809903959329887,80.7336719677178,8
2021_Aug_31_SR-3501_SN19387Q4__00617.sed,58.167588644448585,42.324905148027725,38.20849372227353,111.47610605922156,3
aug_1.0_dce7442a,49.37851174993352,35.6777232561261,32.07283243731026,90.9775204636957,1
vae_aug_3.0_645693,53.48735083810367,38.81940042597255,35.07551545485629,102.21915765877976,3
1996,57.6473827610419,41.9395641983473,37.99609570920141,110.83795222699288,7
429,38.63858554445316,27.726411561701067,24.50504968763304,74.7881212032064,4
910,55.61829190494184,40.30595774613484,36.161628771571415,105.85667416406584,2
245,36.2984858557158,26.03223903803901,22.95439124553353,67.75477968205894,9
vae_aug_4.0_669624,53.48735164782194,38.81940085382904,35.07551578829474,102.219158772167,4
2021_Aug_31_SR-3501_SN19387Q4__00137.sed,42.92248866366323,31.623486467669608,29.30823773612297,82.28009661503124,2
4861,49.81751656899489,36.27995316278872,33.02066023302888,94.7019143790057,8
aug_0.0_f0a0a3b8,59.74403301168619,43.4739174605518,39.25562440859733,114.91602223634084,0
5289,55.90880351104451,40.61280045151498,36.642991446197335,106.4265140755846,8
3800,59.66033342627695,43.41304271100108,39.195790656663526,114.74690378297242,9
1957,57.17008632483255,41.466127951083365,37.24442305030048,109.0865764579075,7
1924,43.06957875427536,30.9861696179651,27.606436466992417,80.77554769958223,2
vae_aug_4.0_168480,53.487351648023655,38.819400856245394,35.07551579094038,102.21915877715496,4
vae_aug_4.0_732888,53.48735164708333,38.81940085358846,35.07551578812691,102.21915877111994,4
vae_aug_5.0_195158,53.487351648023655,38.819400856245394,35.07551579094038,102.21915877715496,5
2480,54.020182339514975,39.14685450972463,35.155826580331606,102.55995813469454,8
vae_aug_6.0_748539,53.450648431108704,38.782002701996674,35.04519847603818,102.11271928116489,6
933,58.54085595896725,42.57076365156072,38.3912533987228,112.4574773682926,9
2021_Aug_31_SR-3501_SN19387Q4__00413.sed,59.70781998419061,43.46019581512432,39.24526458912825,114.88103518020208,0
2021_Aug_31_SR-3501_SN19387Q4__00570.sed,59.38994194861382,43.13121451256127,38.97433656159468,113.90471250943894,3
2021_Sep_01_SR-3501_SN19387Q4__00670.sed,58.02006526508786,42.08366717834246,37.93292421395032,110.61444787409349,5
2021_Aug_31_SR-3501_SN19387Q4__00373.sed,59.6629077788495,43.42980472059869,39.21961697880154,114.83650102300382,0
4160,46.62940774023913,33.69481235916996,30.47574917409895,88.66982248977575,8
2021_Sep_03_SR-3501_SN19387Q4__00169.sed,58.60606349611592,42.64444407123701,38.49820803299893,112.86110931868195,0
2021_Aug_30_SR-3501_SN19387Q4__00007.sed,58.47085457434397,42.5501773047904,38.40887431274293,112.5010429903854,0
2021_Sep_01_SR-3501_SN19387Q4__00841.sed,47.065513544978266,33.3166028449627,29.093012279767034,85.05603629298115,6
4378,59.28752117542171,43.14539915443726,38.95610957408418,114.03028715880455,9
vae_aug_1.0_550946,53.090794800960175,38.350492432126885,34.47316280524218,100.6898429383298,1
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,57.76474396721336,41.91343263958476,37.76711590495774,110.12863277538352,5
2102,38.71902549518696,28.39195937560202,27.17009865856216,78.93870058101032,8
vae_aug_4.0_773403,53.487351648023655,38.819400856245394,35.07551579094038,102.21915877715496,4
4056,59.494862086535846,43.30293882974031,39.11482606440472,114.45437275754044,9
aug_1.0_e1bce6cc,52.87403063841465,38.09875039585995,34.127533217812214,98.3043360166702,1
4958,57.72389482613906,42.08080788985711,38.17118750386829,111.13239094754869,2
1453,51.03794319527789,37.41503569316912,34.49002492589136,101.04011814740583,2
vae_aug_3.0_827260,53.48735079366456,38.81940040380839,35.075515438532435,102.2191576028526,3
187,31.1372741081634,22.647539251777594,20.31758181269473,60.06572528145109,2
2021_Aug_30_SR-3501_SN19387Q4__00135.sed,45.0678889079794,32.196854692798695,28.33322221062925,82.22341420296338,1
aug_0.0_de38a1d1,59.65146339641339,43.41970244360463,39.21049015959693,114.82702359114532,0
3611,53.28100470659221,38.62632352526829,34.7187074871074,101.17067410996503,8
4291,58.64390187972237,42.60720163402296,38.35314757103785,112.33887646693807,7
2021_Aug_31_SR-3501_SN19387Q4__00594.sed,57.64928805612214,41.95544362575044,37.87186805427597,110.61869727922794,3
5297,46.19243748865031,33.34864540646956,30.125679347822,87.6822659830078,8
2021_Aug_30_SR-3501_SN19387Q4__00078.sed,58.319047232850096,42.17451288319835,37.88303042110016,110.82817109631064,1
4702,48.81882978237623,35.327921252095564,31.60060382940828,91.14180595549178,8
716,48.023093817833896,34.74306729522316,32.013367737428,94.48635879827636,7
aug_1.0_c081689a,57.608915487324886,41.6514289724698,37.320789165598725,109.27553501826524,1
vae_aug_4.0_835628,53.48482062784488,38.817729645855785,35.07417986357187,102.2156725510853,4
vae_aug_3.0_526806,53.48735030624246,38.819400121059545,35.07551521323827,102.2191569386164,3
3014,59.4977593010326,43.30569820273507,39.11562725404869,114.49256520791091,9
2020,53.052106847127135,38.69630858789798,35.35099797462571,103.2233806139597,7
2021_Aug_31_SR-3501_SN19387Q4__00451.sed,59.76326010817422,43.48329283156717,39.26549703437016,114.95362016950034,0
aug_5.0_66f7aea9,55.871622106776414,40.52398509117447,36.53943100174759,106.69582976400044,5
2021_Aug_31_SR-3501_SN19387Q4__00648.sed,58.83603375227607,42.751706433398354,38.60289311694866,112.65637710601904,3
2021_Aug_31_SR-3501_SN19387Q4__00265.sed,45.05903703464932,33.16380721531975,30.562479908244686,85.87751877763736,2
2021_Aug_31_SR-3501_SN19387Q4__00238.sed,37.43503804409828,27.507770533463912,25.706114145115286,73.21325967595229,2
4895,53.36075013331815,38.96483720021017,35.71480260468232,102.49961056958996,8
aug_1.0_9b28cee7,42.49251526415148,30.70329492215392,27.402624230084964,77.53991311947154,1
aug_6.0_6a7adbce,55.2854491091657,39.53024376354647,35.43102499531976,102.60049303472655,6
vae_aug_3.0_800577,53.487350688398486,38.819400339531136,35.075515386114986,102.21915746063416,3
1357,36.76148954878055,26.97229550588714,25.65199506633716,73.7093452868586,8
1533,59.59707700061157,43.3817735914965,39.18643490903203,114.663854756984,9
aug_6.0_6cd1cc64,59.041769934250645,42.751052976507765,38.4545318587966,112.63333533150016,6
3861,56.54056821110782,41.1987807595493,37.4284669436978,109.041531716781,2
2073,35.17390898448519,25.57894575077629,24.0555053522501,69.36129213427759,8
2217,58.01816906433922,42.28730978057382,38.336687833892775,111.70587765893433,2
vae_aug_6.0_863303,53.4867647076991,38.81870825043316,35.074400472714174,102.21675325269754,6
aug_1.0_b04eb2e8,57.29039365562282,41.25490706011891,37.2249448593747,108.07650699107202,1
aug_4.0_1a27db7f,59.67550946464709,43.4165207951356,39.198249229086784,114.73386354150652,4
vae_aug_3.0_158524,53.48735139938287,38.81940072140401,35.0755156911553,102.21915842537317,3
vae_aug_6.0_871364,45.2748387418872,32.829173295463534,29.68528511193933,85.926522075982,6
168,37.75635240354029,27.02001329740859,23.737217185619198,70.14810712058463,9
2021_Sep_01_SR-3501_SN19387Q4__00369.sed,55.04351089458015,39.875165081774526,35.86088474020337,105.5780627538602,5
2021_Sep_01_SR-3501_SN19387Q4__01037.sed,52.11767794809286,37.41856155936786,34.083451895560046,96.1184253846034,6
vae_aug_6.0_310162,53.487351648023655,38.819400856245394,35.07551579094038,102.21915877715496,6
4639,55.53274097441479,40.28368972477525,36.20671864458895,105.75117978727944,2
vae_aug_1.0_819989,53.468965432901584,38.80059185286618,35.061878159883086,102.16734798616062,1
vae_aug_5.0_593241,53.48734046954671,38.81939424997447,35.075510554753606,102.21914316178054,5
3676,57.91352481903633,42.08189321097599,37.89600536332639,110.89932570664368,2
2889,50.91041678909585,37.295178069122,34.42087560119039,100.62924557741958,2
2021_Sep_01_SR-3501_SN19387Q4__00018.sed,58.443487918249225,42.53009904415427,38.39632423529244,112.5912648249374,0
1393,53.818535738312285,39.26923959561416,35.88718694519572,104.77201158431018,7
5115,55.753692283721634,40.531200733704566,36.56771543385911,107.0290532546794,9
aug_0.0_efbcc62e,59.72803147181856,43.46804375556809,39.25071654865806,114.89805057415944,0
2021_Aug_31_SR-3501_SN19387Q4__00699.sed,57.01510790031614,41.47089281609705,37.43216180965329,109.5664814848716,3
2021_Aug_30_SR-3501_SN19387Q4__00251.sed,35.63565920209052,25.55361029695002,22.52830708008679,63.85216673381905,1
vae_aug_3.0_607587,53.487350522591136,38.81940024276665,35.0755153083511,102.21915722031798,3
2583,55.51125220815325,40.241411290942665,36.2164806660288,105.26541994350362,8
2021_Sep_01_SR-3501_SN19387Q4__00991.sed,44.17885411892982,32.23212693813799,29.399542499679125,81.43035977419609,6
5299,50.05363970522085,36.31322355386836,32.64048871212896,95.66319939063338,7
857,48.19622080451521,34.844332115974794,31.069608520073423,89.72589030742554,8
2021_Aug_30_SR-3501_SN19387Q4__00160.sed,50.14872010578571,36.130807909977214,32.20610039540565,92.90202669372717,1
aug_0.0_2517a490,59.74631571465024,43.4741165021462,39.25588055177086,114.91958453693417,0
2021_Sep_01_SR-3501_SN19387Q4__00247.sed,59.66745521595509,43.41310070701617,39.198026736629856,114.71759111033776,4
5068,59.22698995360423,43.11013255279958,38.95788920709998,113.9421276252595,9
3679,58.13216144887932,42.248537704262766,38.05478358939412,111.32056628120152,2
2021_Sep_01_SR-3501_SN19387Q4__00740.sed,58.07217167265105,41.98746414131767,37.53722067011043,110.32963932381382,6
1444,54.38322668492238,39.70950044113954,36.28837814566926,105.84664628100263,7
2826,53.69681055030175,39.20498183845013,35.91261779612488,104.67516790384332,7
3473,59.582731582083085,43.368353788707495,39.16460678373026,114.6147971888371,9
2475,54.03045835669632,39.17663613486919,35.23645122887824,102.84800515666537,8
4799,57.83053132461883,42.08194888191654,38.106270796032014,111.05688493583182,7
vae_aug_3.0_130215,53.48735094929988,38.81940048223261,35.07551550467278,102.21915781886916,3
954,59.6739587052418,43.42469034102163,39.20216882331103,114.77000858191846,9
2021_Aug_31_SR-3501_SN19387Q4__00043.sed,46.61614504333258,34.130599242678294,31.55842425127907,87.77209527508847,2
3130,57.93058528447629,42.13804061940118,38.010962685006106,111.3364835216527,9
1250,54.13117972041522,39.30143682746099,35.450092666717126,103.11876693010706,8
vae_aug_3.0_19472,53.48735118269867,38.819400611621774,35.07551560744274,102.21915812818152,3
1341,48.35677912904485,35.277922484065115,32.284687574446096,92.60950539517803,8
4234,58.57105793258304,42.57084140877426,38.35101134941732,112.2406005800081,7
2021_Aug_31_SR-3501_SN19387Q4__00694.sed,56.2722788986715,40.94299057836226,36.949430871563365,108.22828802036578,3
2021_Sep_01_SR-3501_SN19387Q4__00393.sed,56.55495711874471,41.02135823605359,36.924443349357134,108.06419048334216,5
3525,59.43742026273279,43.26635849949806,39.082984219354266,114.3566247430638,9
2021_Sep_01_SR-3501_SN19387Q4__00093.sed,59.66017150572043,43.4210758260718,39.20517110102287,114.7572481053482,4
1454,56.24893422261504,41.03586766559919,37.34030063314634,108.72293006734732,2
vae_aug_5.0_30922,45.37615197367067,32.84599789339045,29.728311040693708,86.58478657887316,5
2021_Aug_31_SR-3501_SN19387Q4__00697.sed,57.01024263145587,41.46673116509454,37.427812011049625,109.5554450159569,3
aug_4.0_7a995f15,59.68893254857119,43.41741443220437,39.20004625463831,114.74270802936158,4
3209,58.0759405341981,42.149125239184606,37.9026795692579,110.92002415761532,7
724,51.304808080607486,37.27155651263374,34.159613867290844,101.20049516246718,9
2314,48.843516308501066,35.439556666695864,31.87137920535967,93.48690316492062,7
2021_Sep_01_SR-3501_SN19387Q4__01033.sed,50.94494619231017,36.6382670516206,33.38125105832219,93.67968783862224,6
1398,57.654627880301504,41.934073384194505,37.92619290832262,110.73783090031846,7
4425,58.16242030335304,42.25135483589868,38.03340723306803,111.19473229758546,2
aug_6.0_986cc4ef,59.45826245151218,43.12628886685047,38.90882133127218,113.89350555499917,6
aug_5.0_51b9fc1c,55.68496513459222,40.3702687598555,36.39641694549255,106.37416787169876,5
3712,57.269813669244456,41.53609575822555,37.31322196862713,109.25514546733667,7
1360,37.8309389491869,27.76170100126073,26.73577041959186,78.1340006009922,8
vae_aug_4.0_761193,53.487351648023655,38.819400856245394,35.07551579094038,102.21915877715496,4
2419,59.421103241578585,43.25377104791808,39.067135176741765,114.34056056931738,9
5200,58.31386898221561,42.38291961673223,38.19583520089292,111.63074182624452,2
aug_3.0_61c27abf,57.017654230865816,41.471214640633534,37.43075118058082,109.56908326497458,3
1978,46.05784907362079,33.0680077473106,29.26337793625358,86.06405904150344,7
3978,33.59299504951639,24.31962523546131,22.887362613999528,66.47721493121819,8
4408,57.594320057078,41.83433894948432,37.65685235908147,110.2477085726374,2
aug_5.0_9b9cfd78,59.24177433030705,42.97105413084815,38.81913497998711,113.42985541233502,5
vae_aug_6.0_867078,51.40574062646856,36.97740283547152,33.1798496425885,96.28565971904555,6
aug_0.0_f621d96e,59.66289631570284,43.42979718125862,39.21964442935815,114.8366111211884,0
vae_aug_5.0_83079,52.99491204788434,38.47132550995332,34.76735391840731,101.32396341449795,5
1047,52.56137351796072,38.12061453271336,34.282296261465255,100.26970463654476,2
2021_Aug_31_SR-3501_SN19387Q4__00790.sed,58.635305282336425,42.536648226107374,38.41540117568523,112.00384460713744,3
