Wavelength,Reflectance
400.0,0.02354
401.0,0.02376
402.0,0.02371
403.0,0.02361
404.0,0.0236
405.0,0.02353
406.0,0.02346
407.0,0.02352
408.0,0.02356
409.0,0.02355
410.0,0.0235
411.0,0.02352
412.0,0.02359
413.0,0.02353
414.0,0.02345
415.0,0.0234
416.0,0.02341
417.0,0.02343
418.0,0.02341
419.0,0.02335
420.0,0.02329
421.0,0.02327
422.0,0.02334
423.0,0.02342
424.0,0.02322
425.0,0.02317
426.0,0.0233
427.0,0.02326
428.0,0.02322
429.0,0.02326
430.0,0.02322
431.0,0.02319
432.0,0.02322
433.0,0.02315
434.0,0.02309
435.0,0.02317
436.0,0.02318
437.0,0.02314
438.0,0.02311
439.0,0.0231
440.0,0.0231
441.0,0.02302
442.0,0.02297
443.0,0.02299
444.0,0.02301
445.0,0.023
446.0,0.02295
447.0,0.02291
448.0,0.02288
449.0,0.02287
450.0,0.02284
451.0,0.02281
452.0,0.0228
453.0,0.0228
454.0,0.02279
455.0,0.02273
456.0,0.02268
457.0,0.02265
458.0,0.02263
459.0,0.02263
460.0,0.02263
461.0,0.0226
462.0,0.02256
463.0,0.02255
464.0,0.0225
465.0,0.02245
466.0,0.02246
467.0,0.02248
468.0,0.0225
469.0,0.02248
470.0,0.02246
471.0,0.02244
472.0,0.02244
473.0,0.02243
474.0,0.02242
475.0,0.02243
476.0,0.02243
477.0,0.02243
478.0,0.02243
479.0,0.02243
480.0,0.02243
481.0,0.02243
482.0,0.02243
483.0,0.02246
484.0,0.02243
485.0,0.02237
486.0,0.02236
487.0,0.02236
488.0,0.02236
489.0,0.02235
490.0,0.02233
491.0,0.02233
492.0,0.02234
493.0,0.02232
494.0,0.02228
495.0,0.02224
496.0,0.02221
497.0,0.02222
498.0,0.02223
499.0,0.02222
500.0,0.0222
501.0,0.02218
502.0,0.02216
503.0,0.02215
504.0,0.02215
505.0,0.02214
506.0,0.0221
507.0,0.02208
508.0,0.02211
509.0,0.02211
510.0,0.02209
511.0,0.02205
512.0,0.02204
513.0,0.02202
514.0,0.02201
515.0,0.022
