Sample,red,green,blue,black,Material
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,52.24352448910979,37.9607848851528,34.79132518322268,99.13694505946563,2.0
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,53.2929090461503,38.00741286766855,35.743572842105074,100.31179117621875,2.0
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,59.20386346240209,42.267559348500086,38.84964430075368,113.51251746560013,3.0
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,54.75684831803069,39.74479765618879,36.17735894052117,105.7336115418051,5.0
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,44.719409307022175,32.544840031436856,30.13908277137171,85.4956790991539,2.0
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,58.77023501784881,42.36619472666579,38.38606593798666,112.70279016016327,3.0
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,59.55717393895238,42.41932520391058,38.86783915078855,112.49615547285613,5.0
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,58.50652922248691,42.152987918975285,38.05814475720822,110.45232075419061,1.0
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,58.37549586975653,42.41306205399165,38.671637780046304,112.2236458039545,3.0
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,45.52744365206667,33.416938677178095,31.157738815666182,87.06005072043385,2.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.069056679863934,34.03592884744783,31.1628793718163,86.89511325527826,6.0
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,59.68196481743396,43.262679242491764,39.46937943826386,115.85579157045863,4.0
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,50.56351061555437,37.027989025500695,34.12211141533828,95.3660269451235,2.0
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,58.02654776954394,41.79372440193866,38.31665049503237,110.53472458546904,5.0
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,58.77697762522738,41.89213342871455,38.41979625315336,111.89596092098641,5.0
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,59.87212633939263,43.807788494538215,39.26580891421921,115.12415279656722,4.0
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,49.81306330776938,35.82154252639234,32.66669050514211,92.3224169938372,6.0
2021_Sep_01_SR-3501_SN19387Q4__00860.sed,50.25922967290667,35.43581402273571,31.64318662231878,91.01093597347221,6.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.6972689172035,43.1737615772061,39.062673236279274,115.64679417016517,0.0
2021_Aug_31_SR-3501_SN19387Q4__00391.sed,60.13480072458573,43.55089288070282,39.57886516644866,115.84660339076738,0.0
2021_Aug_30_SR-3501_SN19387Q4__00189.sed,54.63412660843862,38.88786127917827,35.116364328703106,102.34751936908421,1.0
2021_Sep_01_SR-3501_SN19387Q4__00874.sed,52.084010753928084,37.015673692023775,33.3163547658402,95.85638040519852,6.0
2021_Sep_01_SR-3501_SN19387Q4__00684.sed,58.98869732099572,42.40933627652417,38.82222365193796,112.7481303707483,5.0
2021_Sep_01_SR-3501_SN19387Q4__00848.sed,48.68184844473684,34.15039119793668,30.109924528625502,88.03401728281125,6.0
2021_Sep_01_SR-3501_SN19387Q4__00690.sed,58.77517724495649,42.505879146640254,38.477667520668824,112.96625531651769,5.0
2021_Aug_31_SR-3501_SN19387Q4__00420.sed,59.901485406175674,43.67199783625301,39.33851253380303,115.73694401720594,0.0
2021_Aug_31_SR-3501_SN19387Q4__00346.sed,58.67373104476628,42.35031662428189,38.50902278630655,113.82988091250131,0.0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,59.884977820023664,43.12394347512217,39.511522807806685,116.10499458666844,0.0
2021_Sep_01_SR-3501_SN19387Q4__00109.sed,60.12788683898866,43.49734150181517,39.560876737102795,115.75418766493574,4.0
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,60.023100350130306,43.67499472437101,39.5661769253508,115.47891679873996,0.0
2021_Sep_01_SR-3501_SN19387Q4__00647.sed,57.06164750518224,41.12941585508983,37.77075544565894,109.60397193005869,5.0
2021_Aug_30_SR-3501_SN19387Q4__00162.sed,51.26494858947563,36.844875554373964,32.92136010793944,95.97328799734126,1.0
2021_Sep_01_SR-3501_SN19387Q4__00135.sed,59.74104811669127,43.629254607761226,39.69204319317548,115.9663066126682,4.0
2021_Aug_30_SR-3501_SN19387Q4__00176.sed,53.52980360073058,37.995815349207625,34.292880103659456,98.99200396668952,1.0
2021_Sep_01_SR-3501_SN19387Q4__00653.sed,57.25077157649802,41.47048877696578,37.61218289911562,110.7409444094804,5.0
2021_Aug_31_SR-3501_SN19387Q4__00408.sed,59.679303192165435,43.391213887320085,39.525473994258846,115.4344441986355,0.0
2021_Aug_31_SR-3501_SN19387Q4__00597.sed,57.78082149493112,41.69988968025184,37.9248531757039,111.63682577880762,3.0
2021_Sep_01_SR-3501_SN19387Q4__00914.sed,55.30146378168117,39.22714273916143,35.6114987564813,103.75885114742223,6.0
2021_Aug_31_SR-3501_SN19387Q4__00583.sed,57.76263060205775,41.57770252382285,38.09495742322158,110.55811685218183,3.0
2021_Sep_01_SR-3501_SN19387Q4__00900.sed,53.94088763303028,38.12868292125052,34.47004681370515,98.68523458430911,6.0
2021_Sep_01_SR-3501_SN19387Q4__00928.sed,57.010699068373206,40.17868068001401,36.676970229099894,107.32143835913061,6.0
2021_Sep_01_SR-3501_SN19387Q4__00096.sed,59.54860904446061,43.652541184795886,39.426769052208115,115.1933876888398,4.0
2021_Sep_01_SR-3501_SN19387Q4__00082.sed,59.5826186940095,43.46271944161403,39.523972183892106,115.47586795660081,4.0
2021_Aug_31_SR-3501_SN19387Q4__00554.sed,59.04178494225497,42.57860338773837,38.65078727789033,113.40287516655417,3.0
2021_Sep_01_SR-3501_SN19387Q4__00069.sed,60.056910730840066,43.59558920387358,38.8382834799865,116.38516635565644,4.0
2021_Aug_31_SR-3501_SN19387Q4__00226.sed,57.30196029201419,41.53828390176823,38.521678590631616,109.21900263237163,2.0
2021_Aug_31_SR-3501_SN19387Q4__00540.sed,59.15968012699852,42.556170425684705,38.64843553561602,112.67167637290684,3.0
2021_Aug_31_SR-3501_SN19387Q4__00568.sed,59.668617758480025,43.3656448665916,39.33469572083001,114.6400648184288,3.0
2021_Sep_01_SR-3501_SN19387Q4__00733.sed,58.19794046469458,42.245502258039146,37.50712840155521,110.1457122012633,6.0
2021_Aug_30_SR-3501_SN19387Q4__00016.sed,56.39115097155857,40.37421486729031,36.41734377629947,107.76928344778771,1.0
2021_Sep_01_SR-3501_SN19387Q4__00055.sed,59.66511049771306,43.36444949032233,39.350338887708155,116.05993819461972,4.0
