Sample,red,green,blue,black,Material
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,52.160770226728566,37.99814331481726,34.72258076408619,98.19725614883362,2.0
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,53.09488010341701,38.58056227349435,35.23571090069152,99.82334669415759,2.0
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,59.160652343638375,42.90747940543582,38.78023802238083,113.24281990965154,3.0
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,55.07053055373199,39.86793269893389,35.93914265584874,105.42440805947271,5.0
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,44.42258202024711,32.70947143009669,30.20837148688523,84.87028925006271,2.0
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,58.263934840079784,42.393031779113976,38.274018881275836,111.63024662753996,3.0
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,58.97672981761011,42.73967136713774,38.59429689721272,112.68436540350962,5.0
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,58.155587278492064,41.9393302860093,37.98085455293002,110.38578667826499,1.0
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,58.537979114123154,42.554118267825196,38.41855094938715,112.0763567659782,3.0
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,45.49666071780306,33.47798559766147,30.861185513761974,86.7923074629012,2.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.02810095765544,34.14378850971862,31.125127183712014,86.45412191067625,6.0
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,59.608617571263174,43.39475774277143,39.179329524400536,114.65320517535858,4.0
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,50.74503077724958,37.09524781267391,33.934976350372274,95.7528669680051,2.0
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,57.90404656317492,42.01193640561211,37.8688631469453,110.4573064869781,5.0
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,58.294271678823414,42.27030384085645,38.117735986400156,111.1845030157909,5.0
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,59.65685989446065,43.410409210056436,39.19156313217951,114.71061278830138,4.0
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,49.66775660640154,35.81543621182869,32.63713970077129,91.17565883332706,6.0
2021_Sep_01_SR-3501_SN19387Q4__00860.sed,49.94049887769178,35.64460442690779,31.47869545336298,91.44099953878782,6.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.68602702511497,43.44236337989293,39.23419300585753,114.86657437030358,0.0
2021_Aug_31_SR-3501_SN19387Q4__00391.sed,59.69445823556941,43.443010500139145,39.23771787243239,114.85891825944655,0.0
2021_Aug_30_SR-3501_SN19387Q4__00189.sed,54.229216279038994,39.01868381177315,35.04027291163749,101.04524655424653,1.0
2021_Sep_01_SR-3501_SN19387Q4__00874.sed,51.78943659566975,37.10532517771543,32.9661359832978,95.50213066151483,6.0
2021_Sep_01_SR-3501_SN19387Q4__00684.sed,58.60735115554896,42.486154723304246,38.3245828215784,111.849544059612,5.0
2021_Sep_01_SR-3501_SN19387Q4__00848.sed,48.19354435065437,34.23221519504028,30.043325541074815,87.50408628764129,6.0
2021_Sep_01_SR-3501_SN19387Q4__00690.sed,58.72725612976767,42.5799197827728,38.42546130996958,112.13744793594645,5.0
2021_Aug_31_SR-3501_SN19387Q4__00420.sed,59.712383185230216,43.46951749749955,39.243632020107874,114.87355998007443,0.0
2021_Aug_31_SR-3501_SN19387Q4__00346.sed,58.73124421781485,42.73670058342822,38.58133075347412,113.0834049739212,0.0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,59.64958358211083,43.40478958131518,39.208353146012335,114.80148953260822,0.0
2021_Sep_01_SR-3501_SN19387Q4__00109.sed,59.677818305541614,43.420113301639454,39.2031412723548,114.73442717500515,4.0
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,59.73236396331805,43.470353374434076,39.25589145030884,114.89648153366392,0.0
2021_Sep_01_SR-3501_SN19387Q4__00647.sed,57.25551560328466,41.56629120995484,37.451430951791416,109.2500741948296,5.0
2021_Aug_30_SR-3501_SN19387Q4__00162.sed,51.08392304123403,36.83641332375078,32.88880383120683,94.8127146554645,1.0
2021_Sep_01_SR-3501_SN19387Q4__00135.sed,59.68877884209002,43.41999593319811,39.21050154395121,114.72924826394363,4.0
2021_Aug_30_SR-3501_SN19387Q4__00176.sed,52.87664334483475,38.09452686266923,34.14120385786276,98.30964867346162,1.0
2021_Sep_01_SR-3501_SN19387Q4__00653.sed,57.39988164043684,41.67178371228137,37.540636617829186,109.49883506510919,5.0
2021_Aug_31_SR-3501_SN19387Q4__00408.sed,59.70224979939047,43.45874411213729,39.24371288601045,114.88713528048328,0.0
2021_Aug_31_SR-3501_SN19387Q4__00597.sed,57.76950106466221,42.05002548581609,37.95405615947263,110.82875316572787,3.0
2021_Sep_01_SR-3501_SN19387Q4__00914.sed,55.28449493304753,39.5218010438029,35.41990054026578,102.60706886491005,6.0
2021_Aug_31_SR-3501_SN19387Q4__00583.sed,57.381582134401285,41.75238047348978,37.68003497593877,110.18502917630597,3.0
2021_Sep_01_SR-3501_SN19387Q4__00900.sed,53.372672728287924,38.20329078636684,34.061801981945116,98.53101178559922,6.0
2021_Sep_01_SR-3501_SN19387Q4__00928.sed,56.69930110230835,40.58163541402662,36.52161338739257,106.0470811917165,6.0
2021_Sep_01_SR-3501_SN19387Q4__00096.sed,59.65288091336904,43.40756182416921,39.19603144044178,114.71791973035754,4.0
2021_Sep_01_SR-3501_SN19387Q4__00082.sed,59.66379464726464,43.42316472081485,39.20519376791403,114.7458268643047,4.0
2021_Aug_31_SR-3501_SN19387Q4__00554.sed,58.8988837090827,42.7753168429831,38.64406963976927,112.73791951967844,3.0
2021_Sep_01_SR-3501_SN19387Q4__00069.sed,59.63889982750771,43.41079247769204,39.194619000037065,114.73046821364849,4.0
2021_Aug_31_SR-3501_SN19387Q4__00226.sed,57.701830048011736,41.664095076432936,37.89783986773981,109.54993396854763,2.0
2021_Aug_31_SR-3501_SN19387Q4__00540.sed,58.5293948116945,42.542999471873486,38.41672320601719,111.99020770716807,3.0
2021_Aug_31_SR-3501_SN19387Q4__00568.sed,59.39510464479402,43.13124293307426,38.97242999269661,113.90529162388641,3.0
2021_Sep_01_SR-3501_SN19387Q4__00733.sed,58.00268986637141,41.91865328480304,37.47156655078148,110.16526327851012,6.0
2021_Aug_30_SR-3501_SN19387Q4__00016.sed,56.45315903194212,40.72263812844506,36.35126683344018,106.75736981746687,1.0
2021_Sep_01_SR-3501_SN19387Q4__00055.sed,59.63054100382366,43.40570608122501,39.18977503838147,114.77093158978548,4.0
2021_Sep_01_SR-3501_SN19387Q4__00041.sed,59.64068265460349,43.412235837897235,39.20078177540069,114.79038446687008,4.0
2021_Aug_30_SR-3501_SN19387Q4__00002.sed,58.398719002700936,42.50514168593003,38.373396416979254,112.48844525449005,0.0
2021_Sep_01_SR-3501_SN19387Q4__00727.sed,57.94350479429487,41.869367553809134,37.41572258991077,110.06473291952362,6.0
2021_Aug_31_SR-3501_SN19387Q4__00795.sed,58.76089335185475,42.61748636536272,38.49482662133566,112.28068882249518,3.0
2021_Aug_31_SR-3501_SN19387Q4__00781.sed,58.536668262577344,42.48596750653498,38.3507695246979,111.83484617282487,3.0
2021_Sep_01_SR-3501_SN19387Q4__00294.sed,59.54005811001816,43.35319911723363,39.14458429833821,114.57027965822513,4.0
2021_Sep_01_SR-3501_SN19387Q4__00280.sed,59.52341928152394,43.335250567686714,39.114152697299055,114.53669489384939,4.0
2021_Aug_31_SR-3501_SN19387Q4__00030.sed,44.485865990082004,32.62748258186366,30.250402163565994,84.37748763330691,2.0
2021_Aug_31_SR-3501_SN19387Q4__00756.sed,57.97138581184098,42.150108636662395,38.051998890842086,110.84668408558525,3.0
2021_Aug_30_SR-3501_SN19387Q4__00228.sed,57.69801412360681,41.57918213852914,37.54401652462552,109.14589520388415,1.0
2021_Sep_01_SR-3501_SN19387Q4__00519.sed,56.169138682508596,40.743263088898615,36.729406143020206,107.22463359908431,5.0
2021_Aug_31_SR-3501_SN19387Q4__00742.sed,57.715372175626506,41.98748787227325,37.9059269538009,110.4650679741138,3.0
2021_Aug_31_SR-3501_SN19387Q4__00024.sed,44.06928158285904,32.31529608230413,29.972227153798272,83.86229705730887,2.0
2021_Sep_01_SR-3501_SN19387Q4__00257.sed,59.46406347480779,43.28887005420776,39.07775142180749,114.46874696949347,4.0
2021_Aug_30_SR-3501_SN19387Q4__00214.sed,56.93842943348637,40.98853845382809,36.9586025698937,107.21454920807756,1.0
2021_Sep_01_SR-3501_SN19387Q4__00525.sed,56.30384099616477,40.85206437814774,36.833952754332245,107.46564759055231,5.0
2021_Aug_30_SR-3501_SN19387Q4__00200.sed,55.76457223138709,40.12379087895502,36.10561821707647,104.44741720188941,1.0
2021_Aug_31_SR-3501_SN19387Q4__00018.sed,43.47564611048625,31.866854951643035,29.578067648652183,83.00064062495288,2.0
2021_Sep_01_SR-3501_SN19387Q4__00243.sed,59.66001343263566,43.40667669297029,39.18781516174443,114.69838781835708,4.0
2021_Aug_30_SR-3501_SN19387Q4__00201.sed,59.31006214032166,43.17520087454739,38.98789860449232,114.14390517848078,1.0
2021_Sep_01_SR-3501_SN19387Q4__00524.sed,56.301172273723985,40.84792214263835,36.84512302723636,107.46059515874424,5.0
2021_Sep_01_SR-3501_SN19387Q4__00242.sed,59.65610820782449,43.41578969597521,39.18937722129477,114.69319860184997,4.0
2021_Aug_31_SR-3501_SN19387Q4__00019.sed,43.444273049601975,31.850063220036567,29.563802095439282,82.95701633570113,2.0
2021_Sep_01_SR-3501_SN19387Q4__00256.sed,59.46108386337356,43.28602248927765,39.070509094749404,114.44168230806333,4.0
2021_Sep_01_SR-3501_SN19387Q4__00530.sed,56.522111154548305,41.0196348448182,36.99836987165841,107.82646637147603,5.0
2021_Aug_30_SR-3501_SN19387Q4__00215.sed,56.927866530007456,40.991433448798865,36.957406635823915,107.21323766564535,1.0
2021_Aug_31_SR-3501_SN19387Q4__00743.sed,57.71856703130999,41.99208322349826,37.89657464750498,110.4631223850529,3.0
2021_Sep_01_SR-3501_SN19387Q4__00518.sed,56.178106568779995,40.7596311207769,36.74129143835054,107.23333937697298,5.0
2021_Aug_31_SR-3501_SN19387Q4__00025.sed,44.031991539168466,32.290355547298944,29.958923414892364,83.78339106520187,2.0
