Sample,red,green,blue,black,Material
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,52.165316137967125,38.76070325531044,34.63510793312929,100.02358488842948,2.0
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,53.091753634290285,39.35197048777992,35.14039676265816,101.70833881579605,2.0
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,59.16637078878279,43.766585948287386,38.6771193323682,115.37765269026765,3.0
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,55.067189515642475,40.67748335124905,35.84359349887784,107.38891490838864,5.0
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,44.421706945431104,33.35365671165321,30.12967988782767,86.47592162591835,2.0
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,58.26722477824849,43.237884067268894,38.16766047294926,113.74048972242603,3.0
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,58.96638483353256,43.596970153936084,38.49158388351173,114.8201243349662,5.0
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,58.15428613815024,42.7847428080664,37.8854649693191,112.46504210387286,1.0
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,58.53117307589653,43.40759344450225,38.321418680295366,114.18938998882754,3.0
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,45.503786157383125,34.14264669527496,30.776335737832476,88.42710162494399,2.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.026453330239704,34.820328606896354,31.041476268519276,88.08660920404247,6.0
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,59.618538645128254,44.26425424400102,39.07175358035872,116.81402397610601,4.0
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,50.74654868139137,37.83626988394803,33.84311454451026,97.5719423066758,2.0
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,57.90350462411391,42.851844759721615,37.767944860728946,112.51827722416036,5.0
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,58.292856122275,43.113794728593,38.01815229373993,113.27547468727415,5.0
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,59.657246067956805,44.28079937084638,39.08864276024829,116.8674382309283,4.0
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,49.66681474306174,36.529066379293695,32.554824107562176,92.90244993941404,6.0
2021_Sep_01_SR-3501_SN19387Q4__00860.sed,49.938439608489645,36.354362926689625,31.391128569486867,93.15914247431999,6.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.68045089694073,44.31075324937912,39.12673373740846,117.02364985485448,0.0
2021_Aug_31_SR-3501_SN19387Q4__00391.sed,59.690065064790716,44.31726376125478,39.131719525772944,117.03063334311474,0.0
2021_Aug_30_SR-3501_SN19387Q4__00189.sed,54.214379232139784,39.809195655619504,34.94341862860884,102.95039446337984,1.0
2021_Sep_01_SR-3501_SN19387Q4__00874.sed,51.77912469960726,37.845855268049256,32.88428479324041,97.30667009984838,6.0
2021_Sep_01_SR-3501_SN19387Q4__00684.sed,58.60183095857137,43.3302585513648,38.22647593567227,113.95085903125815,5.0
2021_Sep_01_SR-3501_SN19387Q4__00848.sed,48.19085956331149,34.91515760452991,29.96256570211486,89.1628633271641,6.0
2021_Sep_01_SR-3501_SN19387Q4__00690.sed,58.732258707349324,43.42382372334837,38.31943652317536,114.251665162614,5.0
2021_Aug_31_SR-3501_SN19387Q4__00420.sed,59.71841068399091,44.3337303366375,39.144474648289346,117.05564619989576,0.0
2021_Aug_31_SR-3501_SN19387Q4__00346.sed,58.73340226008632,43.589646905429575,38.48036621845719,115.20307339768001,0.0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,59.648681047372136,44.283778371260865,39.10273735394767,116.98485492903289,0.0
2021_Sep_01_SR-3501_SN19387Q4__00109.sed,59.672985943668564,44.285450621584246,39.09587676221108,116.89777517212067,4.0
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,59.73500409719662,44.33895621333512,39.14815572693494,117.06805811669737,0.0
2021_Sep_01_SR-3501_SN19387Q4__00647.sed,57.25111949504935,42.40242840245679,37.34692134564719,111.32262867376693,5.0
2021_Aug_30_SR-3501_SN19387Q4__00162.sed,51.08270750846306,37.5640867036236,32.80089555013117,96.60499188887987,1.0
2021_Sep_01_SR-3501_SN19387Q4__00135.sed,59.69315892590393,44.287033474664966,39.09800325500155,116.91060517029089,4.0
2021_Aug_30_SR-3501_SN19387Q4__00176.sed,52.869011863606886,38.858920743485285,34.038665767825854,100.1629169676211,1.0
2021_Sep_01_SR-3501_SN19387Q4__00653.sed,57.39984468717133,42.50401250363235,37.43927643083087,111.56708935962773,5.0
2021_Aug_31_SR-3501_SN19387Q4__00408.sed,59.70805355242136,44.32875073027957,39.14169490429794,117.0491540583433,0.0
2021_Aug_31_SR-3501_SN19387Q4__00597.sed,57.770070336044256,42.88460976953342,37.85182763882167,112.91909584167226,3.0
2021_Sep_01_SR-3501_SN19387Q4__00914.sed,55.28784431793559,40.31138482174082,35.33120662843059,104.52897799579316,6.0
2021_Aug_31_SR-3501_SN19387Q4__00583.sed,57.3861677683108,42.5836235035306,37.58043673909401,112.26794417548803,3.0
2021_Sep_01_SR-3501_SN19387Q4__00900.sed,53.375664484932344,38.9638856795133,33.973904574749454,100.37014985832697,6.0
2021_Sep_01_SR-3501_SN19387Q4__00928.sed,56.7010842850126,41.38792471861274,36.427285330429285,108.03889016669048,6.0
2021_Sep_01_SR-3501_SN19387Q4__00096.sed,59.6540024830217,44.28017703863427,39.09215440182402,116.8881030423368,4.0
2021_Sep_01_SR-3501_SN19387Q4__00082.sed,59.65349765714635,44.28599176764688,39.098929993195924,116.91920847442054,4.0
2021_Aug_31_SR-3501_SN19387Q4__00554.sed,58.903251343086765,43.63062138259664,38.53521550707092,114.86556636249585,3.0
2021_Sep_01_SR-3501_SN19387Q4__00069.sed,59.63960358870028,44.27747890362764,39.09131943030456,116.90618870609956,4.0
2021_Aug_31_SR-3501_SN19387Q4__00226.sed,57.69883072769744,42.49239099401393,37.79866033364828,111.61743619492671,2.0
2021_Aug_31_SR-3501_SN19387Q4__00540.sed,58.53456706387712,43.389036202318515,38.308957926774525,114.10515980997415,3.0
2021_Aug_31_SR-3501_SN19387Q4__00568.sed,59.39072704264255,43.9930859694141,38.871118219201854,116.05026155687459,3.0
2021_Sep_01_SR-3501_SN19387Q4__00733.sed,58.00370982487583,42.763774081659875,37.36672206056507,112.24959009949961,6.0
2021_Aug_30_SR-3501_SN19387Q4__00016.sed,56.45385039033877,41.53338511594681,36.25137232248147,108.76904379459909,1.0
2021_Sep_01_SR-3501_SN19387Q4__00055.sed,59.630469620197495,44.27222978218752,39.08840712784348,116.91120258715172,4.0
2021_Sep_01_SR-3501_SN19387Q4__00041.sed,59.640571592925184,44.27997734720681,39.09580319692597,116.94094002855167,4.0
2021_Aug_30_SR-3501_SN19387Q4__00002.sed,58.41344382677599,43.355801841615715,38.269983757692906,114.61927234991333,0.0
2021_Sep_01_SR-3501_SN19387Q4__00727.sed,57.946953042753066,42.71427133608708,37.312294305291516,112.13053832276614,6.0
2021_Aug_31_SR-3501_SN19387Q4__00795.sed,58.7588653797729,43.471068863055976,38.3948866172718,114.3926619731558,3.0
2021_Aug_31_SR-3501_SN19387Q4__00781.sed,58.53920691960492,43.33110905894141,38.26110531234954,113.93090187012841,3.0
2021_Sep_01_SR-3501_SN19387Q4__00294.sed,59.54417157512187,44.2230967146393,39.03481337767277,116.73273915224121,4.0
2021_Sep_01_SR-3501_SN19387Q4__00280.sed,59.51214056149756,44.1995604905711,39.01352555087486,116.69616711579445,4.0
2021_Aug_31_SR-3501_SN19387Q4__00030.sed,44.48812337481541,33.27265025185747,30.165958935524493,85.96691309625906,2.0
2021_Aug_31_SR-3501_SN19387Q4__00756.sed,57.97326510559802,42.99280175939408,37.949670478906086,112.93844115695792,3.0
2021_Aug_30_SR-3501_SN19387Q4__00228.sed,57.69806319672062,42.41140855132333,37.4452771585336,111.18333564797572,1.0
2021_Sep_01_SR-3501_SN19387Q4__00519.sed,56.16993655307303,41.56211438572798,36.63967648333893,109.25188518867088,5.0
2021_Aug_31_SR-3501_SN19387Q4__00742.sed,57.713912601377515,42.828407344100256,37.80344738151193,112.54875761510387,3.0
2021_Aug_31_SR-3501_SN19387Q4__00024.sed,44.06335614669854,32.958394943873536,29.895856738917928,85.43790917105983,2.0
2021_Sep_01_SR-3501_SN19387Q4__00257.sed,59.458892326898756,44.15571391226291,38.97321520527895,116.62720841141808,4.0
2021_Aug_30_SR-3501_SN19387Q4__00214.sed,56.927498597913925,41.80506791207484,36.861572005978914,109.22233757938362,1.0
2021_Sep_01_SR-3501_SN19387Q4__00525.sed,56.3042100949818,41.66807720808659,36.737335255309205,109.48686892203399,5.0
2021_Aug_30_SR-3501_SN19387Q4__00200.sed,55.767047210223396,40.924060499803616,36.016496171720334,106.40656406303538,1.0
2021_Aug_31_SR-3501_SN19387Q4__00018.sed,43.469222983545336,32.50362572928022,29.5026506921933,84.57529801641813,2.0
2021_Sep_01_SR-3501_SN19387Q4__00243.sed,59.65672649631327,44.27509219537551,39.087989073716656,116.85640171656172,4.0
