Sample Index,Material,red,green,blue,black
1,2,45.00246209809919,32.36542533628945,28.871396159817373,85.26099615373533
2,2,44.999613901233694,32.36358584702947,28.87145344668978,85.25594615571524
3,2,44.998407039446946,32.36310432549493,28.873909444404372,85.25754221401124
4,2,44.98865578087836,32.35543836811473,28.861804623552263,85.23257884276713
5,2,44.99015812572614,32.35688684068016,28.864822403305638,85.2373916527651
6,3,53.52407264816608,38.97638144695793,35.25843848997723,104.4283745054333
7,3,53.528203001439245,38.98011766758574,35.264414940112104,104.44008322705476
8,3,53.524890754420056,38.97658515900743,35.258722385000674,104.42928974121929
9,3,53.529085152515194,38.9806046049624,35.26469145840764,104.44155851811841
10,3,53.52791970093297,38.97964210499187,35.262770046121524,104.43849768815372
11,4,31.065397661248507,21.899980984559217,18.97412921920264,56.57299586229329
12,4,31.07080119036912,21.905267936938962,18.982369358282494,56.589950328675684
13,4,31.065009389867207,21.89975898696677,18.97343915579108,56.572241732883406
14,4,31.06749046918103,21.901944024828644,18.977476003409816,56.58012014936391
15,4,31.064385685046073,21.899613689110783,18.972572673378682,56.57129372731362
16,4,55.93545078222007,40.70894511566136,36.80324431311328,108.95907381309702
17,4,55.929705462288176,40.704376465890725,36.79503943086836,108.94332568409261
18,4,55.936057687203835,40.709507136821635,36.804253792061914,108.96075155806682
19,4,55.939123122722826,40.71132938195271,36.80816538591231,108.96860001668466
20,4,55.93187637989448,40.70634617369105,36.799573002003505,108.95097627694187
21,7,46.402809749153135,33.29117711612392,29.473383287290577,87.7338921235542
22,7,46.40213628966677,33.29031515306076,29.4704789767341,87.7301510361385
23,7,46.40065459781108,33.287867780868694,29.466544905833718,87.72320204173899
24,7,46.4098568303287,33.29615741997668,29.478449802595556,87.7485087268835
25,7,46.41095444917762,33.29683661843625,29.478862718158073,87.75018141149741
26,3,30.641641546876567,15.447657659854586,12.811987572772901,53.36992933040743
27,3,30.634009348515935,15.44045617293403,12.800451551480338,53.34723505554423
28,3,30.63855057429614,15.444677474914373,12.807268923477732,53.36107941191551
29,3,30.632603494343797,15.439926419362887,12.799661668201924,53.345021130212714
30,3,30.633127949803736,15.440220386034532,12.798855744292123,53.34464040184136
31,3,30.418268758623462,15.285756538265618,12.658526275243599,52.93359631000167
32,3,30.390476622204996,15.247351012185302,12.622679125512846,52.8764040484383
33,3,30.206661909044914,15.110818360908864,12.501148631466368,52.54629396490091
34,3,30.09108023786599,15.027004778340876,12.438952674673903,52.359615437480365
35,3,30.67815110574139,15.619874350097433,13.016722689682462,53.77078042709463
46,7,25.702964020864375,19.152315025900144,18.178381573990983,52.28073192550409
47,7,25.86839502692034,19.268979819171232,18.276933014617324,52.58697393990586
48,7,26.023471697485476,19.37959986786256,18.372034449431535,52.88319509939866
49,7,26.141604194437658,19.46801346862432,18.45054961086785,53.12374757149883
50,7,26.265976612628418,19.55766794257279,18.52567940345471,53.361389543977985
51,7,32.901335586849605,24.076212519253914,22.169681882751295,64.48856482374983
52,7,33.81632265512619,24.79258262537338,22.851725016625902,66.4980851309029
53,7,29.701491767502752,21.770733055169703,20.157143925857145,58.599485439443704
54,7,32.98761746979485,24.136218370464917,22.226915327305786,64.65603653113939
55,7,27.828966479799913,20.6182915722814,19.434543302542927,56.08582492748013
151,5,12.3602597284717,9.170082344385408,8.674133865727855,25.18839231590161
152,5,12.367495177928367,9.175755449722372,8.68458712489852,25.208773083191126
153,5,12.359472898170798,9.16985471929564,8.673358768928068,25.187497738117663
154,5,12.36906705704706,9.177594301345449,8.68755237142899,25.214525240499395
155,5,12.359607790556876,9.168419954466646,8.673585089931137,25.186260034163467
156,5,26.515661026448434,19.3800211561897,17.67642342068682,52.287538723288044
157,5,26.52249192095709,19.385878837043123,17.68465833644274,52.30501827791085
158,5,26.52063686691554,19.38356318876256,17.68122619279222,52.29889840658994
159,5,26.516296221326918,19.379141410662214,17.670415307676215,52.28070959474655
160,5,26.524800713723575,19.385346826711352,17.680085630240928,52.3025515588987
161,3,45.618746114621736,33.0011899978569,29.702379849014488,87.52009779584564
162,3,45.61601788269142,32.99881330093882,29.697043276742974,87.51100384919903
163,3,45.616693924382886,32.99981411102805,29.700097691427032,87.51573136297692
164,3,45.62652896566866,33.0081524756438,29.71118160691729,87.54083775398702
165,3,45.616807395541755,32.99901079161536,29.69734524353234,87.5126063540599
166,3,37.7507561009127,27.014725963010306,23.72923355100158,70.1316634442223
167,3,37.7494508202053,27.014040224190296,23.727221880375684,70.12850349477594
168,3,37.756352129446135,27.020017628895012,23.73721682790609,70.14808777158505
169,3,37.75310616346485,27.017008943488744,23.73273748561051,70.13890605261575
170,3,37.75334373813392,27.016986710436406,23.73287957624041,70.13939683973345
171,3,45.673112692181824,33.06840730101815,29.935673866955835,87.92169314992333
172,3,45.66945097810456,33.065371721274914,29.931286059296447,87.91246651547924
173,3,45.668486360374246,33.06444642477251,29.931240553650195,87.91129486972983
174,3,45.668821682846655,33.06473228141447,29.931380625514517,87.91136143463969
175,3,45.667351745103986,33.063792424571574,29.929608147179902,87.90830102059769
176,5,19.446666164876596,14.690447475482168,14.307385057855496,40.759997807047945
177,5,19.44792762616248,14.691014028911148,14.307342147203618,40.761091622356105
178,5,19.456819211506623,14.699034773603568,14.317700702229123,40.78502369512075
179,5,19.4455069524991,14.688365901535361,14.30256841386943,40.75319724744886
180,5,19.44509677340421,14.688677250342238,14.303818503186172,40.75464612360786
181,5,35.23176769122931,26.616966901552242,25.33786543280451,73.11595706528568
182,5,35.218841940903744,26.6070116372109,25.32672187765817,73.08926989048605
183,5,35.2150005779016,26.605525241295748,25.327235143390187,73.08701746715633
184,5,35.20708605355935,26.59943948898023,25.321023316262796,73.07244541835931
185,5,35.19985912386644,26.594978196266005,25.316227377769284,73.0598182906028
186,2,31.13514350624368,22.645200278411966,20.31464313027642,60.059725540974284
187,2,31.137201266961835,22.647513766812498,20.317407514880358,60.065448260373735
188,2,31.137965489501035,22.647963107334405,20.31980850264665,60.06893456075082
189,2,31.13333532144868,22.642246891300015,20.3108036307259,60.05172135664397
190,2,31.135956852049283,22.646110212761094,20.31800224248638,60.065148956168464
191,2,31.378512681787058,22.806535486628025,20.507558350457185,60.50184845491538
192,2,31.377462353097513,22.80658526999437,20.506895852831082,60.500162121839004
193,2,31.377248817349543,22.80562490718032,20.506328092945907,60.49879948075237
194,2,31.37932557298148,22.8073421176221,20.50888891995414,60.50348949319069
195,2,31.373219242321763,22.80255327862552,20.503493842074217,60.4898330992773
196,3,44.20542908374034,31.91958134024165,28.45029159445663,84.28537572106605
197,3,44.194999652505444,31.909925230151675,28.434669530707453,84.25514423421586
198,3,44.19919291565097,31.914115250687136,28.441891422848684,84.26831123441903
199,3,44.19692604608846,31.91179843392173,28.43885262667428,84.26226414874418
200,3,44.20022196945379,31.915213713703977,28.443715172271713,84.27078506273592
201,2,30.74059829849078,22.360194674299336,20.19331552994571,59.35802460581226
202,2,30.740279179555053,22.359948879792288,20.19228931125004,59.3561503943394
203,2,30.729687561719487,22.350391311600177,20.177824568938906,59.32744532501917
204,2,30.741095880540964,22.359789461833117,20.193370706843282,59.35848451061004
205,2,30.73026073439373,22.35032354443596,20.177184037149452,59.327834929657314
206,3,45.36046349194654,32.81537994379286,29.587009414471662,87.07800791748087
207,3,45.3598951968372,32.8147631443057,29.586938109293442,87.07759756673899
208,3,45.36861812929274,32.82209540291389,29.598670564536434,87.10205117569083
209,3,45.360218357757596,32.81473666612368,29.58632498994021,87.07800334436541
210,3,45.367334473241414,32.821282223116214,29.597650833544606,87.09933094411834
211,3,47.19126300991601,34.26505645115377,31.37851614019631,91.52542263517445
212,3,47.1960409665815,34.269003446509544,31.382623509465017,91.53569390066326
