Sample,red,green,blue,Material
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,31.502079317388976,32.69880037649235,31.533012461889676,2
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,32.00340389669542,33.18151372731643,31.988372861795753,2
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,36.530160396459074,37.3487257024571,36.454257025283034,3
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,34.05665406604864,34.855776390598606,34.013436634520346,5
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,27.267140460853202,28.890946324622803,27.554891674759617,2
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,36.05590873958042,36.88873541510222,36.009704745924424,3
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,36.34378552694448,37.17466876737242,36.27287494407306,5
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,35.48023156568286,36.41344916271786,35.41103777478084,1
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,36.187604958948704,37.012396785012804,36.12295105385922,3
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,27.888079518282908,29.467304791903906,28.17532842204873,2
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,27.591617413026466,29.04936706716146,27.77260071430863,6
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,37.061230925749406,37.82685719910059,36.98033037456612,4
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,30.770160751898707,32.00928692171961,30.890347614659202,2
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,35.62853443582448,36.48378130531249,35.59226838443998,5
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,35.85588791806427,36.70423295974304,35.79808841129606,5
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,37.0735697800849,37.840947136452726,36.99091032005589,4
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,29.02652932046003,30.425566489169,29.05280662762789,6
2021_Sep_01_SR-3501_SN19387Q4__00860.sed,29.268250781835892,30.456776396014256,29.486868098877324,6
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,37.13213754297697,37.897582635650714,37.05325192291332,0
2021_Aug_31_SR-3501_SN19387Q4__00391.sed,37.13463367727097,37.89695279309534,37.055278650768706,0
2021_Aug_30_SR-3501_SN19387Q4__00189.sed,32.40789106652058,33.47626775226213,32.41010762003937,1
2021_Sep_01_SR-3501_SN19387Q4__00874.sed,30.61192970275483,31.724475716522512,30.76638009439425,6
2021_Sep_01_SR-3501_SN19387Q4__00684.sed,36.055766414099686,36.91364200843082,36.00143720020088,5
2021_Sep_01_SR-3501_SN19387Q4__00848.sed,27.972980550054075,29.192402356152527,28.22749487319964,6
2021_Sep_01_SR-3501_SN19387Q4__00690.sed,36.15105730167723,37.00545600235699,36.0938087088496,5
2021_Aug_31_SR-3501_SN19387Q4__00420.sed,37.140920070042924,37.89856644086936,37.05941564929307,0
2021_Aug_31_SR-3501_SN19387Q4__00346.sed,36.55601273204013,37.28019294921711,36.46531660588811,0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,37.12146322880322,37.87418228728447,37.03678604537672,0
2021_Sep_01_SR-3501_SN19387Q4__00109.sed,37.08447889995049,37.84927619019991,37.002822230944226,4
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,37.142280655972314,37.89991952981548,37.05918449942239,0
2021_Sep_01_SR-3501_SN19387Q4__00647.sed,35.255962558572264,36.15889998732919,35.286185959369284,5
2021_Aug_30_SR-3501_SN19387Q4__00162.sed,30.428086045194867,31.60095548412727,30.59574087047387,1
2021_Sep_01_SR-3501_SN19387Q4__00135.sed,37.083960425632576,37.85054837554287,37.00240201992963,4
2021_Aug_30_SR-3501_SN19387Q4__00176.sed,31.542392224555865,32.64296432239689,31.6108740558729,1
2021_Sep_01_SR-3501_SN19387Q4__00653.sed,35.32955245031469,36.224797167475955,35.347307505464414,5
2021_Aug_31_SR-3501_SN19387Q4__00408.sed,37.139691405609156,37.899077733336654,37.059502029106866,0
2021_Aug_31_SR-3501_SN19387Q4__00597.sed,35.802474273748224,36.664968067239656,35.7697106625228,3
2021_Sep_01_SR-3501_SN19387Q4__00914.sed,32.82574885727999,33.88022175140499,32.80477159765409,6
2021_Aug_31_SR-3501_SN19387Q4__00583.sed,35.605046331554895,36.424286106296876,35.54896805622321,3
2021_Sep_01_SR-3501_SN19387Q4__00900.sed,31.546731343504156,32.61790585,31.60168073218913,6
2021_Sep_01_SR-3501_SN19387Q4__00928.sed,33.958525183650934,34.97177841593917,33.918068583504606,6
2021_Sep_01_SR-3501_SN19387Q4__00096.sed,37.084611886485526,37.84825906453514,37.00469758289285,4
2021_Sep_01_SR-3501_SN19387Q4__00082.sed,37.09711768109057,37.85991723090215,37.01905826712762,4
2021_Aug_31_SR-3501_SN19387Q4__00554.sed,36.37952916594697,37.20665991443669,36.30190792514187,3
2021_Sep_01_SR-3501_SN19387Q4__00069.sed,37.09368716582016,37.85683701237193,37.01622020149618,4
2021_Aug_31_SR-3501_SN19387Q4__00226.sed,35.1752817941078,36.157339261523134,35.110442242783165,2
2021_Aug_31_SR-3501_SN19387Q4__00540.sed,36.148059793680375,36.98331666572753,36.07874364818681,3
2021_Aug_31_SR-3501_SN19387Q4__00568.sed,36.7717056855913,37.570317819510755,36.69271460918419,3
2021_Sep_01_SR-3501_SN19387Q4__00733.sed,35.54988546458368,36.3524307378517,35.51329293952723,6
2021_Aug_30_SR-3501_SN19387Q4__00016.sed,34.41916245610317,35.22902702499865,34.40507922793374,1
2021_Sep_01_SR-3501_SN19387Q4__00055.sed,37.0955112405076,37.86499186328757,37.01776187363434,4
2021_Sep_01_SR-3501_SN19387Q4__00041.sed,37.105342416551046,37.872196817953174,37.02633946640563,4
2021_Aug_30_SR-3501_SN19387Q4__00002.sed,36.372051925650425,37.0899965127419,36.279349298873015,0
2021_Sep_01_SR-3501_SN19387Q4__00727.sed,35.514904315942424,36.2950207635974,35.474396548781165,6
2021_Aug_31_SR-3501_SN19387Q4__00795.sed,36.205437212543316,37.04943800208244,36.130189843980304,3
2021_Aug_31_SR-3501_SN19387Q4__00781.sed,36.06515066263647,36.91006548516372,35.99047709726446,3
2021_Sep_01_SR-3501_SN19387Q4__00294.sed,37.0414604951613,37.814921686524144,36.96719072372583,4
2021_Sep_01_SR-3501_SN19387Q4__00280.sed,37.030590170595985,37.80626690913578,36.955530279883455,4
2021_Aug_31_SR-3501_SN19387Q4__00030.sed,27.06894139228323,28.630456925264305,27.359975029888428,2
2021_Aug_31_SR-3501_SN19387Q4__00756.sed,35.782732914023136,36.631553998410574,35.73439486144613,3
2021_Aug_30_SR-3501_SN19387Q4__00228.sed,35.06196800201767,36.011374411634776,34.99504362709287,1
2021_Sep_01_SR-3501_SN19387Q4__00519.sed,34.62330274457415,35.5431194163111,34.63617632810047,5
2021_Aug_31_SR-3501_SN19387Q4__00742.sed,35.67095367404902,36.53229830359582,35.641541827373175,3
2021_Aug_31_SR-3501_SN19387Q4__00024.sed,26.91610647857398,28.47870015403042,27.18001137409297,2
2021_Sep_01_SR-3501_SN19387Q4__00257.sed,37.01109917154258,37.77137006181817,36.92914704795224,4
2021_Aug_30_SR-3501_SN19387Q4__00214.sed,34.41052261859408,35.40005887973595,34.348268663729456,1
2021_Sep_01_SR-3501_SN19387Q4__00525.sed,34.697051139471,35.609879084388304,34.70976902988185,5
2021_Aug_30_SR-3501_SN19387Q4__00200.sed,33.494559240496336,34.52871019901987,33.448995367042194,1
2021_Aug_31_SR-3501_SN19387Q4__00018.sed,26.661419650682173,28.17198207419257,26.88232977919114,2
2021_Sep_01_SR-3501_SN19387Q4__00243.sed,37.067706411904034,37.836866590378264,36.985637955551915,4
2021_Aug_30_SR-3501_SN19387Q4__00201.sed,36.90302562117641,37.65118821146163,36.818114953620366,1
2021_Sep_01_SR-3501_SN19387Q4__00524.sed,34.696943040758626,35.61251257251082,34.70953188313734,5
2021_Sep_01_SR-3501_SN19387Q4__00242.sed,37.06749758629394,37.83497864032421,36.98504353029982,4
2021_Aug_31_SR-3501_SN19387Q4__00019.sed,26.643500110051217,28.158570120836572,26.86488754097917,2
2021_Sep_01_SR-3501_SN19387Q4__00256.sed,37.01160703663175,37.77279968574986,36.92921239718397,4
2021_Sep_01_SR-3501_SN19387Q4__00530.sed,34.81423460892606,35.712803670437054,34.820133888936994,5
2021_Aug_30_SR-3501_SN19387Q4__00215.sed,34.41498457000201,35.40396941479443,34.352810126686144,1
2021_Aug_31_SR-3501_SN19387Q4__00743.sed,35.66951931207966,36.52836220548957,35.639995847879604,3
2021_Sep_01_SR-3501_SN19387Q4__00518.sed,34.62792704890082,35.549857349401485,34.64107310934084,5
2021_Aug_31_SR-3501_SN19387Q4__00025.sed,26.89287756513822,28.456883737552175,27.157492898933295,2
2021_Aug_31_SR-3501_SN19387Q4__00031.sed,27.35094483911107,28.881003558321694,27.64884216204201,2
2021_Aug_30_SR-3501_SN19387Q4__00229.sed,35.05844262099001,36.0076721634742,34.991437228410206,1
2021_Aug_31_SR-3501_SN19387Q4__00757.sed,35.782324891401345,36.63273080967325,35.734487762587385,3
2021_Sep_01_SR-3501_SN19387Q4__00281.sed,37.034028880484286,37.80910308931705,36.959566885737026,4
2021_Sep_01_SR-3501_SN19387Q4__00295.sed,37.04128988388108,37.81595464341276,36.96703891101366,4
2021_Aug_31_SR-3501_SN19387Q4__00794.sed,36.20420862646173,37.047280686920566,36.12895075169448,3
2021_Sep_01_SR-3501_SN19387Q4__00040.sed,37.094374542042786,37.86003254571236,37.01373303960263,4
2021_Sep_01_SR-3501_SN19387Q4__00726.sed,35.51793950139805,36.297832873115006,35.477213995306045,6
2021_Aug_30_SR-3501_SN19387Q4__00003.sed,36.37205121949774,37.08955790681942,36.27927290353862,0
2021_Aug_30_SR-3501_SN19387Q4__00017.sed,34.427035218415995,35.23575636518234,34.41275057423064,1
2021_Sep_01_SR-3501_SN19387Q4__00732.sed,35.54976453540676,36.35097643708153,35.513165052055065,6
2021_Aug_31_SR-3501_SN19387Q4__00569.sed,36.77198382185131,37.5725269182828,36.693577754750095,3
2021_Sep_01_SR-3501_SN19387Q4__00054.sed,37.09866427322708,37.86632455383011,37.02085999995415,4
2021_Aug_31_SR-3501_SN19387Q4__00227.sed,35.17916210210986,36.1602291228275,35.114146557378085,2
2021_Aug_31_SR-3501_SN19387Q4__00541.sed,36.230989974267914,37.061863501296706,36.15689012530402,3
2021_Aug_31_SR-3501_SN19387Q4__00555.sed,36.37889352580045,37.20562865279339,36.30136558339967,3
2021_Sep_01_SR-3501_SN19387Q4__00068.sed,37.09614495219471,37.862838638538705,37.01892712735798,4
2021_Sep_01_SR-3501_SN19387Q4__00083.sed,37.0990961217735,37.862872852098306,37.02068510196955,4
2021_Sep_01_SR-3501_SN19387Q4__00929.sed,33.955143806393146,34.96902780383902,33.91485134296588,6
2021_Sep_01_SR-3501_SN19387Q4__00097.sed,37.08854164663806,37.85024533380496,37.00826323240104,4
2021_Sep_01_SR-3501_SN19387Q4__00901.sed,31.931901444545904,32.999586777940145,31.95479645013662,6
2021_Aug_31_SR-3501_SN19387Q4__00582.sed,35.6052169512531,36.42582301245379,35.549194664772415,3
2021_Sep_01_SR-3501_SN19387Q4__00915.sed,32.82749724462313,33.881180781166606,32.80642706367093,6
2021_Aug_31_SR-3501_SN19387Q4__00596.sed,35.80405802842904,36.66621501701263,35.77054019697135,3
2021_Sep_01_SR-3501_SN19387Q4__00134.sed,37.08248977273525,37.84747199709296,37.00075087129137,4
2021_Aug_31_SR-3501_SN19387Q4__00409.sed,37.13739046815761,37.897434070255066,37.05710355814454,0
2021_Sep_01_SR-3501_SN19387Q4__00652.sed,35.33030261195743,36.22122202005483,35.34786431661878,5
2021_Aug_30_SR-3501_SN19387Q4__00177.sed,31.544719938411077,32.64438654039085,31.613349684391526,1
2021_Aug_30_SR-3501_SN19387Q4__00163.sed,30.45863299648058,31.629564255332177,30.62540748031407,1
2021_Sep_01_SR-3501_SN19387Q4__00646.sed,35.255904447934896,36.15748551297726,35.286219890422295,5
2021_Sep_01_SR-3501_SN19387Q4__00120.sed,37.08135691547474,37.845755254656076,36.99934514257254,4
2021_Sep_01_SR-3501_SN19387Q4__00108.sed,37.08374042479974,37.846778484551095,37.002383602942515,4
2021_Aug_31_SR-3501_SN19387Q4__00353.sed,37.12126171680673,37.87595271231331,37.03623038610509,0
2021_Aug_31_SR-3501_SN19387Q4__00435.sed,37.14334225682914,37.90052885659448,37.06016226397737,0
2021_Aug_31_SR-3501_SN19387Q4__00421.sed,37.14150072918384,37.900176694478986,37.058859674742095,0
2021_Aug_31_SR-3501_SN19387Q4__00347.sed,36.5545051575287,37.27784471327125,36.463866420717835,0
2021_Sep_01_SR-3501_SN19387Q4__00691.sed,36.243856481235284,37.094239758507285,36.18470490443208,5
2021_Sep_01_SR-3501_SN19387Q4__00849.sed,27.97913104954903,29.19647684519327,28.233565756413455,6
2021_Sep_01_SR-3501_SN19387Q4__00685.sed,36.05393429473316,36.911464939801256,35.99890214067251,5
2021_Aug_31_SR-3501_SN19387Q4__00390.sed,37.131726959629994,37.896185788794064,37.053171695065295,0
2021_Sep_01_SR-3501_SN19387Q4__00875.sed,30.615796839716936,31.727631164361327,30.77044910698655,6
2021_Aug_30_SR-3501_SN19387Q4__00188.sed,32.412498582216315,33.482348710566654,32.41495798877735,1
2021_Sep_01_SR-3501_SN19387Q4__00861.sed,29.742486659084655,30.90498014941577,29.943793442955325,6
2021_Aug_31_SR-3501_SN19387Q4__00384.sed,37.13201837149729,37.895933016031066,37.05258578525414,0
2021_Sep_01_SR-3501_SN19387Q4__00450.sed,35.74070171817678,36.59562903024032,35.69254134189573,5
2021_Sep_01_SR-3501_SN19387Q4__01028.sed,29.023016329320953,30.42542474922785,29.049048193777843,6
2021_Sep_01_SR-3501_SN19387Q4__00336.sed,37.073979399114776,37.84425905490517,36.991426515054684,4
2021_Aug_31_SR-3501_SN19387Q4__00179.sed,30.75545333817031,31.99686745412969,30.876778890800946,2
