Sample,red,green,blue,black,Material
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,52.55143907409838,37.77585884381952,35.12788961166299,98.22364119886976,2.0
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,52.23968907813107,39.158350081492216,35.455054994438285,99.43343949269838,2.0
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,59.97257826165875,42.57838525205613,39.68064609488898,111.92034426753519,3.0
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,54.895750697855476,39.95622326655739,36.86440394606251,106.36535934386512,5.0
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,45.15772218597039,32.178051177209774,30.5136919854835,85.17837546746208,2.0
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,58.94618796306101,42.93381416367491,38.61771426924458,111.31458041952932,3.0
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,60.19995571975315,44.305669092194215,38.843416005209626,112.8605479101274,5.0
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,58.02537809184233,42.21843824611273,38.03737627489267,109.81501430762874,1.0
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,58.97979932325712,42.66001160715433,38.709865263450865,112.51861582996527,3.0
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,45.97189591338,33.77888304741176,31.771459765813976,86.20799100488563,2.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.39207963488368,34.737873585422236,31.68159128562254,84.74684451171937,6.0
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,60.702810546575726,42.97626328478282,39.539106916111116,112.99549432756884,4.0
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,51.37484355782942,37.28444249430871,34.829579732122454,97.2190983507477,2.0
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,59.482448843886004,41.69876088960818,37.784456194637734,109.39602656494353,5.0
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,58.012877987033384,42.53100580953019,37.551979920989936,107.18760686751739,5.0
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,60.257588562244145,43.37724419994159,39.13099495587385,115.82403613222017,4.0
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,50.334871075945365,36.07800768662952,32.45665640268721,90.38325081997053,6.0
2021_Sep_01_SR-3501_SN19387Q4__00860.sed,50.152726055949586,36.268283392734574,31.347241734436874,91.25884140358886,6.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,60.00320302542488,43.58645635702232,39.86757001727796,113.63606052337275,0.0
2021_Aug_31_SR-3501_SN19387Q4__00391.sed,59.8745394289679,42.61404501748706,39.3009431994964,112.75382150780338,0.0
2021_Aug_30_SR-3501_SN19387Q4__00189.sed,54.57669000293969,39.05539641061076,35.34838482187151,99.75492578621872,1.0
2021_Sep_01_SR-3501_SN19387Q4__00874.sed,52.146590349522945,37.23162897569004,33.175481972698734,94.8184355060741,6.0
2021_Sep_01_SR-3501_SN19387Q4__00684.sed,58.431948342471955,42.153532170600485,38.63864648370837,112.95112726985424,5.0
2021_Sep_01_SR-3501_SN19387Q4__00848.sed,48.70554560802839,34.180186920026074,30.15932547454527,87.08657864363802,6.0
2021_Sep_01_SR-3501_SN19387Q4__00690.sed,60.11233776872198,42.56764152719774,38.851975557566945,110.8977747670693,5.0
2021_Aug_31_SR-3501_SN19387Q4__00420.sed,60.41391701409268,43.73307683637324,39.05315152135662,115.78526979189286,0.0
2021_Aug_31_SR-3501_SN19387Q4__00346.sed,59.73739536494983,42.770565027651365,38.702598303725864,112.43668438360868,0.0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,60.14508954948526,43.92962819555616,39.823653835284645,115.29428905314029,0.0
2021_Sep_01_SR-3501_SN19387Q4__00109.sed,60.68435975439879,43.171266144114014,38.517237218350175,114.9006353746705,4.0
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,59.972106787443224,43.523842454149325,39.47914118567645,113.0054791566613,0.0
2021_Sep_01_SR-3501_SN19387Q4__00647.sed,58.27935479267124,41.9608304099398,37.79793635725285,108.82733362325348,5.0
