SED_File,Photocurrent
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,5225.142322052113
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,5317.913395041724
2021_Sep_03_SR-3501_SN19387Q4__00089.sed,4656.720663406509
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,5926.945014107132
2021_Sep_02_SR-3501_SN19387Q4__00291.sed,5454.1197276293315
2021_Sep_02_SR-3501_SN19387Q4__00285.sed,5482.820937667073
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,5516.30311801033
2021_Sep_02_SR-3501_SN19387Q4__00508.sed,5923.336723094264
2021_Sep_03_SR-3501_SN19387Q4__00076.sed,4462.546828800705
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,4449.670620991711
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,5836.929346557941
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,5906.879432259595
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,5825.27501882861
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,5863.353004915435
2021_Sep_03_SR-3501_SN19387Q4__00062.sed,3975.482968500485
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,4558.0514591385545
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,4709.88455143224
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,5972.408224719044
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,5083.094730680294
2021_Sep_02_SR-3501_SN19387Q4__00534.sed,5954.2270002213645
2021_Sep_02_SR-3501_SN19387Q4__00252.sed,5506.65971204393
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,5800.37422454578
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,5839.3701384028955
2021_Sep_02_SR-3501_SN19387Q4__00246.sed,5510.819120436204
2021_Sep_02_SR-3501_SN19387Q4__00520.sed,5932.962579695157
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,5976.2784681943185
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,4974.27830156092
2021_Sep_01_SR-3501_SN19387Q4__00860.sed,5001.58354010027
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,5978.627818925713
2021_Aug_31_SR-3501_SN19387Q4__00391.sed,5979.588773905735
2021_Aug_30_SR-3501_SN19387Q4__00189.sed,5430.231770915222
2021_Sep_01_SR-3501_SN19387Q4__00874.sed,5186.105468269721
2021_Sep_02_SR-3501_SN19387Q4__00093.sed,5871.156311509974
2021_Sep_01_SR-3501_SN19387Q4__00684.sed,5870.331471404088
2021_Sep_01_SR-3501_SN19387Q4__00848.sed,4826.386732083189
2021_Sep_01_SR-3501_SN19387Q4__00690.sed,5883.405329893929
2021_Sep_02_SR-3501_SN19387Q4__00087.sed,5855.369348131349
2021_Aug_31_SR-3501_SN19387Q4__00420.sed,5982.42156654003
2021_Aug_31_SR-3501_SN19387Q4__00346.sed,5883.767430403117
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,5975.451195978314
2021_Sep_01_SR-3501_SN19387Q4__00109.sed,5977.85341699357
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,5984.079006600377
2021_Sep_02_SR-3501_SN19387Q4__00078.sed,5818.305069811773
2021_Sep_01_SR-3501_SN19387Q4__00647.sed,5735.044939731054
2021_Sep_02_SR-3501_SN19387Q4__00050.sed,5623.2758891128
2021_Aug_30_SR-3501_SN19387Q4__00162.sed,5116.488369069044
2021_Sep_01_SR-3501_SN19387Q4__00135.sed,5979.866919512261
2021_Sep_02_SR-3501_SN19387Q4__00044.sed,5596.578557583211
2021_Aug_30_SR-3501_SN19387Q4__00176.sed,5295.438621543593
2021_Sep_01_SR-3501_SN19387Q4__00653.sed,5749.932931934888
2021_Aug_31_SR-3501_SN19387Q4__00408.sed,5981.386390325739
2021_Aug_31_SR-3501_SN19387Q4__00597.sed,5787.155711952819
2021_Sep_01_SR-3501_SN19387Q4__00914.sed,5537.61224424429
2021_Aug_31_SR-3501_SN19387Q4__00583.sed,5748.722343985328
2021_Sep_01_SR-3501_SN19387Q4__00900.sed,5346.007226514121
2021_Sep_01_SR-3501_SN19387Q4__00928.sed,5679.328515511661
2021_Sep_01_SR-3501_SN19387Q4__00096.sed,5975.960498025757
2021_Sep_01_SR-3501_SN19387Q4__00082.sed,5975.916565619568
2021_Sep_02_SR-3501_SN19387Q4__00118.sed,3684.2240266112312
2021_Aug_31_SR-3501_SN19387Q4__00554.sed,5900.601808667378
2021_Sep_01_SR-3501_SN19387Q4__00069.sed,5974.528369436408
2021_Aug_31_SR-3501_SN19387Q4__00226.sed,5779.625651000901
2021_Aug_31_SR-3501_SN19387Q4__00540.sed,5863.666627372131
2021_Aug_31_SR-3501_SN19387Q4__00568.sed,5949.485819172804
2021_Sep_01_SR-3501_SN19387Q4__00733.sed,5810.3513836060165
2021_Aug_30_SR-3501_SN19387Q4__00016.sed,5654.981803149472
2021_Sep_02_SR-3501_SN19387Q4__00124.sed,3683.972184618515
