SED_File,Photocurrent,Material_Label
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,52.15528242950329,2.0
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,53.08171240744923,2.0
2021_Sep_03_SR-3501_SN19387Q4__00089.sed,46.46924845228496,
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,59.15292316311802,3.0
2021_Sep_02_SR-3501_SN19387Q4__00291.sed,54.44430036775686,
2021_Sep_02_SR-3501_SN19387Q4__00285.sed,54.728940554425556,
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,55.054134224823855,5.0
2021_Sep_02_SR-3501_SN19387Q4__00508.sed,59.11798172917567,
2021_Sep_03_SR-3501_SN19387Q4__00076.sed,44.52956928648358,
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,44.41138119774648,2.0
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,58.25371414412593,3.0
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,58.95301119793726,5.0
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,58.14194370829833,1.0
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,58.51771746399381,3.0
2021_Sep_03_SR-3501_SN19387Q4__00062.sed,39.663013306310184,
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,45.493362464704724,2.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.01853530136674,6.0
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,59.60445298991808,4.0
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,50.736398434049846,2.0
2021_Sep_02_SR-3501_SN19387Q4__00534.sed,59.425820317774864,
2021_Sep_02_SR-3501_SN19387Q4__00252.sed,54.96336113718739,
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,57.890330155755166,5.0
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,58.27969144690263,5.0
2021_Sep_02_SR-3501_SN19387Q4__00246.sed,55.004551016119144,
2021_Sep_02_SR-3501_SN19387Q4__00520.sed,59.21402963958049,
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,59.643183426176506,4.0
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,49.65894424014119,6.0
2021_Sep_01_SR-3501_SN19387Q4__00860.sed,49.928291653716165,6.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.66629797619794,0.0
2021_Aug_31_SR-3501_SN19387Q4__00391.sed,59.675921046372295,0.0
2021_Aug_30_SR-3501_SN19387Q4__00189.sed,54.20366269841237,1.0
2021_Sep_01_SR-3501_SN19387Q4__00874.sed,51.76869827495289,6.0
2021_Sep_02_SR-3501_SN19387Q4__00093.sed,58.59881358147635,
2021_Sep_01_SR-3501_SN19387Q4__00684.sed,58.588581939020685,5.0
2021_Sep_01_SR-3501_SN19387Q4__00848.sed,48.18115905325332,6.0
2021_Sep_01_SR-3501_SN19387Q4__00690.sed,58.71897765275147,5.0
2021_Sep_02_SR-3501_SN19387Q4__00087.sed,58.44155703658126,
2021_Aug_31_SR-3501_SN19387Q4__00420.sed,59.7042887217113,0.0
2021_Aug_31_SR-3501_SN19387Q4__00346.sed,58.719484110170185,0.0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,59.63453223012351,0.0
2021_Sep_01_SR-3501_SN19387Q4__00109.sed,59.65891269024995,4.0
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,59.720901585763414,0.0
2021_Sep_02_SR-3501_SN19387Q4__00078.sed,58.071866770725606,
2021_Sep_01_SR-3501_SN19387Q4__00647.sed,57.23785022265903,5.0
2021_Sep_02_SR-3501_SN19387Q4__00050.sed,56.124467577932705,
2021_Aug_30_SR-3501_SN19387Q4__00162.sed,51.072177622371925,1.0
2021_Sep_01_SR-3501_SN19387Q4__00135.sed,59.679118005137376,4.0
2021_Sep_02_SR-3501_SN19387Q4__00044.sed,55.85773561366689,
2021_Aug_30_SR-3501_SN19387Q4__00176.sed,52.85845283072834,1.0
2021_Sep_01_SR-3501_SN19387Q4__00653.sed,57.386611968494265,5.0
2021_Aug_31_SR-3501_SN19387Q4__00408.sed,59.693916228804355,0.0
2021_Aug_31_SR-3501_SN19387Q4__00597.sed,57.756447073079315,3.0
2021_Sep_01_SR-3501_SN19387Q4__00914.sed,55.277232350358304,6.0
2021_Aug_31_SR-3501_SN19387Q4__00583.sed,57.37257311679881,3.0
2021_Sep_01_SR-3501_SN19387Q4__00900.sed,53.36535449245177,6.0
2021_Sep_01_SR-3501_SN19387Q4__00928.sed,56.68984239256305,6.0
2021_Sep_01_SR-3501_SN19387Q4__00096.sed,59.639922435370465,4.0
2021_Sep_01_SR-3501_SN19387Q4__00082.sed,59.63938061587979,4.0
2021_Sep_02_SR-3501_SN19387Q4__00118.sed,36.73760045980484,
2021_Aug_31_SR-3501_SN19387Q4__00554.sed,58.889821527430676,3.0
2021_Sep_01_SR-3501_SN19387Q4__00069.sed,59.62547794579177,4.0
2021_Aug_31_SR-3501_SN19387Q4__00226.sed,57.68693674340058,2.0
2021_Aug_31_SR-3501_SN19387Q4__00540.sed,58.52119507315095,3.0
2021_Aug_31_SR-3501_SN19387Q4__00568.sed,59.377025751774156,3.0
2021_Sep_01_SR-3501_SN19387Q4__00733.sed,57.99031391191584,6.0
2021_Aug_30_SR-3501_SN19387Q4__00016.sed,56.44106137724849,1.0
2021_Sep_02_SR-3501_SN19387Q4__00124.sed,36.735105914311134,
2021_Sep_01_SR-3501_SN19387Q4__00055.sed,59.61632363200938,4.0
2021_Sep_01_SR-3501_SN19387Q4__00041.sed,59.6264145774998,4.0
2021_Aug_30_SR-3501_SN19387Q4__00002.sed,58.399569070292515,0.0
2021_Sep_02_SR-3501_SN19387Q4__00130.sed,38.422389839062674,
2021_Sep_01_SR-3501_SN19387Q4__00727.sed,57.93359329632723,6.0
2021_Aug_31_SR-3501_SN19387Q4__00795.sed,58.74561851666909,3.0
2021_Aug_31_SR-3501_SN19387Q4__00781.sed,58.526009623638515,3.0
2021_Sep_02_SR-3501_SN19387Q4__00483.sed,58.81334545162527,
2021_Sep_01_SR-3501_SN19387Q4__00294.sed,59.530028985194264,4.0
2021_Sep_01_SR-3501_SN19387Q4__00280.sed,59.49797462189089,4.0
2021_Sep_02_SR-3501_SN19387Q4__00497.sed,58.988887165934365,
2021_Aug_31_SR-3501_SN19387Q4__00030.sed,44.47852250176643,2.0
2021_Sep_03_SR-3501_SN19387Q4__00102.sed,48.26631461098604,
2021_Aug_31_SR-3501_SN19387Q4__00756.sed,57.96001025642694,3.0
2021_Aug_30_SR-3501_SN19387Q4__00228.sed,57.685920008280746,1.0
2021_Sep_01_SR-3501_SN19387Q4__00519.sed,56.15679796693641,5.0
2021_Aug_31_SR-3501_SN19387Q4__00742.sed,57.700571916253075,3.0
2021_Aug_31_SR-3501_SN19387Q4__00024.sed,44.05355639197434,2.0
2021_Sep_03_SR-3501_SN19387Q4__00116.sed,50.536469472561706,
2021_Sep_02_SR-3501_SN19387Q4__00468.sed,58.43152954672038,
2021_Sep_01_SR-3501_SN19387Q4__00257.sed,59.44472225345493,4.0
2021_Sep_02_SR-3501_SN19387Q4__00440.sed,59.47760911344365,
2021_Aug_30_SR-3501_SN19387Q4__00214.sed,56.915803870844925,1.0
2021_Sep_01_SR-3501_SN19387Q4__00525.sed,56.291096846914485,5.0
2021_Sep_02_SR-3501_SN19387Q4__00332.sed,53.960770043938666,
2021_Aug_30_SR-3501_SN19387Q4__00200.sed,55.75590465892381,1.0
2021_Sep_02_SR-3501_SN19387Q4__00454.sed,59.642804693617386,
2021_Aug_31_SR-3501_SN19387Q4__00018.sed,43.45937359456153,2.0
2021_Sep_01_SR-3501_SN19387Q4__00243.sed,59.64267964543401,4.0
2021_Aug_30_SR-3501_SN19387Q4__00201.sed,59.30110010029108,1.0
2021_Sep_02_SR-3501_SN19387Q4__00333.sed,53.95570233408115,
2021_Sep_01_SR-3501_SN19387Q4__00524.sed,56.29141630238965,5.0
2021_Sep_01_SR-3501_SN19387Q4__00242.sed,59.64166076820814,4.0
2021_Aug_31_SR-3501_SN19387Q4__00019.sed,43.43297453890404,2.0
2021_Sep_02_SR-3501_SN19387Q4__00455.sed,59.642067481406436,
2021_Sep_02_SR-3501_SN19387Q4__00441.sed,59.488652827905014,
2021_Sep_01_SR-3501_SN19387Q4__00256.sed,59.44525101619573,4.0
2021_Sep_01_SR-3501_SN19387Q4__00530.sed,56.51184068006198,5.0
2021_Aug_30_SR-3501_SN19387Q4__00215.sed,56.92034278298674,1.0
2021_Aug_31_SR-3501_SN19387Q4__00743.sed,57.698180948819115,3.0
2021_Sep_01_SR-3501_SN19387Q4__00518.sed,56.163008613786175,5.0
2021_Sep_02_SR-3501_SN19387Q4__00469.sed,58.43016666129995,
2021_Sep_03_SR-3501_SN19387Q4__00117.sed,50.53833503105899,
2021_Aug_31_SR-3501_SN19387Q4__00025.sed,44.0219601444128,2.0
2021_Sep_03_SR-3501_SN19387Q4__00103.sed,48.25269241837415,
2021_Aug_31_SR-3501_SN19387Q4__00031.sed,45.04744900025189,2.0
2021_Aug_30_SR-3501_SN19387Q4__00229.sed,57.68308127287057,1.0
2021_Aug_31_SR-3501_SN19387Q4__00757.sed,57.95996792996091,3.0
2021_Sep_02_SR-3501_SN19387Q4__00496.sed,58.988522584763906,
2021_Sep_01_SR-3501_SN19387Q4__00281.sed,59.506774236270346,4.0
2021_Sep_01_SR-3501_SN19387Q4__00295.sed,59.52975425689508,4.0
2021_Sep_02_SR-3501_SN19387Q4__00482.sed,58.81266700040763,
2021_Aug_31_SR-3501_SN19387Q4__00794.sed,58.744463023888244,3.0
2021_Sep_01_SR-3501_SN19387Q4__00040.sed,59.60571726278123,4.0
2021_Sep_01_SR-3501_SN19387Q4__00726.sed,57.936775205834394,6.0
2021_Sep_02_SR-3501_SN19387Q4__00131.sed,40.99989791637881,
2021_Aug_30_SR-3501_SN19387Q4__00003.sed,58.39929457984009,0.0
2021_Sep_02_SR-3501_SN19387Q4__00125.sed,36.72195096266498,
2021_Aug_30_SR-3501_SN19387Q4__00017.sed,56.44993079176842,1.0
2021_Sep_01_SR-3501_SN19387Q4__00732.sed,57.99043347405862,6.0
2021_Aug_31_SR-3501_SN19387Q4__00569.sed,59.37790094882256,3.0
2021_Sep_01_SR-3501_SN19387Q4__00054.sed,59.620500608216176,4.0
2021_Aug_31_SR-3501_SN19387Q4__00227.sed,57.69040581738652,2.0
2021_Aug_31_SR-3501_SN19387Q4__00541.sed,58.66102019996035,3.0
2021_Aug_31_SR-3501_SN19387Q4__00555.sed,58.889071958547994,3.0
2021_Sep_02_SR-3501_SN19387Q4__00119.sed,36.743715378637425,
2021_Sep_01_SR-3501_SN19387Q4__00068.sed,59.62903577305458,4.0
2021_Sep_01_SR-3501_SN19387Q4__00083.sed,59.64177043583127,4.0
2021_Sep_01_SR-3501_SN19387Q4__00929.sed,56.686657495827795,6.0
2021_Sep_01_SR-3501_SN19387Q4__00097.sed,59.646022753878,4.0
2021_Sep_01_SR-3501_SN19387Q4__00901.sed,53.98403751490303,6.0
2021_Aug_31_SR-3501_SN19387Q4__00582.sed,57.372994226176694,3.0
2021_Sep_01_SR-3501_SN19387Q4__00915.sed,55.27914480215122,6.0
2021_Aug_31_SR-3501_SN19387Q4__00596.sed,57.757683261770204,3.0
2021_Sep_01_SR-3501_SN19387Q4__00134.sed,59.67702018953401,4.0
2021_Aug_31_SR-3501_SN19387Q4__00409.sed,59.689791358028856,0.0
2021_Sep_01_SR-3501_SN19387Q4__00652.sed,57.38676988420901,5.0
2021_Aug_30_SR-3501_SN19387Q4__00177.sed,52.86121801503255,1.0
2021_Sep_02_SR-3501_SN19387Q4__00045.sed,55.85649497772537,
2021_Aug_30_SR-3501_SN19387Q4__00163.sed,51.10509895754865,1.0
2021_Sep_02_SR-3501_SN19387Q4__00051.sed,56.45136949290084,
2021_Sep_01_SR-3501_SN19387Q4__00646.sed,57.238240646455694,5.0
2021_Sep_01_SR-3501_SN19387Q4__00120.sed,59.667450826740705,4.0
2021_Sep_01_SR-3501_SN19387Q4__00108.sed,59.65844681265401,4.0
2021_Aug_31_SR-3501_SN19387Q4__00353.sed,59.63427344087714,0.0
2021_Sep_02_SR-3501_SN19387Q4__00079.sed,58.07605725102334,
2021_Aug_31_SR-3501_SN19387Q4__00435.sed,59.72213995908264,0.0
2021_Aug_31_SR-3501_SN19387Q4__00421.sed,59.710782154671676,0.0
2021_Aug_31_SR-3501_SN19387Q4__00347.sed,58.71748903366587,0.0
2021_Sep_02_SR-3501_SN19387Q4__00086.sed,58.44319556508694,
2021_Sep_01_SR-3501_SN19387Q4__00691.sed,58.837046955137,5.0
2021_Sep_01_SR-3501_SN19387Q4__00849.sed,48.18792680792262,6.0
2021_Sep_01_SR-3501_SN19387Q4__00685.sed,58.586700229272665,5.0
2021_Sep_02_SR-3501_SN19387Q4__00092.sed,58.59857047581124,
2021_Aug_31_SR-3501_SN19387Q4__00390.sed,59.66858486783306,0.0
2021_Sep_01_SR-3501_SN19387Q4__00875.sed,51.77296869020457,6.0
2021_Aug_30_SR-3501_SN19387Q4__00188.sed,54.20842579267622,1.0
2021_Sep_01_SR-3501_SN19387Q4__00861.sed,50.553908739552156,6.0
2021_Aug_31_SR-3501_SN19387Q4__00384.sed,59.66585561363116,0.0
2021_Sep_02_SR-3501_SN19387Q4__00247.sed,54.966499180676834,
2021_Sep_01_SR-3501_SN19387Q4__00450.sed,58.08709080273505,5.0
2021_Sep_01_SR-3501_SN19387Q4__01028.sed,49.655487373594234,6.0
2021_Sep_01_SR-3501_SN19387Q4__00336.sed,59.644250853304925,4.0
2021_Sep_02_SR-3501_SN19387Q4__00521.sed,59.28793660583946,
2021_Sep_02_SR-3501_SN19387Q4__00535.sed,59.428425878196634,
2021_Aug_31_SR-3501_SN19387Q4__00179.sed,50.71774224222197,2.0
2021_Sep_01_SR-3501_SN19387Q4__00322.sed,59.60436477139556,4.0
2021_Sep_01_SR-3501_SN19387Q4__00444.sed,57.888850328854105,5.0
2021_Sep_02_SR-3501_SN19387Q4__00253.sed,54.960583287723615,
2021_Aug_31_SR-3501_SN19387Q4__00637.sed,58.53111534575416,3.0
2021_Aug_30_SR-3501_SN19387Q4__00349.sed,58.140793323774176,1.0
2021_Sep_01_SR-3501_SN19387Q4__01014.sed,47.020920732006395,6.0
2021_Aug_31_SR-3501_SN19387Q4__00151.sed,46.66854446210736,2.0
2021_Sep_03_SR-3501_SN19387Q4__00063.sed,39.704717827675616,
2021_Sep_01_SR-3501_SN19387Q4__01000.sed,45.15744679115541,6.0
2021_Aug_31_SR-3501_SN19387Q4__00145.sed,44.39763633703882,2.0
2021_Sep_03_SR-3501_SN19387Q4__00077.sed,44.54040141823229,
2021_Sep_02_SR-3501_SN19387Q4__00509.sed,59.11922924145509,
2021_Sep_01_SR-3501_SN19387Q4__00478.sed,58.95369100348004,5.0
2021_Aug_31_SR-3501_SN19387Q4__00623.sed,58.25384974567871,3.0
2021_Sep_01_SR-3501_SN19387Q4__00493.sed,55.051525633563514,5.0
2021_Sep_02_SR-3501_SN19387Q4__00284.sed,54.721222547524974,
2021_Sep_03_SR-3501_SN19387Q4__00088.sed,46.45823191898558,
2021_Sep_02_SR-3501_SN19387Q4__00290.sed,54.61017705021305,
2021_Aug_31_SR-3501_SN19387Q4__00804.sed,59.153750174570575,3.0
2021_Aug_31_SR-3501_SN19387Q4__00192.sed,53.075632352910525,2.0
2021_Aug_31_SR-3501_SN19387Q4__00186.sed,52.14062936899771,2.0
2021_Aug_31_SR-3501_SN19387Q4__00190.sed,52.13954053561861,2.0
2021_Aug_31_SR-3501_SN19387Q4__00184.sed,51.244038743526076,2.0
2021_Sep_02_SR-3501_SN19387Q4__00286.sed,54.626026512746876,
2021_Sep_01_SR-3501_SN19387Q4__00491.sed,55.052798115974795,5.0
2021_Sep_01_SR-3501_SN19387Q4__00485.sed,59.2923505123225,5.0
2021_Sep_02_SR-3501_SN19387Q4__00292.sed,54.44658173700018,
2021_Sep_01_SR-3501_SN19387Q4__00308.sed,59.564554254867126,4.0
2021_Sep_03_SR-3501_SN19387Q4__00061.sed,39.66786799288749,
2021_Sep_01_SR-3501_SN19387Q4__01016.sed,47.02553485554591,6.0
2021_Aug_31_SR-3501_SN19387Q4__00153.sed,46.600877922299276,2.0
2021_Sep_02_SR-3501_SN19387Q4__00279.sed,54.777041701864285,
2021_Aug_31_SR-3501_SN19387Q4__00635.sed,58.41500803941683,3.0
2021_Aug_31_SR-3501_SN19387Q4__00621.sed,58.253641438961694,3.0
2021_Sep_03_SR-3501_SN19387Q4__00075.sed,43.18409870589127,
2021_Aug_31_SR-3501_SN19387Q4__00147.sed,45.48671845638157,2.0
2021_Sep_02_SR-3501_SN19387Q4__00523.sed,59.28851589971229,
2021_Sep_01_SR-3501_SN19387Q4__00334.sed,59.63183100365824,4.0
2021_Aug_31_SR-3501_SN19387Q4__00609.sed,57.91054265247898,3.0
2021_Sep_01_SR-3501_SN19387Q4__00452.sed,58.279097000148,5.0
2021_Sep_02_SR-3501_SN19387Q4__00245.sed,54.861909176710554,
2021_Sep_02_SR-3501_SN19387Q4__00251.sed,55.00094646070153,
2021_Sep_01_SR-3501_SN19387Q4__00446.sed,58.08178078335992,5.0
2021_Sep_01_SR-3501_SN19387Q4__00320.sed,59.588104286089255,4.0
2021_Sep_03_SR-3501_SN19387Q4__00049.sed,36.52852046336878,
2021_Sep_02_SR-3501_SN19387Q4__00537.sed,59.45942417821958,
2021_Sep_01_SR-3501_SN19387Q4__00877.sed,52.24859814543771,6.0
2021_Aug_31_SR-3501_SN19387Q4__00392.sed,59.677022665213286,0.0
2021_Aug_31_SR-3501_SN19387Q4__00386.sed,59.66872253634151,0.0
2021_Sep_01_SR-3501_SN19387Q4__00863.sed,50.55155059848509,6.0
2021_Sep_01_SR-3501_SN19387Q4__00693.sed,58.839220635366985,5.0
2021_Sep_02_SR-3501_SN19387Q4__00084.sed,58.29452829241206,
2021_Sep_02_SR-3501_SN19387Q4__00090.sed,58.44407774361013,
2021_Sep_01_SR-3501_SN19387Q4__00687.sed,58.717522892993514,5.0
2021_Aug_31_SR-3501_SN19387Q4__00437.sed,59.727980902791764,0.0
2021_Aug_30_SR-3501_SN19387Q4__00149.sed,48.585736902874345,1.0
2021_Aug_31_SR-3501_SN19387Q4__00351.sed,59.63360666488724,0.0
2021_Sep_01_SR-3501_SN19387Q4__00678.sed,58.42306772224566,5.0
2021_Aug_31_SR-3501_SN19387Q4__00423.sed,59.711018030651246,0.0
2021_Sep_02_SR-3501_SN19387Q4__00047.sed,56.12751379923999,
2021_Aug_30_SR-3501_SN19387Q4__00175.sed,52.431883900081786,1.0
2021_Sep_01_SR-3501_SN19387Q4__00650.sed,57.22684401263102,5.0
2021_Sep_01_SR-3501_SN19387Q4__00136.sed,59.698959237149346,4.0
2021_Aug_31_SR-3501_SN19387Q4__00379.sed,59.65969761942633,0.0
2021_Sep_01_SR-3501_SN19387Q4__00644.sed,57.06786107401173,5.0
2021_Sep_02_SR-3501_SN19387Q4__00053.sed,56.45267441655065,
2021_Aug_30_SR-3501_SN19387Q4__00161.sed,51.058527253367586,1.0
2021_Aug_31_SR-3501_SN19387Q4__00580.sed,57.257981512524054,3.0
2021_Sep_01_SR-3501_SN19387Q4__00903.sed,53.98017660674357,6.0
2021_Aug_31_SR-3501_SN19387Q4__00594.sed,57.637134676516865,3.0
2021_Sep_01_SR-3501_SN19387Q4__00917.sed,55.80320264919065,6.0
2021_Sep_01_SR-3501_SN19387Q4__00081.sed,59.64371876110046,4.0
2021_Sep_01_SR-3501_SN19387Q4__00095.sed,59.647056506526866,4.0
2021_Aug_31_SR-3501_SN19387Q4__00543.sed,58.662372621403534,3.0
2021_Sep_01_SR-3501_SN19387Q4__00718.sed,52.86310296848472,6.0
2021_Aug_31_SR-3501_SN19387Q4__00225.sed,56.1492778813073,2.0
2021_Aug_30_SR-3501_SN19387Q4__00029.sed,56.79212492279929,1.0
2021_Aug_31_SR-3501_SN19387Q4__00557.sed,58.995609128215165,3.0
2021_Aug_30_SR-3501_SN19387Q4__00001.sed,58.402398570217805,0.0
2021_Sep_02_SR-3501_SN19387Q4__00133.sed,40.99500474100188,
2021_Sep_01_SR-3501_SN19387Q4__00724.sed,54.11874464108519,6.0
2021_Sep_01_SR-3501_SN19387Q4__00042.sed,59.627389704295425,4.0
2021_Aug_31_SR-3501_SN19387Q4__00219.sed,55.67811241352915,2.0
2021_Sep_01_SR-3501_SN19387Q4__00056.sed,59.61744674400936,4.0
2021_Sep_01_SR-3501_SN19387Q4__00730.sed,57.92681370610905,6.0
2021_Aug_30_SR-3501_SN19387Q4__00015.sed,49.743795859930955,1.0
2021_Sep_02_SR-3501_SN19387Q4__00127.sed,38.42185262040817,
2021_Aug_31_SR-3501_SN19387Q4__00782.sed,58.52896262806112,3.0
2021_Aug_31_SR-3501_SN19387Q4__00796.sed,58.842275859075954,3.0
2021_Sep_01_SR-3501_SN19387Q4__00283.sed,59.50563893839629,4.0
2021_Sep_02_SR-3501_SN19387Q4__00494.sed,58.91117586090188,
2021_Sep_02_SR-3501_SN19387Q4__00480.sed,58.74734614010673,
2021_Sep_01_SR-3501_SN19387Q4__00297.sed,59.54431860023144,4.0
2021_Aug_31_SR-3501_SN19387Q4__00027.sed,44.5317624399637,2.0
2021_Sep_03_SR-3501_SN19387Q4__00115.sed,49.699826453940354,
2021_Aug_31_SR-3501_SN19387Q4__00741.sed,57.70032296256544,3.0
2021_Aug_31_SR-3501_SN19387Q4__00755.sed,57.90906777279882,3.0
2021_Sep_02_SR-3501_SN19387Q4__00319.sed,54.2540304618398,
2021_Aug_31_SR-3501_SN19387Q4__00033.sed,45.075512686407315,2.0
2021_Sep_03_SR-3501_SN19387Q4__00101.sed,48.24492175661536,
2021_Sep_01_SR-3501_SN19387Q4__00268.sed,59.467782227435805,4.0
2021_Sep_03_SR-3501_SN19387Q4__00129.sed,52.899157986028314,
2021_Sep_01_SR-3501_SN19387Q4__00240.sed,59.630554463281484,4.0
2021_Sep_01_SR-3501_SN19387Q4__00526.sed,56.51166328529623,5.0
2021_Sep_02_SR-3501_SN19387Q4__00331.sed,53.96239571010847,
2021_Aug_30_SR-3501_SN19387Q4__00203.sed,59.30284677018302,1.0
2021_Sep_02_SR-3501_SN19387Q4__00325.sed,54.08848341944248,
2021_Aug_31_SR-3501_SN19387Q4__00769.sed,58.263812246878125,3.0
2021_Sep_01_SR-3501_SN19387Q4__00254.sed,59.695952793936456,4.0
2021_Sep_02_SR-3501_SN19387Q4__00443.sed,59.48840013328235,
2021_Aug_31_SR-3501_SN19387Q4__00768.sed,58.26490177777343,3.0
2021_Sep_02_SR-3501_SN19387Q4__00324.sed,54.09557509888786,
2021_Sep_02_SR-3501_SN19387Q4__00442.sed,59.488244961615656,
2021_Sep_01_SR-3501_SN19387Q4__00255.sed,59.6973313537606,4.0
2021_Sep_01_SR-3501_SN19387Q4__00241.sed,59.64276668873989,4.0
2021_Sep_03_SR-3501_SN19387Q4__00128.sed,52.892291479934414,
2021_Aug_30_SR-3501_SN19387Q4__00202.sed,59.30263870542058,1.0
