Sample,red,green,blue,black,Material
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,52.66684773452597,37.870479791949066,34.42818456860276,98.09855687014806,2.0
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,53.602016082034154,38.44793311957051,34.929969067026526,99.75128855365527,2.0
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,59.7244831229149,42.759875043279294,38.4459746448417,113.17161184113738,3.0
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,55.585840563940195,39.74214351001984,35.630297816885246,105.3353986005676,5.0
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,44.848163616898205,32.587942580336026,29.95107694540622,84.81501815255425,2.0
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,58.816666207146966,42.2435904933998,37.94026939992777,111.56521831259548,3.0
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,59.52283778061225,42.59433072752283,38.26163810604411,112.62383268108213,5.0
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,58.70600206046701,41.80091914240336,37.65829423220149,110.31065875427308,1.0
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,59.083255252226216,42.40934152188021,38.09292753898699,112.00541378085097,3.0
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,45.94059366684122,33.358885633104336,30.593951327889577,86.72818431338362,2.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.485263758444155,34.02292720490579,30.85665102300201,86.37884877300098,6.0
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,60.179152906293936,43.24596045399404,38.838750559559884,114.58272653781401,4.0
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,51.23423817693006,36.9675541128318,33.641640266403044,95.6943660794719,2.0
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,58.45046300242034,41.86677437595665,37.542952607599155,110.3640134403409,5.0
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,58.84351675642522,42.12256857252589,37.79138586950944,111.10704267856306,5.0
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,60.2182789628076,43.26211461334225,38.855486853670484,114.6350906684353,4.0
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,50.15083958732619,35.69165307948615,32.35945206436344,91.10304066857304,6.0
2021_Sep_01_SR-3501_SN19387Q4__00860.sed,50.41838186789977,35.52223164418717,31.206480439816275,91.35461588605416,6.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,60.24143258505822,43.29131535770114,38.89338030268355,114.78885486454884,0.0
2021_Aug_31_SR-3501_SN19387Q4__00391.sed,60.251169529109035,43.29768372506049,38.89833763887184,114.7956410924401,0.0
