Sample,red,green,blue,black,Material
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,52.16747110584603,38.002822395266456,34.72618399314909,98.170815292385,2.0
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,53.09388673446172,38.582198117224436,35.231814988945715,99.8244157715087,2.0
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,59.16509974877111,42.9086805534251,38.778640218098296,113.24235659195838,3.0
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,55.06573247573232,39.88057742733078,35.939530395482834,105.40143499114069,5.0
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,44.42331872813206,32.70196421633865,30.211796635452906,84.87452093943719,2.0
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,58.26590570398106,42.3907026131585,38.2692758694279,111.63542323085912,3.0
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,58.965196816423855,42.7426295324222,38.5927994986565,112.69502904986788,5.0
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,58.15413117524443,41.94651440888426,37.98338424252078,110.38312797278108,1.0
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,58.52990097645862,42.55700809271348,38.423071494649825,112.07600031274399,3.0
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,45.50542482657322,33.47563066485641,30.860311755921376,86.7895009266644,2.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.0307125435332,34.14277330608857,31.124405915053714,86.45333612478811,6.0
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,59.61664519736753,43.39640006855366,39.175319851367334,114.65243015062785,4.0
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,50.748573574912804,37.09685460888778,33.93356620152876,95.76461692200874,2.0
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,57.90252294207639,42.01271620103897,37.86852912231128,110.43552608600689,5.0
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,58.29187661643683,42.26934740335902,38.118830560498736,111.17875026882079,5.0
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,59.65537047195539,43.412606292687734,39.192148398530726,114.70485214505933,4.0
