Sample,red,green,blue,black,Material
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,52.16747110584603,38.002822395266456,34.72618399314909,98.170815292385,2
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,53.09388673446172,38.582198117224436,35.231814988945715,99.8244157715087,2
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,59.165099748884536,42.908680553432795,38.778640218107675,113.24235659209063,3
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,55.06573247573232,39.88057742733078,35.939530395482834,105.40143499114069,5
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,44.42331872813206,32.70196421633865,30.211796635452906,84.87452093943719,2
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,58.26590570398106,42.3907026131585,38.2692758694279,111.63542323085912,3
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,58.965196816423855,42.7426295324222,38.5927994986565,112.69502904986788,5
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,58.15413117524443,41.94651440888426,37.98338424252078,110.38312797278108,1
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,58.52990097645862,42.55700809271348,38.423071494649825,112.07600031274399,3
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,45.50542482657322,33.47563066485641,30.860311755921376,86.7895009266644,2
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.0307125435332,34.14277330608857,31.124405915053714,86.45333612478811,6
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,59.61664519736753,43.39640006855366,39.175319851367334,114.65243015062785,4
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,50.74857357490327,37.096854608866835,33.93356620152642,95.76461692197279,2
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,57.90252294207639,42.01271620103897,37.86852912231128,110.43552608600689,5
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,58.29187661643683,42.26934740335902,38.118830560498736,111.17875026882079,5
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,59.65537047195539,43.412606292687734,39.192148398530726,114.70485214505933,4
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,49.6711263525553,35.817017788149656,32.63867858490893,91.18010995477387,6
2021_Sep_01_SR-3501_SN19387Q4__00860.sed,49.94044407132424,35.647519004736395,31.47948146547999,91.43203495471153,6
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.678481094400844,43.44188259813643,39.23040027136274,114.858242354992,0
2021_Aug_31_SR-3501_SN19387Q4__00391.sed,59.688106196062236,43.44827622323696,39.235401143239315,114.86508843206992,0
2021_Aug_30_SR-3501_SN19387Q4__00189.sed,54.21584840254768,39.03188377650582,35.036816172540256,101.04309929120723,1
2021_Sep_01_SR-3501_SN19387Q4__00874.sed,51.78088654870939,37.10885120057506,32.975233392725414,95.50318025490944,6
2021_Sep_01_SR-3501_SN19387Q4__00684.sed,58.60076977990482,42.48144528988958,38.327240957761916,111.84172079523205,5
2021_Sep_01_SR-3501_SN19387Q4__00848.sed,48.19313462726531,34.237269527746605,30.047971437881095,87.50935829996176,6
2021_Sep_01_SR-3501_SN19387Q4__00690.sed,58.731159787717,42.57308903491581,38.42030840795039,112.13700261036684,5
2021_Aug_31_SR-3501_SN19387Q4__00420.sed,59.71647715238741,43.46443087753974,39.24815568897401,114.889621102744,0
2021_Aug_31_SR-3501_SN19387Q4__00346.sed,58.731362537092025,42.734791919055255,38.58210376466815,113.0714117348114,0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,59.64667439657115,43.41537833381504,39.206252368415214,114.82019071467721,0
2021_Sep_01_SR-3501_SN19387Q4__00109.sed,59.67110941636345,43.41715432379844,39.199403603211934,114.73463086580924,4
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,59.73308443077049,43.469554723925384,39.25179713168386,114.90179534259866,0
2021_Sep_01_SR-3501_SN19387Q4__00647.sed,57.250036251116896,41.57245507086775,37.44722260209159,109.26200611650908,5
2021_Aug_30_SR-3501_SN19387Q4__00162.sed,51.08436879726028,36.83212312388507,32.89201815784904,94.81475719066884,1
2021_Sep_01_SR-3501_SN19387Q4__00135.sed,59.69130061899763,43.41870734278967,39.20145393669547,114.74721595540467,4
2021_Aug_30_SR-3501_SN19387Q4__00176.sed,52.870652014661374,38.100886105297604,34.13118753395155,98.30699023936558,1
2021_Sep_01_SR-3501_SN19387Q4__00653.sed,57.398804760380855,41.67201970517982,37.539635005432785,109.50192272823982,5
2021_Aug_31_SR-3501_SN19387Q4__00408.sed,59.70611045206637,43.45954409873447,39.245384093100846,114.88325624223913,0
2021_Aug_31_SR-3501_SN19387Q4__00597.sed,57.76860796397486,42.04433455169833,37.95289339913374,110.82931248400214,3
2021_Sep_01_SR-3501_SN19387Q4__00914.sed,55.2894218053127,39.52423816231295,35.423843539670756,102.59237730730678,6
2021_Aug_31_SR-3501_SN19387Q4__00583.sed,57.38454651285493,41.74903221514097,37.68050420811444,110.19031805549835,3
2021_Sep_01_SR-3501_SN19387Q4__00900.sed,53.37755150807815,38.2043274974497,34.065623740955836,98.51005149149877,6
