Sample,red,green,blue,black,Material
2021_Aug_31_SR-3501_SN19387Q4__00187.sed,52.398032307988025,37.83687437958205,34.8093140397645,98.77184367675113,2.0
2021_Aug_31_SR-3501_SN19387Q4__00193.sed,53.22720354902494,38.27432562361406,35.09644744623435,100.19350461554369,2.0
2021_Aug_31_SR-3501_SN19387Q4__00805.sed,59.46689118193828,43.0896530181879,39.05875073876089,114.09331615585097,3.0
2021_Sep_01_SR-3501_SN19387Q4__00492.sed,55.19517105860116,40.16238520534775,36.288792087062404,106.01041985038354,5.0
2021_Aug_31_SR-3501_SN19387Q4__00144.sed,44.846888097176155,32.766448958981734,30.43074482203533,84.87985081155199,2.0
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,58.12860597142143,42.53217782841166,38.62739863535281,111.67674797574557,3.0
2021_Sep_01_SR-3501_SN19387Q4__00479.sed,58.78344087303389,42.96211413359562,38.945406241427776,112.51498122743529,5.0
2021_Aug_30_SR-3501_SN19387Q4__00348.sed,58.55433649980353,42.20290929317025,38.34092680308862,110.31669509031742,1.0
2021_Aug_31_SR-3501_SN19387Q4__00636.sed,58.45889094896124,42.51904390566021,38.54321574794676,111.31875461149964,3.0
2021_Aug_31_SR-3501_SN19387Q4__00150.sed,45.355767471456,33.52279088927553,30.864364308162745,86.4019070595804,2.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,46.80937214226017,34.34285172213386,31.373516659663608,86.9437850329951,6.0
2021_Sep_01_SR-3501_SN19387Q4__00323.sed,59.868617365579,43.76252806142474,39.13684633111316,114.32864675483853,4.0
2021_Aug_31_SR-3501_SN19387Q4__00178.sed,50.51007614363208,36.79015684063344,33.64398730284451,95.86188697343809,2.0
2021_Sep_01_SR-3501_SN19387Q4__00445.sed,58.302678399603195,41.9114433736442,38.14612406742383,110.46655151050737,5.0
2021_Sep_01_SR-3501_SN19387Q4__00451.sed,57.82806844341089,42.404353770269836,38.26069504511083,110.25866200310878,5.0
2021_Sep_01_SR-3501_SN19387Q4__00337.sed,59.27834792442487,43.71728258807223,38.849581953993265,113.59428362093708,4.0
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,49.17976639357586,35.508072719918914,32.48193412675896,91.53445491509574,6.0
2021_Sep_01_SR-3501_SN19387Q4__00860.sed,50.0198755345757,35.63570211785141,31.209187989243688,90.6875818403139,6.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.93972613602095,43.27746657406223,39.60125797044738,114.78078560545947,0.0
2021_Aug_31_SR-3501_SN19387Q4__00391.sed,59.5707508610804,43.07506449499278,38.892894653468055,115.2896875303146,0.0
2021_Aug_30_SR-3501_SN19387Q4__00189.sed,54.151271977916785,38.89545159816624,35.15777543838941,101.95948470317452,1.0
2021_Sep_01_SR-3501_SN19387Q4__00874.sed,51.82291811606036,37.33629631206844,33.063559589809046,95.02529461981146,6.0
2021_Sep_01_SR-3501_SN19387Q4__00684.sed,58.16243194301991,42.64416710592071,37.944819307552635,112.35914721674534,5.0
2021_Sep_01_SR-3501_SN19387Q4__00848.sed,48.12397392799079,34.032505961688756,29.84270340458992,88.15197421044786,6.0
2021_Sep_01_SR-3501_SN19387Q4__00690.sed,59.21948665520354,42.81186136445817,38.29461428547067,112.01408088683033,5.0
2021_Aug_31_SR-3501_SN19387Q4__00420.sed,59.8376861572307,43.697777360399655,39.236785733403075,115.23630608394262,0.0
2021_Aug_31_SR-3501_SN19387Q4__00346.sed,58.37238043428063,43.007253706092385,38.34212109041093,112.07525382885419,0.0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,59.498183886417664,43.383612824585406,39.1736427689823,115.84728378300676,0.0
2021_Sep_01_SR-3501_SN19387Q4__00109.sed,59.2518621629378,43.19460675935694,39.038827577847286,114.67075694532227,4.0
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,59.908942107475276,43.43409172893198,39.61396630531553,115.91987059655308,0.0
2021_Sep_01_SR-3501_SN19387Q4__00647.sed,57.32659182553009,41.28856351301313,37.7219662154601,109.1322396610039,5.0
2021_Aug_30_SR-3501_SN19387Q4__00162.sed,51.24714184178498,36.721390416644766,32.96690916387921,94.8370976331436,1.0
2021_Sep_01_SR-3501_SN19387Q4__00135.sed,59.40202526197285,43.24843893022329,38.87812635507006,114.61028636404353,4.0
2021_Aug_30_SR-3501_SN19387Q4__00176.sed,52.672371611193924,37.99688597961887,34.17208603486972,97.55707983489555,1.0
2021_Sep_01_SR-3501_SN19387Q4__00653.sed,57.52312081767388,41.8090688677251,37.508576587098986,109.1563526114057,5.0
2021_Aug_31_SR-3501_SN19387Q4__00408.sed,59.891363499070245,43.6528842455234,39.44575403862705,115.45544618546319,0.0
2021_Aug_31_SR-3501_SN19387Q4__00597.sed,57.89416119592632,41.830887897715385,38.14967687473283,111.7427342251438,3.0
2021_Sep_01_SR-3501_SN19387Q4__00914.sed,55.13947615880544,39.177964864465515,35.73308221042741,103.10641964091427,6.0
2021_Aug_31_SR-3501_SN19387Q4__00583.sed,57.19417510340148,41.33277529348331,37.530235494461294,109.9651223307014,3.0
2021_Sep_01_SR-3501_SN19387Q4__00900.sed,53.118563918089485,38.08797772639004,33.9818369088819,98.12692926323585,6.0
2021_Sep_01_SR-3501_SN19387Q4__00928.sed,56.145943938715064,40.75758662630378,36.39039619912158,105.08170371488248,6.0
2021_Sep_01_SR-3501_SN19387Q4__00096.sed,59.54990419486455,43.1859307168866,39.26012849935421,114.59234838050757,4.0
2021_Sep_01_SR-3501_SN19387Q4__00082.sed,59.10799656446293,42.98111626401481,39.301319585974355,114.34888652223746,4.0
2021_Aug_31_SR-3501_SN19387Q4__00554.sed,59.09842093710994,42.53581056720522,38.606088959249455,113.20706510823898,3.0
2021_Sep_01_SR-3501_SN19387Q4__00069.sed,59.87623771276118,43.493297711900645,39.292024133905855,115.70211975374745,4.0
2021_Aug_31_SR-3501_SN19387Q4__00226.sed,58.02540732911958,41.54170642192683,38.16031939103484,109.83277556583957,2.0
2021_Aug_31_SR-3501_SN19387Q4__00540.sed,58.786074108010254,42.12965976685695,38.4644997592787,110.93204959668475,3.0
2021_Aug_31_SR-3501_SN19387Q4__00568.sed,59.1663841674367,43.12382242690384,39.14904814324722,115.04410648248368,3.0
2021_Sep_01_SR-3501_SN19387Q4__00733.sed,57.85762233256747,42.09319176429749,37.53994136591642,110.44797763450467,6.0
2021_Aug_30_SR-3501_SN19387Q4__00016.sed,56.55376772628519,41.08192194911705,36.45718242067276,105.6293597229652,1.0
2021_Sep_01_SR-3501_SN19387Q4__00055.sed,59.92082085677492,43.50301013048329,39.25678706228472,114.21589603968656,4.0
2021_Sep_01_SR-3501_SN19387Q4__00041.sed,59.36985104391562,43.603851469227195,39.25159304408939,114.70011655255429,4.0
2021_Aug_30_SR-3501_SN19387Q4__00002.sed,58.168470073144235,42.17567604286852,38.29489700217937,112.71036753875146,0.0
2021_Sep_01_SR-3501_SN19387Q4__00727.sed,57.604305107973325,42.14155943544664,37.67724007813572,110.56021863704373,6.0
2021_Aug_31_SR-3501_SN19387Q4__00795.sed,58.84619236089077,42.81068662574104,38.39093142888808,113.34782164355931,3.0
2021_Aug_31_SR-3501_SN19387Q4__00781.sed,58.00899960081259,42.74036165235027,38.55991396071063,112.15971368909784,3.0
2021_Sep_01_SR-3501_SN19387Q4__00294.sed,59.47690882086994,43.78670275472211,38.897340896297976,113.87352782628041,4.0
2021_Sep_01_SR-3501_SN19387Q4__00280.sed,58.96539636748558,43.677407791020556,39.006319172270295,114.88834373626686,4.0
2021_Aug_31_SR-3501_SN19387Q4__00030.sed,44.17063792785525,32.57425848614747,30.349696733058963,83.68946421575693,2.0
2021_Aug_31_SR-3501_SN19387Q4__00756.sed,58.10328006860438,42.305390219344915,38.17161127959936,110.6998616411845,3.0
2021_Aug_30_SR-3501_SN19387Q4__00228.sed,57.29082077278966,41.91144117813808,37.5075642513601,108.07744554068874,1.0
2021_Sep_01_SR-3501_SN19387Q4__00519.sed,56.27557261277848,40.580413394294645,36.94622190725424,106.98165594808134,5.0
2021_Aug_31_SR-3501_SN19387Q4__00742.sed,57.99447204644095,41.87666335597324,38.235429580767374,111.27717403454244,3.0
2021_Aug_31_SR-3501_SN19387Q4__00024.sed,43.965499360685385,32.0862767181652,30.214493701003043,83.704137209702,2.0
2021_Sep_01_SR-3501_SN19387Q4__00257.sed,59.413508641465945,43.23008556965985,39.32757415441536,113.91654330116825,4.0
2021_Aug_30_SR-3501_SN19387Q4__00214.sed,57.04525143912694,40.61887173541331,36.876351521771895,107.31616886134425,1.0
2021_Sep_01_SR-3501_SN19387Q4__00525.sed,56.32128456311254,40.80510801167775,36.589795113073734,107.13617055771446,5.0
2021_Aug_30_SR-3501_SN19387Q4__00200.sed,55.50371524154872,39.8915223843806,36.41425651334808,104.39777806591985,1.0
