Sample,E12,R,G,B,G1,G2,G3,G4,G5,G6,Material
2021_Sep_01_SR-3501_SN19387Q4__00191.sed,134.69742565624938,9.935514637765793,6.600716005865735,4.764334035957245,8.798337958123618,9.118678593710799,9.196995717785994,9.381767801174625,9.65367152811849,9.375035829018383,4.0
2498,104.62001623781606,7.737685775864163,4.998670568572224,3.597677018821596,6.747535744098149,7.019599240738964,7.092680465621034,7.2305133347994595,7.427676864740512,7.196588715352923,8.0
4830,130.8953855731952,9.647829821431202,6.384377886792195,4.617321261006758,8.560411906378345,8.858503809480041,8.919174456779928,9.085112352992946,9.350559591563005,9.073212948379041,7.0
2021_Aug_30_SR-3501_SN19387Q4__00135.sed,98.9003032587598,7.260278154512413,4.487721346896307,3.1812801107847584,6.225152418548606,6.505124329820923,6.571447256339561,6.691341223214973,6.907978753129789,6.636254528039249,1.0
4418,130.540921869025,9.627967829925215,6.345088128496165,4.570007636419137,8.492848945423715,8.807955845508452,8.88589512951579,9.063584012184522,9.331330771135852,9.051895286898844,2.0
2021_Sep_01_SR-3501_SN19387Q4__00642.sed,128.6467428483938,9.464912490886201,6.223900677587149,4.490507730897784,8.34407818677693,8.67023965004425,8.754175651381852,8.905836078144786,9.177970140488693,8.89390302764954,5.0
aug_4.0_54135be0,133.2895196908688,9.847725765116401,6.541479536989809,4.721498116292368,8.714316395584262,9.027767086134334,9.104546779054294,9.290200793623109,9.558804120593049,9.2894367554381,4.0
1478,118.66212496371652,8.862952857608875,6.000487335713954,4.380429429063945,8.106093787641734,8.264540491030521,8.191409791022505,8.262863839148226,8.44345379656046,8.271501776527458,2.0
2021_Sep_01_SR-3501_SN19387Q4__00180.sed,134.63404361065162,9.93371685964135,6.601247328232169,4.7643804302258825,8.79838125460921,9.116424043567973,9.193849157004,9.379051118150775,9.65003827255012,9.373618943576055,4.0
2021_Sep_01_SR-3501_SN19387Q4__00333.sed,134.95240163644536,9.95473069964886,6.605740229884037,4.769152696023527,8.80659346661908,9.128972549723075,9.210252361620359,9.398012142094851,9.672343334261036,9.39066623705594,4.0
1526,134.7824384609244,9.944654846599695,6.604208986710852,4.769067612530829,8.806666118484639,9.124648488799329,9.201516824499356,9.386845589428479,9.658130409748145,9.381815299633907,9.0
2021_Aug_31_SR-3501_SN19387Q4__00014.sed,97.0550268413129,6.93140534733336,4.574318935145302,3.4205369022227234,6.241970524803785,6.461591158397862,6.510277581946599,6.626517408515782,6.842824842345703,6.6205645381129745,2.0
aug_5.0_7de7680c,130.09708646434174,9.560568845002695,6.254272771247454,4.529844738057721,8.400811848147008,8.727528281695175,8.823532003796478,8.992173650385778,9.289079136685473,8.979146223711165,5.0
2021_Aug_30_SR-3501_SN19387Q4__00076.sed,130.99437835781995,9.674940681719999,6.308352033717142,4.545884825897871,8.468708917350794,8.79704277250706,8.888719812223052,9.069710603868803,9.354034420633635,9.060299350427744,1.0
