Sample,red,green,blue,black,Material
2021_Sep_01_SR-3501_SN19387Q4__00191.sed,59.50482592118564,43.328780198482725,39.11914884278127,114.49892284338061,4.0
2498,46.7411786027713,33.695683524852505,30.211082532731304,88.3775281220643,8.0
4830,57.86747403815953,42.11321462120823,38.10133359072347,111.15169414279406,7.0
2021_Aug_30_SR-3501_SN19387Q4__00135.sed,45.0678889079794,32.196854692798695,28.333222210629255,82.2234142029634,1.0
4418,57.878987966214375,42.04572223520384,37.840834666469846,110.69594783689902,2.0
2021_Sep_01_SR-3501_SN19387Q4__00642.sed,57.081349426463355,41.45485586537188,37.337617007947415,108.98185534926958,5.0
aug_4.0_54135be0,58.87862235700308,42.84688206602189,38.68264724480732,113.35759320990402,4.0
1478,51.64788822337869,37.866106446332324,34.936861349687575,101.91770346240077,2.0
2021_Sep_01_SR-3501_SN19387Q4__00180.sed,59.469514961752395,43.30364932451843,39.09708713246954,114.46179783336835,4.0
2021_Sep_01_SR-3501_SN19387Q4__00333.sed,59.644265063711686,43.40780629422487,39.18693819106041,114.68807863816781,4.0
1526,59.54162942070171,43.34524763636266,39.151971104072814,114.5770798668108,9.0
2021_Aug_31_SR-3501_SN19387Q4__00014.sed,42.70283419890613,31.25896019566317,29.034213418296854,81.9398613572647,2.0
aug_5.0_7de7680c,57.80399348341609,41.893453254861114,37.810417061256686,110.08266287707536,5.0
2021_Aug_30_SR-3501_SN19387Q4__00076.sed,58.323699140584765,42.17896593194249,37.88808236083794,110.84168118086478,1.0
aug_1.0_e994b4c9,46.90268932767994,33.9933706177328,30.487304377244016,86.53566752912596,1.0
3758,50.97278542669118,36.90663468963467,33.01930370555215,95.1818121675807,8.0
2266,59.51677008454239,43.320862585527784,39.1319814076444,114.53493726563065,9.0
3183,57.57881656636117,41.79928986072242,37.60348790194347,109.83291146859045,2.0
4343,57.316118750022085,41.70564124906461,37.67159105290665,110.19739607031482,9.0
2021_Sep_01_SR-3501_SN19387Q4__00920.sed,55.80768525162101,39.8957638502344,35.810968566153406,103.80048321671471,6.0
aug_mixup_8.0_73602,46.50306393502993,33.56067541939251,30.333160833715333,88.3025847557106,8.0
aug_0.0_592c8610,59.72345816955741,43.46705732970625,39.250873315726956,114.89554066489445,0.0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,59.64667439657116,43.41537833381505,39.20625236841522,114.82019071467722,0.0
2021_Sep_01_SR-3501_SN19387Q4__00481.sed,59.30333576770538,43.017046627780246,38.864315950455975,113.58189619598012,5.0
4896,53.36491770547647,38.95818224920539,35.67924225642895,102.42275502621854,8.0
