Sample,red,green,blue,black,N1,N2,N3,Material
4688,28.68665427054146,20.123078998445884,17.242202165325597,51.08679184042283,15.719968419305335,17.0603169203158,17.486406684934323,8.0
2524,58.3258161332677,42.4043132771134,38.22406345223486,111.69618624320724,35.250837717305394,36.902962444943086,37.87937360307448,2.0
4023,51.0807975821491,37.33573675226282,34.40881536910008,98.7653969350251,30.845544152129523,32.58274608699182,34.452200609781784,8.0
4753,59.4096196615402,43.222338713827966,39.02301358685102,114.18439287124163,36.059085767677274,37.70791698294587,38.64816672613448,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,48.715350858430185,35.731994648152735,32.74455774549173,92.44438663824795,29.142393406040387,30.68807534636506,32.013875797604484,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,57.76474396721337,41.91343263958477,37.76711590495775,110.12863277538351,34.75148387815603,36.428685111394174,37.29765937042756,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,57.81262936800687,41.89773618007877,37.813050539081075,110.09665598451583,34.7538123482881,36.38258285327457,37.26332429507103,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,57.166385676459385,41.60341088496635,37.55469574445906,109.70456634162717,34.61165454194997,36.23266709085219,37.261927111334074,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,50.14132518239553,36.12458167214989,32.199098101103374,92.88212640642728,29.121230268224263,30.784491013752742,31.955982849836996,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,31.766845391408506,23.260575322071645,21.55741242846981,57.87160721933646,17.90943370582186,19.20411810093767,21.207967365772603,6.0
3853,42.5076243807722,30.52530603261651,27.1297206547053,79.41224978535506,24.874657326493804,26.247835222267568,27.0217801965415,2.0
5059,59.23512582761908,43.11595185266009,38.966096119568824,113.97489336089082,35.98317236345752,37.635718077583206,38.609643954777646,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,58.16478504816859,42.1390858241915,38.05793083186978,110.8206982396008,35.003410249282844,36.603000510704796,37.45930172857302,5.0
4630,45.14100269091442,32.443976026392534,28.86106225699144,84.36151152232343,26.43321463914169,27.883476270055972,28.713769645737678,2.0
5032,59.24294838018196,43.11948284020872,38.967142501914566,113.97407580696458,35.98541160823531,37.63697704426318,38.60094795271854,9.0
aug_0.0_95e5e8d2,59.734176188681076,43.47028131952359,39.252564704300994,114.90413256597532,36.292615624237705,37.94418264310961,38.87934607400662,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,56.800182953886605,41.00097611370362,36.636152411389205,107.47125496063838,33.81498463935725,35.49143974430702,36.46350942219126,1.0
aug_6.0_e166a68b,58.48368579228644,42.33189688435946,37.94365057029137,111.29566187627502,35.09129413141436,36.75934106271405,37.68187962816839,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,59.62841728724807,43.40267927207259,39.191747006264585,114.77635603558018,36.25303482202736,37.89725266193057,38.842280806525835,4.0
4376,59.341747236270166,43.1868510526689,39.000109436002134,114.14678100627435,36.04684142419167,37.69251724313338,38.64130255077655,9.0
aug_6.0_b40f34ec,43.040163820192205,31.434667301598353,28.684735964289956,79.45720343056263,24.93253904462491,26.518538142064614,27.899342033044263,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,45.07008600535809,33.172372460236645,30.570471973059206,85.90400137397545,27.032368537500616,28.45454495560233,30.081125582104384,2.0
aug_1.0_9a9a44dc,58.56935366375405,42.37273072749029,38.09648823249018,111.45318062082056,35.16499754011465,36.80222610412386,37.6794973147854,1.0
aug_4.0_1ad08d39,59.640347483370185,43.41199895237027,39.19851446789342,114.75003779375967,36.240972158620515,37.894056720264665,38.84430089870345,4.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.67848109440085,43.44188259813643,39.23040027136275,114.858242354992,36.27675438806836,37.92628019153063,38.8798917161252,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.0307125435332,34.14277330608858,31.124405915053714,86.45333612478811,27.34588521680355,28.86796043658169,29.64161057373813,6.0
1021,45.333992405458716,32.56543935545532,29.081585360119032,85.25086324545893,26.73570063352598,28.17837970652112,28.89592642854235,8.0
576,43.15091535732638,31.05640812925035,27.79188511329265,81.81043047921632,25.615238224273767,26.99577497055538,27.859562237866946,2.0
761,53.383028306894076,38.96107144865506,35.52719672995858,104.03099439707805,32.579790599247346,34.297656167196465,35.710784487563345,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,55.17365254264465,39.64583967114925,36.28894169699066,103.36419777010272,32.76784351430488,34.05476406227053,34.72931085239844,2.0
aug_3.0_2b89533b,57.9234546516807,42.127565151711934,38.03193692228448,110.80026351315226,34.98765692175398,36.63231578700558,37.56310248465241,3.0
3523,59.43135401941683,43.26374896143875,39.08216366150687,114.37261932370554,36.11985185642514,37.76666594404878,38.724845525941646,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,56.698072641556266,41.13305457663268,37.036776213683325,108.51749377803725,34.21052267562394,35.84282740354441,36.73977130420896,5.0
3866,56.79719256745364,41.38790464702632,37.58956696409247,109.46600709601628,34.472105316826124,36.11698025434363,37.33381581391059,2.0
aug_3.0_fa0a66b8,57.855938645575904,42.106435038622564,38.01062786099393,110.96753316798504,35.019269034578606,36.65969892491046,37.682295782676874,3.0
2072,35.006508544970416,25.418128197851605,23.83478883590666,68.74668664338611,21.123943737885654,22.560065649053783,24.245849722220466,8.0
