Sample,red,green,blue,black,N1,N2,N3,N4,Material
4688,5.494575545219512,3.586151363994502,2.4289886012814668,61.76658343100533,4.274206097159973,4.1694838105511955,3.9232258749702424,3.072699362826827,8.0
2524,11.508107708024625,8.402713775307083,5.967214312107304,131.6765640371991,9.44225616196962,9.031357644624919,8.677231581474516,7.122852367228287,2.0
4023,10.109809032528402,7.417613108618531,5.368130618003381,116.25079019930025,8.220531020209034,7.944779805324058,7.7932685091202645,6.327501618170161,8.0
4753,11.76582312871183,8.626498121524849,6.132517017503027,134.38374920753222,9.65196033857992,9.233498052299979,8.880546844169515,7.304999043563264,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,9.23426062899109,6.721331723593052,4.887078782374927,110.06657776651991,7.80390570255468,7.439741781068184,7.090329636432413,5.772331377209712,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,11.338142947193424,8.22618347564053,5.851448088422624,130.08349867378416,9.316926134018733,8.907015661974334,8.520330839600561,6.978410218652656,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,11.339099888285917,8.200689006746554,5.84716054834532,130.11342969744774,9.3188638738215,8.890508489594701,8.510173169738673,6.953233130717157,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,11.293453451745837,8.269335809702707,5.878131280525872,129.23563823832583,9.26580296012013,8.868503477672077,8.533571533096719,7.013617840654892,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,9.573746499940457,6.692011357443085,4.728917126036086,111.17494114435317,7.850455958298825,7.493742271905182,7.128222613406542,5.72298393894825,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,5.594172388173206,3.839780709163855,2.888423135832203,70.65918785489542,4.806576801778437,4.584759404073747,4.359442440741483,3.4380309847544845,6.0
3853,8.290164814658436,5.828497041554215,4.093926029891993,94.46031627190999,6.696633646212703,6.416164952926003,6.135502248286187,4.950497463331696,2.0
5059,11.742030593839873,8.619450916071154,6.131235606603084,134.08459776872454,9.628583121961078,9.215736407053422,8.873465376567404,7.299026139517415,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,11.412372664795374,8.25526101812718,5.892484379292579,130.93556264515288,9.385102394692463,8.944688817989306,8.561276385932326,6.995972429175418,5.0
4630,8.792885716315354,6.188444135421168,4.350974085452634,100.36141491063508,7.1153963114444885,6.814136480679086,6.515739225714338,5.258962628058016,2.0
5032,11.740678255177485,8.617369219934682,6.13006841430874,134.09191637329943,9.629452927672117,9.215835839671442,8.871089055570948,7.2973003185160845,9.0
aug_0.0_95e5e8d2,11.840282497140763,8.6907914034495,6.177939362317041,135.178554227145,9.713046929117764,9.292815963870115,8.939687604413365,7.3579038207490655,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,11.175389242790047,8.006625397981548,5.644383984905563,127.18064164858484,9.083179569053213,8.687752976908346,8.33437842469496,6.788332812954978,1.0
