Sample,red,green,blue,black,N1,N2,N3,N4,Material
4688,28.68665427054146,20.123078998445884,17.242202165325597,51.08679184042283,3.6876809837826543,3.5911779167055426,3.5419817866927925,2.9154200616363584,8.0
2524,58.3258161332677,42.4043132771134,38.22406345223486,111.69618624320724,8.304080430553908,7.969312241563475,7.965831517569384,6.869929106636567,2.0
4023,51.0807975821491,37.33573675226282,34.40881536910008,98.7653969350251,7.261065287561872,7.022991397631133,7.1465472320268155,6.0913895274265055,8.0
4753,59.4096196615402,43.222338713827966,39.02301358685102,114.18439287124163,8.498290196164348,8.160141163305337,8.161527150862533,7.053122935713901,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,48.715350858430185,35.731994648152735,32.74455774549173,92.44438663824795,6.823454953662253,6.501936582011205,6.463376527321683,5.525244126594403,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,57.76474396721337,41.91343263958477,37.76711590495775,110.12863277538351,8.17863158402204,7.8430093187807275,7.8132713500187565,6.723278796927165,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,57.81262936800687,41.89773618007877,37.813050539081075,110.09665598451583,8.175213021576166,7.822940483233585,7.802584996919114,6.697494780131716,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,57.166385676459385,41.60341088496635,37.55469574445906,109.70456634162717,8.155156318971223,7.8323082833632345,7.836378598791908,6.76529933244057,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,50.14132518239553,36.12458167214989,32.199098101103374,92.88212640642728,6.828231566428865,6.518312481586408,6.478209226544182,5.464212014794915,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,31.766845391408506,23.260575322071645,21.55741242846981,57.87160721933646,4.139644031506905,3.9205084269870607,3.892117224805006,3.2127579784308273,6.0
3853,42.5076243807722,30.52530603261651,27.1297206547053,79.41224978535506,5.849784450955639,5.614157800066974,5.60014274740111,4.749601359665119,2.0
5059,59.23512582761908,43.11595185266009,38.966096119568824,113.97489336089082,8.481325362415973,8.147414371255739,8.15649598854954,7.0484447863853505,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,58.16478504816859,42.1390858241915,38.05793083186978,110.8206982396008,8.233191523704514,7.87229243320484,7.851543011787857,6.740237176499945,5.0
4630,45.14100269091442,32.443976026392534,28.86106225699144,84.36151152232343,6.215135780322505,5.96203768132375,5.946726471855357,5.04493134256502,2.0
5032,59.24294838018196,43.11948284020872,38.967142501914566,113.97407580696458,8.481467653116562,8.146958245538833,8.154140433706518,7.046668310526239,9.0
aug_0.0_95e5e8d2,59.734176188681076,43.47028131952359,39.252564704300994,114.90413256597532,8.554502572109993,8.215485567781709,8.217846438755654,7.106008488171473,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,56.800182953886605,41.00097611370362,36.636152411389205,107.47125496063838,7.962966122761183,7.639553233073693,7.63297986356926,6.5323396734620305,1.0
aug_6.0_e166a68b,58.48368579228644,42.33189688435946,37.94365057029137,111.29566187627502,8.266638240396027,7.929702007506895,7.922164469226039,6.807213960652125,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,59.62841728724807,43.40267927207259,39.191747006264585,114.77635603558018,8.546409469622034,8.209549658110362,8.214372931182753,7.106178695935336,4.0
4376,59.341747236270166,43.1868510526689,39.000109436002134,114.14678100627435,8.496512472893572,8.16083914492632,8.164457761592502,7.059210891960266,9.0
aug_6.0_b40f34ec,43.040163820192205,31.434667301598353,28.684735964289956,79.45720343056263,5.803140692231175,5.503598108740755,5.413008817082968,4.549520803103494,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,45.07008600535809,33.172372460236645,30.570471973059206,85.90400137397545,6.328271687885245,6.035005422073116,6.027561800114495,5.157316152017994,2.0
aug_1.0_9a9a44dc,58.56935366375405,42.37273072749029,38.09648823249018,111.45318062082056,8.277957473602862,7.9289443811648095,7.9150098478612865,6.79437939310366,1.0
aug_4.0_1ad08d39,59.640347483370185,43.41199895237027,39.19851446789342,114.75003779375967,8.542835971298265,8.205864922034912,8.209342337180829,7.100068890421467,4.0
