Sample,red,green,blue,black,N1,N2,N3,N4,Material
4688,4.637276472620318,2.754474902568396,1.8995192201149087,27.634497064759415,3.562357614544281,3.607032421720217,3.246738923729615,2.453364388541065,8.0
2524,9.699074806272337,6.40421238364789,4.620028732190415,57.87630101243539,7.777545264585,7.676593925452847,7.063263459775109,5.585727292228323,2.0
4023,8.511238518004603,5.645459387173805,4.147909964956168,51.10757197945719,6.754271458185208,6.745726652745649,6.362790594481361,4.979705862172128,8.0
4753,9.91417470536744,6.572559325013285,4.746106575031288,58.99035477971164,7.9447786382557375,7.8395861613987305,7.218608958700813,5.721163779748417,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,7.795669588131495,5.1281664525816195,3.785747540468126,48.787715471332376,6.450783354585772,6.370335120488791,5.836010254548912,4.573536701367285,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,9.55995689716284,6.273331248257424,4.5329988281749,57.260157968918776,7.683111757222099,7.583021414170159,6.944999388595721,5.479605012253536,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,9.562476555728283,6.254986169485753,4.5303242149085206,57.29461479272646,7.687770372013375,7.572902935767754,6.938075127105414,5.461516447323693,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,9.516866987051607,6.301097818198554,4.549784284196868,56.78040357295397,7.628759444833941,7.533524162221287,6.944869215843619,5.500020953994225,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,8.085831557060152,5.118432263054396,3.6758498952853973,49.4284674469265,6.509927159440238,6.436757442037628,5.875498529550624,4.542952338536049,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,4.737783326758935,2.9449672255834924,2.2476271154486787,31.974811375730305,4.010551945713274,3.9899286843660486,3.6922983063781984,2.8080522235327403,6.0
3853,6.995567805111865,4.453771517005652,3.179653357205642,41.78493864735693,5.539682820038022,5.487059973577144,5.0252863565587385,3.9051199945968507,2.0
5059,9.893001670160796,6.5662419846042805,4.7443204186492505,58.84370135335231,7.923464128606565,7.82239455376512,7.211534477847229,5.715636806025767,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,9.624495257909583,6.2966618201297715,4.565328897154764,57.64434282741833,7.742628159529211,7.617934259916109,6.9774069986337555,5.493585079930346,5.0
