Sample,red,green,blue,black,N1,N2,N3,N4,Material
4688,28.747071879488892,20.120667684001734,17.24778191063189,51.16741074785643,15.71541178868999,17.05427840127473,17.44465889760438,14.731321273487021,8.0
2524,58.314668355191316,42.293340155988396,38.33241759989907,111.83012706638327,35.33458842984059,36.873721306755236,37.83107021684482,32.91671660439688,2.0
4023,51.01145976295811,37.24717032046928,34.295751109519074,99.00112356203036,30.88372749773662,32.665217726944,34.56168834694815,29.76881613083162,8.0
4753,59.34154124589739,43.232141639100774,39.145514768710385,114.20174682228416,35.96989192428093,37.65306216267909,38.62799775846792,33.50230327105805,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,48.595725922687144,35.74699493918322,32.6819396176951,92.25281318219572,29.125724721731334,30.734899244545293,32.03258878656101,27.66510277780681,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,57.81156143547424,41.92238029540356,37.659840202369416,110.00211699046578,34.729618788165865,36.44212309300626,37.34148455658204,32.21873173769146,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,57.836655497318915,41.74735726686459,37.8698300577155,110.07161516588182,34.657558052841665,36.49094215084132,37.32788979352244,32.20077951750573,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,57.12605106501058,41.45288672916017,37.52598016923053,109.96206708182383,34.60291147875151,36.22907770247555,37.23466763832487,32.31712980622052,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,50.05334507961138,36.04519301746306,32.18704236101956,92.70709847194162,29.108824826130686,30.76019037047734,31.999886855303505,27.332923718099828,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,31.831648032027775,23.282831419210936,21.55399945842223,57.86382496351479,17.928519472816262,19.237751460258757,21.17101520167214,18.11071096134386,6.0
3853,42.56953112508971,30.5661188275095,27.048059825603264,79.63804103573187,24.81901395056002,26.211124539885393,27.06510755951396,23.14384291283252,2.0
5059,59.245808619659016,43.08215180163683,38.77619897453277,113.74854075729148,35.92929442955109,37.66257485041381,38.66924914176572,33.490958898227596,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,58.305295660042574,42.20222259268601,38.06790933882092,110.96121478235939,35.080976017268384,36.51114669087282,37.41202248539238,32.41197184267648,5.0
4630,45.19633927713588,32.501595626216094,28.863586917479967,84.35475243647713,26.458467096829292,27.87856826254243,28.67443437434708,24.573027823107733,2.0
5032,59.11193810105969,43.13864384840222,39.1569254898604,113.88868651029993,35.86970812524584,37.57830307117087,38.66503753261495,33.50861032406301,9.0
aug_0.0_95e5e8d2,59.803059505331575,43.48015091809697,39.041895916535054,114.807386790704,36.25932891644315,38.046033565439096,38.907554787115146,33.75786660170749,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,56.75824241108191,40.92909452219406,36.631380559643,107.13884292822755,33.76397867097267,35.380124039813204,36.48663332223868,31.57782441186749,1.0
aug_6.0_e166a68b,58.254653817006194,42.45220607839201,37.900404767958285,111.350354451322,35.10992285776184,36.81704962474698,37.637968473096855,32.52005438174528,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,59.601942701739304,43.37983953607046,39.25654103571296,114.62343128737025,36.343324176552024,37.87911249062119,38.783541055080164,33.69277712854022,4.0
4376,59.272067795920385,43.212773574776435,39.05944951221669,114.00734667005187,36.10963491225136,37.77712267244517,38.726896757086834,33.56655398959945,9.0
aug_6.0_b40f34ec,43.122068743042966,31.423395836247334,28.700527988554885,79.4407754811691,24.884176032308016,26.54292654556768,27.88117294870476,23.767819001002145,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,44.96628880787109,33.17676252091211,30.620703278403713,86.00120603808524,27.142055031305105,28.443156836034387,30.07270874990805,26.162134541060905,2.0
aug_1.0_9a9a44dc,58.58321833913648,42.40815421228505,38.10239424842786,111.35390635154589,35.199878677963916,36.86411538294265,37.73958871930195,32.563407487127314,1.0
aug_4.0_1ad08d39,59.81531257925788,43.38117293384444,39.22020177375165,114.40579266935609,36.14698869650497,37.95427606810059,38.88366907283497,33.83051478749063,4.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.51279563349127,43.62735257776694,39.26107036198863,114.8427793461632,36.23253844308612,37.96371724655506,38.952847791487144,33.89977045978994,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.10374367174463,34.190098719879295,31.104790693434285,86.35613740095289,27.333616021256415,28.876610672619943,29.668899267022685,25.227959924888545,6.0
1021,45.39381230772048,32.55244033413668,29.081584163546182,85.20184126328412,26.786797593249094,28.092900706908797,29.00696409032069,24.79153929255736,8.0
576,43.155798204352635,31.129941798310984,27.86486777440503,81.86982146367063,25.740792804504775,26.956796129894467,27.924218371583027,23.852656749473585,2.0
761,53.286743861499886,38.937398466811736,35.455555945834945,104.11917535821546,32.52000000272213,34.279813853543516,35.60584781224903,30.948253722132286,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,55.14716605722383,39.663142668918674,36.20611610834679,103.25869278626357,32.84671192903266,33.93422094934606,34.59011353157754,29.663839341242156,2.0
aug_3.0_2b89533b,57.867564198799215,42.12234821168663,38.210096836105905,110.64698949158279,34.95970974085383,36.6612525238986,37.54673692186123,32.51443614888605,3.0
3523,59.36694191812356,43.28622551358,39.19748863226787,114.65106157051402,36.025247967392296,37.80700954778678,38.70248163298034,33.620515283974086,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,56.66531263910112,41.10732748833908,36.944059529539786,108.24856761627491,34.23786881931755,35.86366249039881,36.76067077819559,31.9505095126013,5.0
3866,56.63290904308513,41.34018449325188,37.6571344509818,109.42121393150127,34.41227748089332,36.19005437636732,37.40251155920833,32.39319304194287,2.0
aug_3.0_fa0a66b8,57.88656220198464,42.07632317295038,37.87811983154991,111.0241256059148,35.01259002217032,36.668397521885574,37.71678417884028,32.748110899088985,3.0
2072,35.06517924020861,25.385052300611694,23.875254006906438,68.63378023977221,21.148322161601783,22.50156848671042,24.208931319866686,20.874827682780783,8.0
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,57.36048286538457,41.64425791893448,37.59493102295594,110.05133246273988,34.70306908207133,36.143701222469346,37.278646900539435,32.37668217767178,3.0
1467,56.93975502251944,41.656367613471865,37.785287194034,110.20937547449144,34.79469925835304,36.44065722884696,37.601580408932456,32.54149274714706,2.0
aug_0.0_e8471688,59.72714558919132,43.395469526252384,39.19312751372049,114.55383106765217,36.26030461045281,37.8251766600708,38.84442561581218,33.84042357239597,0.0
3092,51.45996301926379,37.012864066323345,33.263677700620214,95.62429865104833,30.13806736148391,31.719953117602987,32.9110102092875,28.363979956948015,8.0
2021_Aug_31_SR-3501_SN19387Q4__00010.sed,42.227713904302014,30.93443133188112,28.64910526097205,81.08689340954658,25.460190650141676,26.772880826115326,27.90295564689661,24.258900762843936,2.0
718,48.179090321819416,34.76875683233819,32.10761427573829,94.43370715996784,29.474341007799453,30.946766677372636,32.52369378344584,27.983817207375903,7.0
1115,56.88801127357351,41.37649058436157,37.30746220837094,108.91731693417529,34.48018274420038,36.03717950529956,36.95113489870334,32.04415987252755,9.0
46,25.681688954540437,19.126836539197168,18.145357480068064,52.20232646693666,16.619474950427797,17.187913726614916,17.8771379361089,15.635093062116612,7.0
2021_Sep_01_SR-3501_SN19387Q4__00709.sed,20.39551688476633,14.968732902799717,14.281279784567444,38.3108309065304,11.798212620491437,12.539305037846395,13.605936234109446,11.324267619212518,6.0
4759,58.92522540248172,43.16312440990665,39.07868800955847,113.66096376323738,35.95247653731006,37.61227537292365,38.68045008771191,33.52511797823316,9.0
341,13.254189362382627,9.538195931520228,8.393703430635952,24.39014051095844,7.532249927685406,8.11153996765219,8.593430035702097,7.310537721117994,2.0
2021_Aug_30_SR-3501_SN19387Q4__00338.sed,56.05607010834991,40.3860901256053,36.46962193542776,105.17277418846147,33.372343481741574,34.69887229123221,35.56271008467551,30.345912399910777,1.0
2021_Sep_01_SR-3501_SN19387Q4__00644.sed,56.97405977714734,41.52792402382274,37.4309240561899,109.15329967225045,34.36111363442559,36.06527295331539,37.12647062305039,32.10190014689457,5.0
2021_Aug_31_SR-3501_SN19387Q4__00170.sed,49.4943494958835,36.277485431152634,33.23525259351354,93.42138550101829,29.629326550932955,31.0891985262515,32.382713872080274,27.848030511738447,2.0
2540,58.555892784868625,42.5595003954752,38.34253053928197,112.60773821311508,35.585551779183554,37.11990177385218,38.19313998942009,32.96682897664833,7.0
