Sample,red,green,blue,black,N1,N2,N3,Material
4688,28.670344921771832,19.95057842503998,17.283610682242003,50.559201542156366,3.802035325898075,3.3854108530636258,3.396910231845641,8.0
2524,58.526483021938375,42.57088176420815,38.50765329090519,111.30346357995515,8.726393671288974,7.712871742821186,7.888748999606143,2.0
4023,50.76286383011582,37.222736977616044,34.16317156333876,98.70130051760634,7.639238584476793,6.957786315475465,7.268921843378017,8.0
4753,59.38286144030547,43.587369345652704,38.487521527757885,113.04516779487123,8.728225764934427,8.076281635924667,8.20598176114861,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,48.327746843613156,36.087978818340076,32.92619185310205,91.97547521642663,7.221915818959326,6.425639124838882,6.5413159914979735,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,57.62834279959718,41.94058050130981,37.13108708344498,109.28686996597216,8.768218394364007,7.745202900841195,7.866534103720805,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,57.93244302301422,42.07230331658553,37.88847016955902,110.23574470391911,8.574742091024316,7.8404887013253814,7.667468809213192,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,57.01050734589899,41.827131157234774,37.65088565287435,108.70359379951633,8.674072832521162,7.887248504423059,7.900735731356625,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,48.78588622160038,36.11594440465943,31.783951444710326,91.7249315640439,7.208288838525899,6.403859326046309,6.344959122855551,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,31.957627728932543,23.022999787083435,21.802562185006064,57.510136160825574,4.467570302822954,3.9945170908943486,4.036771529588943,6.0
3853,41.062739334898495,30.972593444923653,27.17590580161442,80.30120796734008,6.059270212044212,5.484403259358912,5.532169451684178,2.0
5059,57.96050496585438,43.567249672432254,39.7228870557072,113.28061862736047,9.024391509879289,8.05679032708285,8.188085490367834,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,59.130790931481705,41.68977977751576,38.49313117111274,110.90735265476528,8.57387423036988,7.741497998423997,7.938564594786252,5.0
