Sample,red,green,blue,black,N1,N2,N3,N4,Material
4688,5.490551077481536,3.5784051920668243,2.3916779431782706,62.50442149687151,4.265301661040564,4.1375804177995485,3.907712185851085,3.102378989481155,8.0
2524,11.515142656710799,8.406454221440354,6.029909415028862,132.31069451177717,9.387735020205653,9.12193161095435,8.556497799402543,7.254760983759399,2.0
4023,10.209118273314445,7.405490501635906,5.35456755748065,116.51878288039116,8.1463501004188,8.046836652783902,7.8895762397222375,6.323437153191841,8.0
4753,11.811139363997452,8.492623618622336,6.11410966222952,134.60103196384767,9.673380839187459,9.251329602163617,8.884145750156094,7.108076995867323,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,9.247537357200772,6.835489822374873,4.852694622909633,109.90577562929617,7.795802552579832,7.460510128604321,7.219367786328551,5.724350923141084,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,11.246926514488244,8.379313584480755,5.856704678573122,131.02829163573227,9.298669530744322,8.966416747941626,8.543602315416123,6.990439330163423,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,11.532864020501524,8.12904298136848,5.910359117768415,130.80078100266468,9.18671911290145,8.904489110232234,8.556955330567602,7.054349016114311,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,11.228526333455436,8.139465731261403,5.765721489503934,130.06027571090428,9.135107985546057,8.959293890230281,8.575183605401634,6.938426280659344,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,9.523585815863306,6.758081722132758,4.650007086977423,111.02366974933568,7.715528016073684,7.65605254738498,7.10395907405378,5.709249541776611,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,5.572830493543697,3.9028494666114364,2.868595594874642,69.86192708835719,4.83584001790983,4.544544505862092,4.363632656136475,3.392673924424918,6.0
3853,8.253538708215496,5.92671540094021,4.176753689994483,94.51388889160724,6.813646146294262,6.392762779733883,6.128199621545004,4.929890094508323,2.0
5059,11.846617940432525,8.702172208691042,6.140087835396443,134.05839344198563,9.742053023102258,9.267684522218296,8.951458267404929,7.367737759059415,9.0
