Sample,red,green,blue,black,N1,N2,N3,N4,Material
4688,28.72546299242441,20.097399583598992,17.23644176256953,50.53024898310867,3.7285985684920724,3.532466244794659,3.570842732659586,2.8941067058196714,8.0
2524,58.112962681068375,42.32908897582856,38.91047243723329,110.65851690465396,8.282965354678948,8.278764588426764,7.94908898158184,6.904928284524171,2.0
4023,50.89967369612318,36.74297800246761,33.79394284082466,99.4071775685254,7.3846446149558425,7.0252584536115155,7.160051479258297,6.12002172040893,8.0
4753,59.13644538655704,43.27921018038814,38.908155271877796,114.4351812850183,8.4733381281795,8.098334128809729,8.10051554285922,7.084285070626945,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,48.28056264200258,35.478695887942344,32.153150877539055,91.8901152269544,6.671924747111505,6.53861695274257,6.412861712611322,5.499684008580691,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,58.25260248239797,42.503566960063004,38.154468825324,110.00529609774281,8.154379461107332,7.974548974885655,7.810112745643078,6.7753554034863805,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,58.57538019446692,42.3773750274237,37.73222403049564,110.11289054659339,8.26120731193446,7.803023205536118,7.792145202217416,6.5810503790890404,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,57.945156199174754,41.749303952662444,38.02108965474441,108.84678410867583,8.147677734897128,7.926442300689511,7.942289440601696,6.695425350226457,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,49.79422280513351,36.09513250910895,31.846890317231576,91.61518569976946,6.748740649890374,6.671413099814326,6.474201483363825,5.39495395856711,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,32.386226890596156,23.38725583754348,21.443181780579376,58.795979698071626,4.141865569268562,3.8794579260356787,3.870110142309472,3.2210727342047183,6.0
3853,42.94350479778036,30.376425534102353,26.87607211908543,79.35294718404721,5.729210274489214,5.690179651613728,5.5153933810657785,4.861996505330933,2.0
5059,59.39522085737556,41.8668214710845,39.17513274302316,114.85675326196206,8.593294527128682,8.060378301613676,8.21847132905953,7.069648645668809,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,56.94554572173721,42.85480843100964,38.237432421138095,109.53456808230005,8.197073901520726,7.9640872715268936,7.973627427631101,6.748644099956373,5.0
4630,44.486972986815935,32.401568671658445,28.596550868263286,84.34270896478655,6.154798885402114,5.984327929942629,5.955649410191328,4.952127040221751,2.0
5032,58.58005367220987,43.31143206652598,38.84222879852822,113.69468586492066,8.487311156974823,8.204004642675175,8.278199903637452,7.058816469574524,9.0
aug_0.0_95e5e8d2,60.18686071192382,43.36854075581362,39.80423557967366,116.5503673341703,8.625523708731183,8.344110756829442,8.300754715975726,7.023955612120698,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,55.981638124963624,41.41571797158018,36.76773935890366,106.52456953332978,7.973697184874619,7.73611486807148,7.516032378348453,6.373129272622275,1.0
aug_6.0_e166a68b,57.93984765200311,42.46593649437492,38.088201139888085,109.38262908016969,8.24330061981846,7.986991261467932,7.858851992979245,6.85109156293755,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,59.2160315789826,43.47511001815744,38.93051667568072,113.60214215468778,8.38721371089433,8.262648314524629,8.241119706492794,7.151190727456456,4.0
4376,59.96548946774327,42.5501130019016,38.936275221293144,113.35465742941558,8.57242825333191,8.243394304648543,8.155051768286988,7.121320430184902,9.0
aug_6.0_b40f34ec,43.13148766849305,31.191744279362243,28.894026504572317,78.73632499879177,5.710094743138674,5.5722697790068905,5.352283648688785,4.550859669108295,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,45.32626978252123,33.16125900443513,30.778554122889158,86.50693946906088,6.371420082539087,6.115288197473521,6.0169981805447055,5.168485729514759,2.0
