Sample,red,green,blue,black,N1,N2,N3,N4,Material
4688,4.559110997600736,2.764130758067119,1.9310951553094882,27.226828400123225,3.6131500853224296,3.603074582321998,3.2730039609068946,2.4343513377527892,8.0
2524,9.741497280599454,6.365532489604316,4.549837583834407,58.50044489779832,7.78682766316982,7.746486235165742,7.058836132529967,5.5905426313599085,2.0
4023,8.509722409691156,5.612036819461976,4.179901463473077,50.955705113282264,6.714136612648607,6.776484042183549,6.267415195720567,4.965622759456607,8.0
4753,9.997658567430625,6.527781534414925,4.693393195475777,59.37369147663737,7.988094706589153,7.9543232331558995,7.124129738123251,5.7155794441601415,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,7.692401995969249,5.239198554097893,3.784484691127351,48.92542776678225,6.544068528640828,6.2484731737997565,5.751196434169507,4.5546046700531155,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,9.56817709408022,6.404897179214868,4.625351345618038,57.79357179262262,7.679162742208939,7.61343104543783,6.961354461672744,5.561348169688601,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,9.531099823425066,6.272727886252802,4.530722019347577,58.0195923431399,7.729064213771466,7.64962869633937,6.892605713004898,5.483278781200476,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,9.337110911255854,6.266079942145751,4.544918932434433,55.886800784086766,7.610626644620911,7.505763785567329,6.952355076468489,5.512620472153169,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,8.129258397993173,5.059995238460404,3.7329672179479534,49.51754595766786,6.464157835661349,6.549399186659476,5.845482786590028,4.568021523110532,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,4.767664427953181,2.9050202255170468,2.2592184047299537,31.753936683550734,3.9253027794143254,4.0215459436157195,3.6687596615913387,2.8492258400561457,6.0
3853,7.019977470008672,4.437329665142793,3.112536375972296,42.22739972556153,5.567010944449157,5.454531931786349,5.025307300628959,3.9637828943141846,2.0
5059,9.847374697702836,6.555072614677291,4.721775080851681,58.25283825964441,7.837980980378949,7.932020842462447,7.248545222299766,5.720039676075504,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,9.620490343184796,6.358374159071939,4.648935840304616,57.557285143535296,7.778483851376849,7.533687064703815,7.019650477482395,5.494168421979828,5.0
4630,7.4044443348471995,4.719931343015958,3.382292684874411,44.480606484855116,5.905045538139602,5.868470313820885,5.402209203141432,4.209813397159182,2.0
5032,9.852004572064645,6.698468154379421,4.752052689426889,57.806919137389166,7.84615604351493,7.747462141152106,7.199237827966485,5.609971060413071,9.0
aug_0.0_95e5e8d2,9.880762465335037,6.697281887252026,4.735915422231604,59.95510741281061,8.05921044517107,7.845970999051045,7.185604141964671,5.685383421464375,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,9.527306642106312,6.142260989085422,4.298708265649527,56.76752227628281,7.337869161823451,7.378240919007498,6.813473353067977,5.239347476721313,1.0
aug_6.0_e166a68b,9.677016696938235,6.337559136181878,4.555035178141272,57.577867426578536,7.676333935029339,7.6320264189874205,7.03259497614712,5.566675884202438,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,10.05175407304582,6.773159163156666,4.804886379802858,59.39325776842387,7.943018929048905,7.8636993756364015,7.208168560622705,5.806605242698347,4.0
4376,9.989404916124604,6.556908890843918,4.686191951586736,58.17710485343883,7.824283768252114,7.738178188237533,7.217271818903638,5.707886531571711,9.0
