Sample,S1,S2,S3,S4,S5,S6,S7,S8,S9,E12,Material
2021_Sep_01_SR-3501_SN19387Q4__00191.sed,8.66219163923151,9.221836466130357,8.903076494799693,9.147894105932615,9.916702946445966,9.597649276794414,8.556923628819115,7.996652971868621,7.022892270946095,134.69742565624938,4.0
2498,6.614377732354351,7.0922863892391765,6.854267097489896,7.030530394885223,7.6175663087477385,7.3528969147462195,6.500961404114566,6.062567489230205,5.337287941087573,104.62001623781606,8.0
4830,8.432688729256462,8.965875200291196,8.640954133709503,8.864448239101419,9.612677756649298,9.28501376144858,8.322764430106208,7.739564910196915,6.782383905715441,130.8953855731952,7.0
2021_Aug_30_SR-3501_SN19387Q4__00135.sed,6.049551400348737,6.495278464073909,6.302553022298903,6.459912956767289,7.006846384971814,6.657677807483726,5.852428893056818,5.35631786915723,4.608113751660621,98.9003032587598,1.0
4418,8.347853503543416,8.892476064354959,8.592071247955415,8.827064638677248,9.570228591250148,9.245287434518369,8.230080063312704,7.671819367010125,6.724607335004864,130.540921869025,2.0
2021_Sep_01_SR-3501_SN19387Q4__00642.sed,8.20470092041837,8.770298456806863,8.473226497046785,8.67323259916245,9.420099855173833,9.0842211942883,8.077100033382585,7.548139308803136,6.606343794734928,128.6467428483938,5.0
aug_4.0_54135be0,8.57647476861702,9.126778846220319,8.811417952846956,9.05818148680789,9.818690040889159,9.510816226484671,8.482948546790583,7.926838510352427,6.9602610317986375,133.2895196908688,4.0
1478,8.025961606308663,8.405121914768591,7.958112405943205,8.088550164631174,8.727564626230311,8.518127277276434,7.998627823259113,7.353783879736169,6.451471379626236,118.66212496371652,2.0
2021_Sep_01_SR-3501_SN19387Q4__00180.sed,8.66238673802363,9.218718130530492,8.89935821138041,9.145027216956974,9.912474199668331,9.596753104057115,8.557435507812928,7.997417631148306,7.023912475366341,134.63404361065162,4.0
2021_Sep_01_SR-3501_SN19387Q4__00333.sed,8.669248760915238,9.232396815653805,8.916229690087357,9.165104271146543,9.936858916629987,9.612665598946798,8.565673765152649,8.003688022666383,7.026577710304874,134.95240163644536,4.0
1526,8.671698394060487,9.228504974152614,8.90880880017496,9.154839694541668,9.922501542293409,9.606358055798605,8.569253206968774,8.003128394682832,7.0259115651029385,134.7824384609244,9.0
2021_Aug_31_SR-3501_SN19387Q4__00014.sed,6.2796001269884885,6.683835740945435,6.42349486113412,6.5684247982201835,7.143826614479539,6.8740909091034705,6.0784877946115055,5.656171280698776,4.950084542999729,97.0550268413129,2.0
aug_5.0_7de7680c,8.264445734602774,8.838801626012252,8.552649543312196,8.775086945073678,9.554686309405177,9.174474258683263,8.148354599680726,7.589588094366607,6.629633401301646,130.09708646434174,5.0
2021_Aug_30_SR-3501_SN19387Q4__00076.sed,8.310884947685624,8.873017130466481,8.589776677628189,8.832286033721864,9.592226034742941,9.235833388593742,8.202001631357561,7.635195330388994,6.660882337815523,130.99437835781995,1.0
aug_1.0_e994b4c9,6.394569001755402,6.952609521812987,6.72816572909775,6.834326679961778,7.517303607366898,7.003948449892794,6.113315751384769,5.679557723298131,4.93087729231886,104.08255990938133,1.0
3758,7.0735305533294035,7.63021559878161,7.391733414472069,7.536746405446816,8.228299072885443,7.795477196952124,6.863293517575501,6.3723786584504225,5.562651498736022,113.61111475653355,8.0
2266,8.66992441598453,9.224895636994239,8.904878984803197,9.151702819895547,9.917660586967841,9.602890866153377,8.569233976448185,8.002078625361333,7.023768733052835,134.72356183337115,9.0
3183,8.264342155662934,8.819981206917086,8.526570377464342,8.75340519198855,9.498745987337774,9.156784825839544,8.142433818249653,7.584737269362919,6.639945967739806,129.68601181231867,2.0
4343,8.333228345900302,8.875436738553073,8.571073365775339,8.80356700243801,9.542607837079236,9.23959004580028,8.233772370837501,7.691145301329379,6.751225407463753,129.67747499132594,9.0
2021_Sep_01_SR-3501_SN19387Q4__00920.sed,7.649174905782562,8.239533477668909,8.012501013285158,8.26013502167076,9.047093130774886,8.58121849428827,7.512327858655952,6.969426084884201,6.008584371177027,123.81127439631551,6.0
aug_mixup_8.0_73602,6.637591307158242,7.116694460882985,6.863397982533419,7.043849438597645,7.63972309130887,7.365902718258027,6.52210530256888,6.0969660005867325,5.368163029756495,104.41231505053733,8.0
aug_0.0_592c8610,8.689673842427386,9.250854747861549,8.93244788107307,9.180960653102991,9.952528810566728,9.634137758112985,8.588479132872578,8.023254538851694,7.043839214855302,135.1648183619945,0.0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,8.688797289044025,9.245677618394772,8.925894740605077,9.175276249735564,9.9447501231032,9.632392415942359,8.589795606162847,8.025279400701725,7.047100016369417,135.03239277743003,0.0
2021_Sep_01_SR-3501_SN19387Q4__00481.sed,8.5648699830695,9.130629150263353,8.820535354138322,9.072783754683323,9.849279338278315,9.516371565872596,8.462830170049074,7.901341557495953,6.908110278763803,133.84700787002248,5.0
4896,7.846255028659375,8.349835351321682,8.009762795634728,8.127615889326222,8.862970943764793,8.46812788739959,7.704821410462001,7.098877426014408,6.197736817144671,120.93900919575518,8.0
2021_Aug_31_SR-3501_SN19387Q4__00184.sed,7.192994140041564,7.81891773067861,7.5830273904420205,7.7167703882573715,8.502131110664823,7.961730175474268,6.963792632261932,6.496286630394392,5.673910116447255,115.2969527981666,2.0
2021_Aug_31_SR-3501_SN19387Q4__00726.sed,8.31753447054945,8.861411034705185,8.556646347725202,8.78232365018855,9.528679540864392,9.197966999457726,8.189055869704934,7.644313902569764,6.704849473792898,129.74105778933063,3.0
2021_Sep_01_SR-3501_SN19387Q4__00018.sed,8.520896583461115,9.063222005583807,8.750430089506509,8.996676513067639,9.755480836555321,9.45248173637248,8.432166797850886,7.87988485250905,6.920421896474228,132.34213611497537,0.0
2021_Sep_01_SR-3501_SN19387Q4__00984.sed,5.630621971231763,6.175444216663422,5.9054817909400565,5.965890373975135,6.61542879751328,6.074358664314612,5.244627719110731,4.926875977652616,4.328401154163679,91.1948402388166,6.0
2021_Sep_01_SR-3501_SN19387Q4__00344.sed,8.671335575372323,9.23405922738175,8.917785779014082,9.167824735528695,9.939867291233732,9.616391044015987,8.568419300536785,8.005837711947773,7.027654088707944,134.99034420376321,4.0
3828,5.857387211453901,6.301697091980172,6.099540466699098,6.261750493097616,6.767220432230601,6.519024589282014,5.767995965871714,5.3202738775627205,4.624230606751035,94.0537160102107,2.0
2021_Sep_01_SR-3501_SN19387Q4__00411.sed,8.221120490946584,8.768466426667718,8.475741333722528,8.693551103115688,9.427139848642934,9.099497312445887,8.100803189262784,7.551113853481366,6.604222235345645,128.77129055360157,5.0
aug_0.0_ea79fb6e,8.689524040542434,9.250800082403781,8.932311851689839,9.180924441171744,9.952386500505114,9.633862023934817,8.58838391183427,8.023087538149253,7.0437432992046904,135.1633689580756,0.0
3624,7.723266463453021,8.285042397850944,8.006297433610342,8.197881690800465,8.926574849643151,8.546421720759556,7.55665556734559,7.032568532348828,6.1645993494996505,122.36238137165455,8.0
aug_mixup_3.0_67786,8.434854298946748,8.991937303993726,8.688369775875714,8.925534162560105,9.688080751812354,9.347228869659103,8.316065264840367,7.763596157616532,6.806376424202502,131.74587371172447,3.0
430,1.823801035946085,2.027843712349146,1.872804273600737,1.7627427369767625,1.7821371485308934,1.762384206568243,1.8665162332230818,1.9635036318236845,1.7038417225120908,27.072866728897843,4.0
2021_Aug_31_SR-3501_SN19387Q4__00792.sed,8.446819435864157,9.017103308111848,8.719242234782548,8.970602914933803,9.752020187841897,9.390458593331903,8.334008460121739,7.7778124543377265,6.799482387800219,132.48085074089582,3.0
231,5.4845157716775015,5.880124722129195,5.622197312704807,5.723212115740907,6.174798800336015,6.056974946735819,5.440062536793428,5.108287005610431,4.573047550888295,84.53919326123497,2.0
aug_mixup_7.0_212958,8.284321273536378,8.836511681096654,8.54687130366948,8.77949327069461,9.521510964305293,9.186274694648986,8.172203573101596,7.608419401987699,6.656914919986399,130.0294847935374,7.0
aug_mixup_8.0_292711,7.652087419783034,8.173556446523818,7.89118646471693,8.093610654587001,8.79103389019394,8.447217666069385,7.4817583071683496,6.969962135449315,6.113653624344568,120.56394150926639,8.0
1858,8.463933895212675,9.008734912739087,8.706365221464058,8.945309942235653,9.690833783592698,9.384705571836538,8.36635837453673,7.809707712145864,6.853656763375414,131.79844695083062,9.0
2021_Aug_31_SR-3501_SN19387Q4__00125.sed,5.749576728142747,6.158798685612273,5.910495385242196,6.056159028365308,6.586920811564781,6.392184222289272,5.667761869576708,5.299814520410162,4.674141445436244,88.16985935422088,2.0
2021_Aug_30_SR-3501_SN19387Q4__00347.sed,8.272862543052115,8.848374371090232,8.553446136237255,8.816912854964805,9.616319157914013,9.232926499965787,8.154161870500948,7.606292458347767,6.5985578685950035,130.59459895300546,1.0
346,4.3293483077839845,4.7257407193644605,4.497790973773668,4.604701321551575,4.99673115062161,4.7600665682227765,4.242468601252969,3.8704051943424354,3.3247612001038043,70.89739887343961,7.0
4400,8.145824789758619,8.67416391208324,8.382585393118834,8.608403336699737,9.32949383357597,9.034300093468136,8.050167544250174,7.5136131889068825,6.590880157772679,126.92242802595342,9.0
2021_Aug_31_SR-3501_SN19387Q4__00089.sed,7.310905858602547,7.949685981635776,7.739272431583185,7.962529363583212,8.806165764870698,8.222292563617591,7.124300657642629,6.612531719800091,5.690913070549961,118.8499358012478,2.0
4899,6.5201382132319985,6.618160682369993,6.137644968195947,6.061478419342377,6.518846279867364,6.488817895201878,6.615136214626846,5.915650684022324,5.122748433148043,88.85741942443529,8.0
3981,6.836339877428447,7.2063904532479475,6.910735158897228,7.038400674139339,7.625359650650305,7.3405363819000575,6.69392623824047,6.149251888882522,5.3576114569339355,104.84238866712224,8.0
aug_5.0_c7c9af75,8.218095076791355,8.788914242927953,8.497155962545042,8.69890983511618,9.45070655832252,9.105918960055247,8.092351950158978,7.561612203844456,6.618744642940291,128.99937297003208,5.0
aug_6.0_a8166c9a,8.48616219778111,9.046291885841354,8.74830113309164,9.000959972053677,9.76894328827972,9.429923646807946,8.38513579249501,7.817630173220098,6.831387869117688,133.09744117162091,6.0
2021_Sep_01_SR-3501_SN19387Q4__00615.sed,8.086024377240529,8.596847766427105,8.296407202758601,8.500980281457846,9.21294418206842,8.93861395499455,7.964974836480943,7.444795978558945,6.517137208286646,125.99036952765064,5.0
