Sample,S1,S2,S3,S4,S5,S6,S7,S8,E12,Material
2021_Sep_01_SR-3501_SN19387Q4__00289.sed,8.667584805499889,9.226316000451199,8.907082525554582,9.152366322828875,9.920551578985688,9.60325453254222,8.562644612182703,7.028637795397042,134.75380326667633,4.0
3211,8.401520792583002,8.958279633730061,8.66119750647075,8.898254524453911,9.649466580804809,9.316491776040175,8.29139896240863,6.76212602127424,131.64223279576115,7.0
3758,7.0735305533294035,7.63021559878161,7.391733414472069,7.536746405446816,8.228299072885443,7.795477196952124,6.863293517575501,5.562651498736022,113.61111475653355,8.0
3205,8.352962734750713,8.900470338349768,8.60466082217344,8.841120664299336,9.582057890742725,9.256631030000742,8.240407759097176,6.7180238439951525,130.83993247033692,7.0
2021_Aug_31_SR-3501_SN19387Q4__00532.sed,8.413847864994832,8.98451612639172,8.687293819009701,8.921802623724277,9.694108624557751,9.332760280190822,8.293953259872243,6.783172288481751,131.78267244474927,3.0
2021_Sep_01_SR-3501_SN19387Q4__00192.sed,8.66265404117427,9.222600091880464,8.903709254917711,9.148577693154397,9.917399933776835,9.598629042962719,8.557482884806662,7.023682745134061,134.70486058181368,4.0
278,1.9924964452881873,2.3150141661437393,2.1554787351447833,2.155490519850031,2.3095616415462876,2.309453336403538,1.9226589462276147,1.8355230728138288,32.81705984671064,2.0
2557,7.103559459433511,7.565563431563691,7.315116113528912,7.5051516388133415,8.135123197697713,7.876061686353076,7.018517187549765,5.721047800684692,111.11633958784378,7.0
2021_Aug_31_SR-3501_SN19387Q4__00677.sed,8.24858625410155,8.783055401449968,8.483555303183053,8.719800512011831,9.447960282916835,9.146276871316605,8.153235004346369,6.675846504076496,128.47611683165306,3.0
2021_Aug_30_SR-3501_SN19387Q4__00141.sed,6.4477101162098895,6.931525494212145,6.723247018329447,6.877300301467162,7.486045138129153,7.089131328411806,6.229223626041759,4.945970436068255,104.87000469817659,1.0
862,6.996892585555674,7.55099430933738,7.321932324669858,7.468281562692713,8.150049910709217,7.712980209308693,6.7847932785061245,5.48594025991451,112.78099529387333,8.0
2021_Aug_30_SR-3501_SN19387Q4__00176.sed,7.255225629528485,7.843615729939204,7.6235115335533,7.80278373771613,8.543448831286028,8.055117367388506,7.0679544425852034,5.677655930525341,117.49792329094157,1.0
2021_Sep_01_SR-3501_SN19387Q4__00855.sed,6.559187295980662,7.070920063705586,6.874229247136114,7.045528484501919,7.653817764811853,7.276681354259509,6.37625966228185,5.037334688682582,107.70844404933192,6.0
2021_Sep_01_SR-3501_SN19387Q4__00028.sed,8.683374391526907,9.239870358895866,8.920584806505843,9.169866991769558,9.93876364389713,9.626106428533303,8.584310008331276,7.042300811689196,134.95741249474116,4.0
5352,8.097148752091535,8.65931947555021,8.364857215436661,8.576866972473479,9.322649730554467,8.964312274965028,7.95284426023474,6.508986424345721,127.20156732096278,8.0
4283,7.464492356995319,7.9643618211564,7.712242859770019,7.919380327084788,8.57009323452936,8.284631574973474,7.3704711688556435,5.987591887206534,117.54607432883411,7.0
2914,7.9469282773613505,8.320652263178484,7.868861482449972,7.99687303530858,8.622227719925275,8.432017124476806,7.929901866697761,6.388656736880757,117.40439231198428,2.0
2021_Sep_01_SR-3501_SN19387Q4__00252.sed,8.67908449407475,9.24080970600308,8.923279628649997,9.174112161940151,9.946328132258483,9.626204663928098,8.577707818366923,7.032132472700711,135.08260671434925,4.0
2248,8.67604929395426,9.23469074583932,8.915030990877417,9.16197949424329,9.930841395857648,9.611292546856207,8.574631030278223,7.026706827578191,134.90752282909727,9.0
1109,7.196931193600791,7.67379537407253,7.421209923963298,7.619990153017731,8.255371946253817,7.985278283585573,7.1075482668860905,5.779433875554919,113.05220698085142,7.0
2206,8.358941607996519,8.851162257544603,8.50342792418672,8.717270267612243,9.438749176816817,9.138547489997613,8.261569345718014,6.721474946478883,128.53707182772018,2.0
2021_Sep_01_SR-3501_SN19387Q4__00354.sed,8.681006971629998,9.242742045921297,8.92489801254921,9.175980436347633,9.947976246492026,9.62789537654673,8.579388576029352,7.034483511948269,135.10440489718573,4.0
2909,8.434368777055145,8.974836935317967,8.646929867018294,8.860588923472246,9.622933181479791,9.276427399563719,8.323501803777473,6.776289676536958,130.84864918732916,2.0
2021_Sep_01_SR-3501_SN19387Q4__00915.sed,7.544452295846704,8.137879135251673,7.9212124019639925,8.158641348204213,8.939438531495878,8.461181538648475,7.4015225822764465,5.915760994027714,122.5180473502225,6.0
2021_Aug_30_SR-3501_SN19387Q4__00110.sed,8.53513411352791,9.09630220515352,8.789892893168892,9.04325691098587,9.8167409471007,9.480784464289089,8.432015347289838,6.876921853752683,133.56424231067274,1.0
2021_Aug_31_SR-3501_SN19387Q4__00703.sed,8.289379545148917,8.819676403989334,8.517245189984486,8.752462181210989,9.485440336418161,9.179539639488524,8.181958784048206,6.701900888881176,129.01099663310714,3.0
1328,6.708675003003371,7.164428561606329,6.9222643812576,7.099621391653837,7.694668118628953,7.446896728725864,6.620990659439206,5.406780778863921,105.1225269864981,2.0
2021_Aug_31_SR-3501_SN19387Q4__00037.sed,6.502663202326458,7.0263105012468605,6.763872678012602,6.859937067855383,7.533099228860404,7.1005126569952886,6.223650430674988,5.0473052487071355,102.81761640000141,2.0
1132,8.640798158764754,9.200743718513095,8.88345286242139,9.128205295682278,9.896039050827412,9.57652946335996,8.53620832284536,6.999262747384847,134.4601544534542,9.0
2422,8.642776229709217,9.196891455360179,8.879425594651112,9.126300649276514,9.890770893822273,9.576379550822386,8.539608865791525,7.002753891439236,134.36450631927545,9.0
2021_Aug_31_SR-3501_SN19387Q4__00589.sed,8.357173187079677,8.891098110070573,8.585251098494439,8.818997336786854,9.560721991334034,9.24506852495433,8.237523029652468,6.746348741631347,130.11740367692963,3.0
3490,8.483675875910459,9.031566358716008,8.726584509976458,8.969355603745385,9.718254358160724,9.402086930928501,8.377446601752656,6.846923998193477,132.44254204687934,7.0
4864,7.4775205021590505,8.01054734841853,7.721079692542198,7.864805596796668,8.581184109041452,8.16492690101297,7.297556020571471,5.901889811313203,117.4837877954665,8.0
2021_Sep_01_SR-3501_SN19387Q4__00517.sed,8.103489603764116,8.628939573421976,8.324085716541452,8.523273072665795,9.256104421290381,8.943971346261801,7.980572041840688,6.494020335292989,126.59160523269179,5.0
3677,8.344566721631036,8.888250442624116,8.58744492370612,8.82264101496779,9.564602914212923,9.239839230760204,8.226640110005926,6.720167248466536,130.47295499414423,2.0
1284,8.630734782733917,9.186180444313415,8.870699991462734,9.116947254406917,9.881202005677551,9.56410463237809,8.526549302241937,6.988820457225488,134.29180045309204,9.0
3142,8.673560877165531,9.230732776925548,8.913518947828006,9.16127710207001,9.92871762901266,9.61377455465288,8.57275032059021,7.027531185938973,134.89431716815614,9.0
2966,7.207962939079072,7.674521492236648,7.384648133622138,7.520033723651563,8.178165809121056,7.806685074826633,7.020394387922921,5.650137338677045,112.53736333216392,8.0
600,6.9977300138745,7.439108504303997,7.179904587740211,7.362156708250636,7.945269171615979,7.715809889547515,6.960573676872822,5.5817536806829,110.00668431293295,7.0
