Sample,red,green,blue,black,Material
2021_Sep_01_SR-3501_SN19387Q4__00289.sed,59.52741629020265,43.34584340966885,39.12914343947617,114.55671420325538,4.0
3211,58.41345267335484,42.39783947056694,38.14267566327405,111.5907319417142,7.0
3758,50.97278542669118,36.90663468963467,33.01930370555215,95.1818121675807,8.0
3205,58.07060288425653,42.14393383439548,37.8940894644942,110.90313308684227,7.0
2021_Aug_31_SR-3501_SN19387Q4__00532.sed,58.38158325498732,42.44240557557895,38.31790751728244,111.71325108265614,3.0
2021_Sep_01_SR-3501_SN19387Q4__00192.sed,59.50760205912055,43.33085587610756,39.121678389099,114.5061698780919,4.0
278,14.818656621398697,10.707789559794422,9.435727780823484,27.476727495541283,2.0
2557,49.30741886449125,35.770400199498326,32.13710995048972,94.25221730064796,7.0
2021_Aug_31_SR-3501_SN19387Q4__00677.sed,56.820507020863246,41.32231627625519,37.2893405042074,109.1553576436578,3.0
2021_Aug_30_SR-3501_SN19387Q4__00141.sed,47.56015935567872,34.1300204587331,30.23464388940431,87.33015272952906,1.0
862,50.69953101991032,36.66079011847621,32.73122265404122,94.37487569637612,8.0
2021_Aug_30_SR-3501_SN19387Q4__00176.sed,52.870652014661374,38.1008861052976,34.13118753395155,98.3069902393656,1.0
2021_Sep_01_SR-3501_SN19387Q4__00855.sed,49.12951408276223,34.99241017537035,30.81840039567305,89.58780349301611,6.0
2021_Sep_01_SR-3501_SN19387Q4__00028.sed,59.61550294754658,43.39251070752863,39.18254725989014,114.7539478028742,4.0
5352,56.477061100734176,41.02616498517885,36.97567851997942,107.62319048446176,8.0
4283,52.338989410173134,37.89078206552604,33.92934901038589,99.49263761969064,7.0
2914,51.14084833304813,37.43136503267252,34.5094676359035,100.87785994611797,2.0
2021_Sep_01_SR-3501_SN19387Q4__00252.sed,59.70816706383823,43.4365592567641,39.22303603717661,114.80357481765044,4.0
2248,59.61043438361382,43.38584524782116,39.18320572065769,114.67037639699414,9.0
1109,50.284497084766905,36.423558103643884,32.643056090134245,95.7605857193083,7.0
2206,56.68110280490251,41.29120860824035,37.45443469284562,109.38305356497928,2.0
2021_Sep_01_SR-3501_SN19387Q4__00354.sed,59.71584933150286,43.44459014128313,39.22821089458364,114.82492799421549,4.0
2909,57.79412406738996,42.10402047576356,38.18549608907484,111.09321360988744,2.0
2021_Sep_01_SR-3501_SN19387Q4__00915.sed,55.2913437069191,39.52577116644622,35.42515958846086,102.5973799257108,6.0
2021_Aug_30_SR-3501_SN19387Q4__00110.sed,59.24677455843092,42.93927688606628,38.72043727642392,113.29361261379944,1.0
2021_Aug_31_SR-3501_SN19387Q4__00703.sed,57.047280971486245,41.50514332955225,37.46641920832956,109.5882918694684,3.0
1328,46.66146512262058,33.8399617231371,30.472551483508692,89.09621303329733,2.0
2021_Aug_31_SR-3501_SN19387Q4__00037.sed,45.55056902641435,33.38146449274459,30.908173210477425,86.02440191800022,2.0
1132,59.42474280194128,43.25175993350646,39.0511243748077,114.2642010774026,9.0
2422,59.36239307819322,43.2121330294636,39.02215913752728,114.21843779369914,9.0
2021_Aug_31_SR-3501_SN19387Q4__00589.sed,57.55325900159586,41.881428752485135,37.803072984764,110.47047460289632,3.0
3490,58.67534961088424,42.627843329888094,38.37772361363284,112.4141717095111,7.0
4864,52.18881954209939,37.99062475806854,34.49774499762495,99.00034739683346,8.0
2021_Sep_01_SR-3501_SN19387Q4__00517.sed,56.17992066469646,40.75729739068922,36.747432203761846,107.25524314182246,5.0
3677,57.84880943184505,42.0214033683799,37.8233807245857,110.6390079974256,2.0
1284,59.35950686231388,43.1939605775277,38.99156422709389,114.12246477345757,9.0
3142,59.60960584304565,43.38060331679919,39.16388602200904,114.6644844706001,9.0
2966,50.00207065376914,36.3775903776556,33.038829704365455,94.84163143728424,8.0
600,49.26234197790784,35.36847753443817,31.3497115020072,93.199285802103,7.0
2021_Aug_31_SR-3501_SN19387Q4__00120.sed,38.50167999079688,28.27776309418011,26.409048237210303,75.19970569059178,2.0
166,37.750758120957926,27.01471039737098,23.729270647141902,70.13174351473957,9.0
2021_Sep_01_SR-3501_SN19387Q4__00689.sed,58.73115316364341,42.5733964688123,38.42031993680598,112.13791729703868,5.0
1339,48.50639585972041,35.404647864436924,32.447266382725275,93.05366775542156,8.0
161,45.61879957185957,33.001208895734656,29.702494166337654,87.52027438534674,9.0
2546,58.71450396364197,42.684634396770754,38.46302974697678,112.5854529525759,7.0
711,47.9113431126974,34.653464932214774,31.89239991260272,93.96759856006152,7.0
2021_Sep_01_SR-3501_SN19387Q4__00505.sed,55.436309151460975,40.18729223414872,36.22473418164788,105.96182109754888,5.0
752,55.1823511683347,40.26093190776988,36.59818433110142,107.42682456090516,9.0
3850,42.653082031079606,30.63459841499921,27.230255856438163,79.70939563461062,2.0
1946,42.61503891543721,30.6615836092933,27.322613029032897,79.93172238892302,2.0
2021_Sep_01_SR-3501_SN19387Q4__00789.sed,58.6531738237407,42.45492562136477,38.09125854782032,111.66306096459556,6.0
2021_Sep_01_SR-3501_SN19387Q4__00135.sed,59.69130061899764,43.41870734278967,39.20145393669547,114.74721595540468,4.0
2021_Aug_31_SR-3501_SN19387Q4__00444.sed,59.7435686106941,43.473464620977936,39.255544904534176,114.9158918301073,0.0
4,44.98870340420852,32.35545575120398,28.861917893947748,85.2327658692851,2.0
2947,51.4737163647242,37.714349183431,34.78833354809759,101.73212093626344,2.0
2021_Aug_30_SR-3501_SN19387Q4__00094.sed,58.89732296881133,42.63421476997475,38.38639246670863,112.30278594798972,1.0
2302,58.670022272878114,42.65135071135991,38.4338563458431,112.535969480346,7.0
2021_Aug_31_SR-3501_SN19387Q4__00585.sed,57.38593932458059,41.750085092203264,37.681880757426455,110.19330963808484,3.0
4298,58.67291311515096,42.639935366202366,38.405035947892486,112.42039203941415,7.0
654,36.8077072882276,26.39032661402399,25.45339406260626,74.24413655688988,8.0
960,57.8464929452496,42.08650185662177,37.98014947561821,111.1927010188396,9.0
2021_Sep_01_SR-3501_SN19387Q4__01022.sed,48.28747162526575,34.94392418394394,31.84611248015154,88.6528610421239,6.0
2021_Sep_01_SR-3501_SN19387Q4__00475.sed,58.86776038406806,42.67153198180367,38.521317048933554,112.45888078599629,5.0
2862,53.002417609901485,38.680227047108055,35.38316431212242,103.24075466620516,7.0
3896,57.10235225617205,41.62904296788172,37.80332110923564,110.2355422319174,2.0
